ITEM NUMBER,CAT,GROUP,DESCRIPTION,BIN,,NORMAL,FAULTY,SUPPLR,SWP-OUT,OTHER,TOTAL,COST,VALUE
00000333,,,PLANT POTTING BAG,,EA,10.00,0.00,0.00,0.00,0.00,10.00,N/A,N/A
00000401,,,22/01/2025-LARGE POTATOES,,EA,8.00,0.00,0.00,0.00,0.00,8.00,N/A,N/A
00000402,,,11/02/2025-LARGE POTATOES,,EA,25.00,0.00,0.00,0.00,0.00,25.00,N/A,N/A
GAS REPAIRS,,,GAS SERVICES AND REPAIRS,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
1401,14K,LPG,14KG LPG PACKED,,EA,15.00,0.00,0.00,0.00,0.00,15.00,N/A,N/A
1901,19K,LPG,19KG LPG PACKED,,EA,41.00,0.00,0.00,0.00,0.00,41.00,N/A,N/A
9.4,9KG,LPG,9KG ORYX LPG,,EA,19.00,0.00,0.00,0.00,0.00,19.00,N/A,N/A
901,9KG,LPG,9KG LPG PACKED 01,,EA,136.00,0.00,0.00,0.00,0.00,136.00,N/A,N/A
00000010,AGR,FEED,MULTI-BRAND BUDGIE SEED 1 KG,,EA,14.00,0.00,0.00,0.00,0.00,14.00,N/A,N/A
00000014,AGR,HEALTH,SYRINGE 20ML,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000015,AGR,HEALTH,SYRINGE 10ML,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000020,AGR,COMMOD,MULTI-BRAND WHOLE YELLOW MAIZE 10KG,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000029,AGR,CONSUM,BOX OF ICE PACKS (75 UNIT),,EA,2.00,0.00,0.00,0.00,0.00,2.00,N/A,N/A
00000030,AGR,COMMOD,WHOLE YELLOW MAIZE 50KGS,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000031,AGR,COMMOD,WHOLE YELLOW MAIZE 25KG,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000042,AGR,HEALTH,NEEDLE 18G X 1.5 DDD NEEDLECARE,,EA,260.00,0.00,0.00,0.00,0.00,260.00,N/A,N/A
00000046,AGR,COMMOD,MULTI-BRAND COARSE CRUSH 10KG,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000050,AGR,PETFOO,MULTI-BRAND BUDGIE SEED 2KG,,EA,2.00,0.00,0.00,0.00,0.00,2.00,N/A,N/A
00000057,AGR,PETFOO,MULTI-BRAND WILD BIRD SEED 10KG,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000058,AGR,HEALTH,BELLS NR. 3,,EA,3.00,0.00,0.00,0.00,0.00,3.00,N/A,N/A
00000059,AGR,HEALTH,BELLS NR. 2,,EA,4.00,0.00,0.00,0.00,0.00,4.00,N/A,N/A
00000060,AGR,HEALTH,BELLS NR. 1,,EA,2.00,0.00,0.00,0.00,0.00,2.00,N/A,N/A
00000063,AGR,PETFOO,TYRE PET BEDS - MEDIUM,,EA,2.00,0.00,0.00,0.00,0.00,2.00,N/A,N/A
00000069,AGR,COMMOD,BALE LUCERNE GR1,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000072,AGR,HEALTH,CALF NOSE WEANER,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000073,AGR,COMMOD,MOLLASES LIQUID,,EA,-13.00,0.00,0.00,0.00,0.00,-13.00,N/A,N/A
00000074,AGR,SEED,ONIONS 25G,,EA,110.00,0.00,0.00,0.00,0.00,110.00,N/A,N/A
00000078,AGR,SEED,SPINACH 100G,,EA,-1.00,0.00,0.00,0.00,0.00,-1.00,N/A,N/A
00000084,AGR,SEED,CABBAGE 500G,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000099,AGR,FEED,MOLLASES MEAL,,EA,-3.00,0.00,0.00,0.00,0.00,-3.00,N/A,N/A
00000100,AGR,COMMOD,HOMINY CHOP 50KG,,EA,2.00,0.00,0.00,0.00,0.00,2.00,N/A,N/A
00000105,AGR,COMMOD,MAGNESIUM SULPHATE 25KG,,EA,3.00,0.00,0.00,0.00,0.00,3.00,N/A,N/A
00000108,AGR,HEALTH,LACTO LAMB 2KG,,EA,5.00,0.00,0.00,0.00,0.00,5.00,N/A,N/A
00000113,AGR,LPG AC,UNIVERSAL THERMOCOUPLE,,EA,5.00,0.00,0.00,0.00,0.00,5.00,N/A,N/A
00000116,AGR,PETFOO,TROPICAL PARROT 5KG,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000118,AGR,COMMOD,WHEAT 2KG,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
00000121,AGR,FERTIL,GROUNDOG POTTING MEDIUM 30DM,,EA,17.00,0.00,0.00,0.00,0.00,17.00,N/A,N/A
00000130,AGR,FERTIL,2.3.4(30) + 0.5%ZN (UREA BLEND) 50KG/TON,,EA,1.00,0.00,0.00,0.00,0.00,1.00,N/A,N/A
