lane,so,our_docs,our_date,our_charge,our_credit,their_docs,their_date,their_charge,their_credit,charge_variance,credit_variance,match_tier,fuzzy_candidates,ratified_so,decision,note
DOCUMENT,2026-01 / 010,3507 6479,2026-01-03,196902,128225,SC26ZA01000052 SC26ZA01000054 SC26ZA01000055 SI26ZA01000588,2026-01-02,97739.12,128225,99162.88,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-01 / 021,3508 6482,2026-01-05,97739.42,58650,SC26ZA01000090,2026-01-05,,58650,97739.42,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-01 / 067,3513 6492,2026-01-13,239985.88,146050,SC26ZA01000341 SI26ZA01000939,2026-01-13,239985.88,146050,0,0,SO_EXACT,,,,
DOCUMENT,2026-01 / 083,3515 6499,2026-01-15,150948.61,96600,SC26ZA01000416 SI26ZA01001077,2026-01-15,150948.61,96600,0,0,SO_EXACT,,,,
DOCUMENT,2026-02 / 091,3525 6549,2026-02-19,72128.17,51750,SC26ZA01001556 SI26ZA01002794,2026-02-17,72128.17,51750,0,0,SO_EXACT,,,,
DOCUMENT,2026-02 / 116,3526 6550,2026-02-19,81411.57,51750,SC26ZA01001684 SI26ZA01002946,2026-02-19,81411.57,51750,0,0,SO_EXACT,,,,
DOCUMENT,2026-03 / 076,3536 6586,2026-03-12,109261.65,62790,SC26ZA01002471 SI26ZA01004136,2026-03-12,113286.9,66815,-4025.25,-4025,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-03 / 072,3537 6591,2026-03-16,148501.97,106260,SC26ZA01002602 SI26ZA01004349,2026-03-16,148501.11,106260,0.86,0,SO_EXACT,,,,
DOCUMENT,2026-04 / 045,3544 3545 6612 6613 3547 6615,2026-04-09,315621.25,190325,SC26ZA01003516 SI26ZA01005694 SC26ZA01003515 SI26ZA01005693 SC26ZA01003546 SI26ZA01005773,2026-04-09,315621.16,190325,0.09,0,SO_EXACT,,,,
DOCUMENT,2026-04 / 065,3548 6618,2026-04-14,152610.37,96025,SC26ZA01003689 SI26ZA01005911,2026-04-14,152610.37,96025,0,0,SO_EXACT,,,,
DOCUMENT,2026-04 / 092,6625 3551,2026-04-18,223071.9,132250,SC26ZA01003871 SI26ZA01006148,2026-04-18,223071.89,132250,0.01,0,SO_EXACT,,,,
DOCUMENT,2026-04 / 126,3553 6630,2026-04-24,201348.49,120750,SC26ZA01004150 SI26ZA01006531,2026-04-24,201348.49,120750,0,0,SO_EXACT,,,,
DOCUMENT,2026-04 / 150,3554 6631,2026-04-29,177861.31,108675,SC26ZA01004263 SI26ZA01006713,2026-04-29,177861.31,108675,0,0,SO_EXACT,,,,
DOCUMENT,2026-04 / 163,3558 6636,2026-04-30,117435.87,60375,SC26ZA01004314 SI26ZA01006898,2026-04-30,117435.87,60375,0,0,SO_EXACT,,,,
