"ACCOUNT:","008ORY - ORYX ENERGY"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","257563.80"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","115550.83"
"2","07","00058291","GRV","01/07/2026","SI26ZA01011253","29062026","","ORYX ENERGY","210161.67","325712.50"
"3","07","00031810","Deb Note","01/07/2026","SC26ZA01007273","SON2607ZA105000002","","ORYX ENERGY","-117300.00","208412.50"
"4","07","00072010","Payment","01/07/2026","ARP2607ZA101000040","#022","","ORYX ENERGY","-41006.68","167405.82"
"5","07","00058292","GRV","02/07/2026","SI26ZA01011254","1072026","","ORYX ENERGY","95343.18","262749.00"
"6","07","00031811","Deb Note","02/07/2026","SC26ZA01007287","SON2607ZA105000022","","ORYX ENERGY","-54337.50","208411.50"
"7","07","00072011","Payment","02/07/2026","ARP2607ZA101000079","#031","","ORYX ENERGY","-32129.03","176282.47"
"8","07","00072012","Payment","02/07/2026","ARP2607ZA101000089","#031","","ORYX ENERGY","-31000.00","145282.47"
"9","07","00058293","GRV","03/07/2026","SI26ZA01011255","2072026","","ORYX ENERGY","152829.03","298111.50"
"10","07","00031812","Deb Note","03/07/2026","SC26ZA01007310","SON2607ZA105000031","","ORYX ENERGY","-86077.50","212034.00"
"11","07","00058294","GRV","04/07/2026","SI26ZA01011256","3072026","","ORYX ENERGY","157964.30","369998.30"
"12","07","00031813","Deb Note","04/07/2026","SC26ZA01007366","SON2607ZA105000048","","ORYX ENERGY","-86825.00","283173.30"
"13","07","00058295","GRV","06/07/2026","SI26ZA01011257","SON2607ZA105000048","","ORYX ENERGY","51205.30","334378.60"
"14","07","00031814","Deb Note","06/07/2026","SC26ZA01007492","SON2607ZA105000054","","ORYX ENERGY","-10867.50","323511.10"
"15","07","00072013","Payment","07/07/2026","ARP2607ZA101000279","#084","","ORYX ENERGY","-84547.81","238963.29"
"16","07","00058296","GRV","08/07/2026","SI26ZA01011567","7072026","","ORYX ENERGY","198972.80","437936.09"
"17","07","00031815","Deb Note","08/07/2026","SC26ZA01007626","SON2607ZA105000084","","ORYX ENERGY","-114425.00","323511.09"
"18","07","00072014","Payment","08/07/2026","ARP2607ZA101000317","#0093","","ORYX ENERGY","-12677.29","310833.80"
"19","07","00072015","Payment","08/07/2026","ARP2607ZA101000324","#084","","ORYX ENERGY","-53270.00","257563.80"
