"ACCOUNT:","008ORY - ORYX ENERGY"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","-568317.86"
"UD CHEQUES/PAY:","386710.19"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING PD/CLAIMS:","-211303.86"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","GRVNO","SUPPLIER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","-357014.00","-357014.00"
"2","18","00003664","Deb Note","03/08/2026","","SON#003","","ORYX ENERGY","117587.50","-239426.50"
"3","18","00003668","Deb Note","06/08/2026","","SON#011","","ORYX ENERGY","101775.00","-137651.50"
"4","18","00003669","Deb Note","07/08/2026","","SON064","","ORYX ENERGY","79350.00","-58301.50"
"5","18","00003670","Deb Note","07/08/2026","","SON049","","ORYX ENERGY","34845.00","-23456.50"
"6","18","00003674","Deb Note","11/08/2026","","SON074","","ORYX ENERGY","149385.00","125928.50"
"7","18","00003677","Deb Note","13/08/2026","","SON102","","ORYX ENERGY","94875.00","220803.50"
"8","18","00003678","Deb Note","14/08/2026","","SON091","","ORYX ENERGY","87975.00","308778.50"
"9","18","00003685","Deb Note","17/08/2026","","SON#128","","ORYX ENERGY","94875.00","403653.50"
"10","18","00003686","Deb Note","18/08/2026","","SON#134","","ORYX ENERGY","79752.50","483406.00"
"11","18","00003690","Deb Note","21/08/2026","","SON#174","","ORYX ENERGY","125005.00","608411.00"
"12","18","00003692","Deb Note","25/08/2026","","SON#184","","ORYX ENERGY","101775.00","710186.00"
"13","18","00006789","GRV","03/08/2026","","SON#003","00003537","ORYX ENERGY","-207630.92","502555.08"
"14","18","00006795","GRV","06/08/2026","","SON#011","00003540","ORYX ENERGY","-178431.68","324123.40"
"15","18","00006797","GRV","07/08/2026","","SON064","00003543","ORYX ENERGY","-115107.59","209015.81"
"16","18","00006798","GRV","07/08/2026","","SON049","00003544","ORYX ENERGY","-97416.21","111599.60"
"17","18","00006806","GRV","11/08/2026","","SON074","00003545","ORYX ENERGY","-204812.40","-93212.80"
"18","18","00006809","GRV","13/08/2026","","SON102","00003551","ORYX ENERGY","-156458.86","-249671.66"
"19","18","00006811","GRV","14/08/2026","","SON091","00003549","ORYX ENERGY","-144933.99","-394605.65"
"20","18","00006821","GRV","17/08/2026","","SON#128","00003555","ORYX ENERGY","-156458.86","-551064.51"
"21","18","00006822","GRV","18/08/2026","","SON#134","00003557","ORYX ENERGY","-156458.86","-707523.37"
"22","18","00006827","GRV","21/08/2026","","SON#174","00003558","ORYX ENERGY","-179508.61","-887031.98"
"23","18","00006831","GRV","25/08/2026","","SON#184","00003559","ORYX ENERGY","-167983.74","-1055015.72"
"24","03","00007008","Ud XFer","30/05/2025","","","","REV XF.7006","47770.38","-1007245.34"
"25","18","00007028","Ud XFer","18/06/2025","","","","ORYX ENERGY","47329.92","-959915.42"
"26","18","00007360","Ud XFer","05/05/2026","","","","ORYX ENERGY","54411.34","-905504.08"
"27","18","00007405","Ud XFer","24/06/2026","","","","ORYX ENERGY","12617.58","-892886.50"
"28","18","00007413","Ud XFer","03/07/2026","","","","ORYX ENERGY","92157.11","-800729.39"
"29","18","00007445","Bank XFer","04/08/2026","","STAT 129","","ORYX XFER:7445","24740.16","-775989.23"
"30","18","00007446","Bank XFer","03/08/2026","","C-COUNT","","ORYX ENERGY XF#7446","41860.00","-734129.23"
"31","18","00007449","Bank XFer","05/08/2026","","STAT 129","","ORYX XFER:7449","33591.21","-700538.02"
"32","18","00007450","Bank XFer","06/08/2026","","C-COUNT","","ORYX ENERGY XF#7450","63002.50","-637535.52"
"33","18","00007451","Bank XFer","07/08/2026","","STAT 129","","ORYX XFER:4751","77162.40","-560373.12"
"34","18","00007454","Bank XFer","11/08/2026","","STAT 129","","ORYX XFER:7454","56958.99","-503414.13"
"35","18","00007455","Bank XFer","12/08/2026","","STAT 129","","ORYX XFER:7455","61583.86","-441830.27"
"36","18","00007458","Bank XFer","13/08/2026","","C-COUNT","","ORYX ENERGY XF#7458","61590.00","-380240.27"
"37","18","00007461","Ud XFer","17/08/2026","","","","ORYX ENERGY","61583.86","-318656.41"
"38","18","00007462","Ud XFer","20/08/2026","","","","ORYX ENERGY","70840.00","-247816.41"
"39","18","00007463","Bank XFer","21/08/2026","","STAT 129","","ORYX XFER:7463","66208.74","-181607.67"
"TOTAL TRANSACTIONS: -181607.67","","","","","","","","","",""
