Date,Type/number of item,Description,Debit,Credit, Differences,
01/01/2026,CAFOO ZA1010701RANX2000003,Carry-forward entry,0.00,"245,480.54",,
02/01/2026,SACRN SC26ZA01000052,SON2601ZA105000010,0.00,"89,585.00",,
02/01/2026,SACRN SC26ZA01000054,SON2601ZA105000010,0.00,"27,772.50",,
02/01/2026,SACRN SC26ZA01000055,SON2601ZA105000010,0.00,"10,867.50",,
02/01/2026,SAINV SI26ZA01000587,SON2601ZA105000005,"196,901.31",0.00,"- 176,804.23 ",
,,,,,,
,,,,,,
05/01/2026,SACRN SC26ZA01000090,SON2601ZA105000021,0.00,"58,650.00",,
05/01/2026,SAINV SI26ZA01000588,SON2601ZA105000010,"97,739.12",0.00,"  39,089.12 ",
,,,,,,
,,,,,,
13/02/2026,APPAY APP2602ZA101000434,#067,0.00,"93,935.88",,
13/01/2026,SACRN SC26ZA01000341,SON2601ZA10500067,0.00,"146,050.00",,
13/01/2026,SAINV SI26ZA01000939,12012026,"239,985.88",0.00,  -   ,
,,,,,,
,,,,,,
13/02/2026,APPAY APP2602ZA101000433,#083,0.00,"54,348.61",,
15/01/2026,SACRN SC26ZA01000416,SON2601ZA105000083,0.00,"96,600.00",,
15/01/2026,SAINV SI26ZA01001077,13012026,"150,948.61",0.00,- 0.00 ,
,,,,,,
,,,,,,
17/02/2026,SACRN SC26ZA01001541,Jan  2026 Sales Volume Rebate,0.00,"13,075.50","- 13,075.50 ",Rebate
,,,,,,
,,,,,,
16/02/2026,APPAY APP2602ZA101000508,#191,0.00,"20,378.17",,
17/02/2026,SACRN SC26ZA01001556,SON2602ZA105000091,0.00,"51,750.00",,
17/02/2026,SAINV SI26ZA01002794,16022026,"72,128.17",0.00,  -   ,
,,,,,,
,,,,,,
19/02/2026,SACRN SC26ZA01001684,SON2602ZA103000116,0.00,"51,750.00",,
19/02/2026,SAINV SI26ZA01002946,18022026,"81,411.57",0.00,"  29,661.57 ",
,,,,,,
,,,,,,
12/03/2026,SACRN SC26ZA01002471,SON2603ZA105000076,0.00,"66,815.00",,
12/03/2026,SAINV SI26ZA01004136,12032026,"113,286.90",0.00,"  46,471.90 ",
,,,,,,
,,,,,,
16/03/2026,SACRN SC26ZA01002602,SON2603ZA105000072,0.00,"106,260.00",,
16/03/2026,SAINV SI26ZA01004349,2nd Collect,"148,501.11",0.00,"  42,241.11 ",
,,,,,,
,,,,,,
01/04/2026,APPAY APP2604ZA101000023,SON175,0.00,"51,614.00",,
02/04/2026,SACRN SC26ZA01003222,SON2604ZA105000020,0.00,"132,077.50",,
02/04/2026,SAINV SI26ZA01005501,01042026,"219,523.28",0.00,"  35,831.78 ",
,,,,,,
,,,,,,
09/04/2026,SACRN SC26ZA01003515,SON2604ZA105000051,0.00,"18,975.00",,
09/04/2026,SAINV SI26ZA01005693,08042026,"164,680.22",0.00,"  145,705.22 ",
,,,,,,
08/04/2026,APPAY APP2604ZA101000175,#045,0.00,"79,409.72",,
09/04/2026,SACRN SC26ZA01003516,SON2604ZA105000045,0.00,"101,200.00",,
09/04/2026,SAINV SI26ZA01005694,SON2604ZA105000045,"34,904.49",0.00,"- 145,705.23 ",
,,,,,,
,,,,,,
09/04/2026,APPAY APP2604ZA101000283,FNB-09042026,0.00,"45,886.45",,
10/04/2026,SACRN SC26ZA01003546,SON2604ZA105000048,0.00,"70,150.00",,
10/04/2026,SAINV SI26ZA01005773,,"116,036.45",0.00,  -   ,
,,,,,,
,,,,,,
13/04/2026,APPAY APP2604ZA101000382,#065,0.00,"56,585.37",,
14/04/2026,SACRN SC26ZA01003689,SON2604ZA105000065,0.00,"96,025.00",,
14/04/2026,SAINV SI26ZA01005911,13042026,"152,610.37",0.00,- 0.00 ,
,,,,,,
,,,,,,
17/04/2026,APPAY APP2604ZA101000586,#092,0.00,"90,821.90",,
18/04/2026,SACRN SC26ZA01003871,SON2604ZA105000092,0.00,"132,250.00",,
