"ACCOUNT:","BR0001 - BRENELL  DESSERTS"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","20673.66"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","22922.38","22922.38"
"2","12","00044739","Payment","31/01/2023","","TRANSF | STAT208","","BRENELL  DESSERTS","-5468.16","17454.22"
"3","08","00044786","Bank UD","03/10/2023","","TRANSF | STAT: 96","","FNB OB PMT BR0001","9967.00","27421.22"
"4","08","00044786","Payment","03/10/2023","","TRANSF | STAT: 96","","BRENELL  DESSERTS","-9967.00","17454.22"
"5","01","00037272","Payment","28/02/2025","","TRANSF | STAT:112","","BRENELL  DESSERTS","-12278.32","5175.90"
"6","01","00012062","Crd Note","13/03/2025","","DN#4429-EMPTY","","BRENELL  DESSERTS","-4830.00","345.90"
"7","01","00041454","Invoice","13/03/2025","","DN#4429","00010750","BRENELL  DESSERTS","6187.18","6533.08"
"8","01","00041455","Invoice","13/03/2025","","DN#4429-EMPTY","","BRENELL  DESSERTS","4830.00","11363.08"
"9","01","00037816","Payment","31/03/2025","","TRANSF | STAT:113","","BRENELL  DESSERTS","-12374.36","-1011.28"
"10","02","00012212","Crd Note","07/04/2025","","DN#10545- EMPTY","","BRENELL  DESSERTS","-4830.00","-5841.28"
"11","02","00042043","Invoice","07/04/2025","","DN#10545","00010942","BRENELL  DESSERTS","6187.18","345.90"
"12","02","00042044","Invoice","07/04/2025","","DN#10545- EMPTY","","BRENELL  DESSERTS","4830.00","5175.90"
"13","02","00042486","Invoice","24/04/2025","","","","BRENELL  DESSERTS","3028.34","8204.24"
"14","02","00042519","Invoice","24/04/2025","","","","BRENELL  DESSERTS","2415.00","10619.24"
"15","02","00012345","Crd Note","25/04/2025","","DN#13161-EMPTY","","BRENELL  DESSERTS","-7245.00","3374.24"
"16","02","00042537","Invoice","25/04/2025","","DN#13161","00011068","BRENELL  DESSERTS","3028.34","6402.58"
"17","02","00042538","Invoice","25/04/2025","","DN#13161-EMPTY","","BRENELL  DESSERTS","2415.00","8817.58"
"18","02","00038371","Payment","30/04/2025","","TRANSF | STAT:114","","BRENELL  DESSERTS","-6187.18","2630.40"
"19","02","00042796","Invoice","05/05/2025","","DN#13192","00011115","BRENELL  DESSERTS","6056.68","8687.08"
"20","02","00042797","Invoice","05/05/2025","","DN#13192-EMPTY","","BRENELL  DESSERTS","4830.00","13517.08"
"21","02","00012413","Crd Note","06/05/2025","","DN#13192-EMPTY","","BRENELL  DESSERTS","-2415.00","11102.08"
"22","03","00012501","Crd Note","16/05/2025","","DN#13233-EMPTY","","BRENELL  DESSERTS","-4830.00","6272.08"
"23","03","00043113","Invoice","16/05/2025","","DN#13233","00011203","BRENELL  DESSERTS","6056.68","12328.76"
"24","03","00043114","Invoice","16/05/2025","","DN#13233-EMPTY","","BRENELL  DESSERTS","4830.00","17158.76"
"25","03","00043386","Invoice","27/05/2025","","DN#12269","00011310","BRENELL  DESSERTS","6133.46","23292.22"
"26","03","00039142","Payment","30/05/2025","","TRANSF | STAT:115","","BRENELL  DESSERTS","-12243.86","11048.36"
"27","04","00043752","Invoice","09/06/2025","","DN#12307","","BRENELL  DESSERTS","2992.83","14041.19"
"28","04","00043753","Invoice","09/06/2025","","DN#12307-EMPTY","","BRENELL  DESSERTS","2415.00","16456.19"
"29","04","00012681","Crd Note","10/06/2025","","DN#12366-EMPTY","","BRENELL  DESSERTS","-4830.00","11626.19"
"30","04","00043760","Invoice","10/06/2025","","DN#12366","","BRENELL  DESSERTS","5985.66","17611.85"
"31","04","00043761","Invoice","10/06/2025","","DN#12366-EMPTY","","BRENELL  DESSERTS","4830.00","22441.85"
"32","04","00012824","Crd Note","26/06/2025","","DN#12334-EMPTY","","BRENELL  DESSERTS","-4830.00","17611.85"
"33","04","00044233","Invoice","26/06/2025","","DN#12334","","BRENELL  DESSERTS","5985.66","23597.51"
"34","04","00044234","Invoice","26/06/2025","","DN#12334-EMPTY","","BRENELL  DESSERTS","4830.00","28427.51"
"35","04","00039808","Payment","30/06/2025","","TRANSF | STAT:116","","BRENELL  DESSERTS","-18246.82","10180.69"
"36","05","00012926","Crd Note","08/07/2025","","DN#12172-EMPTY","","BRENELL  DESSERTS","-4830.00","5350.69"
"37","05","00044632","Invoice","08/07/2025","","DN#12172","00011690","BRENELL  DESSERTS","5890.48","11241.17"
"38","05","00044633","Invoice","08/07/2025","","DN#12172-EMPTY","00011691","BRENELL  DESSERTS","4830.00","16071.17"
"39","05","00044926","Invoice","17/07/2025","","DN#12647","00011810","BRENELL  DESSERTS","5890.48","21961.65"
"40","05","00044927","Invoice","17/07/2025","","DN#12647- EMPTY","00011811","BRENELL  DESSERTS","4830.00","26791.65"
"41","05","00013014","Crd Note","18/07/2025","","DN#12647","","BRENELL  DESSERTS","-5890.48","20901.17"
"42","05","00013015","Crd Note","18/07/2025","","DN#12647- EMPTY","","BRENELL  DESSERTS","-4830.00","16071.17"
"43","05","00044991","Invoice","21/07/2025","","D/N 12221","","BRENELL  DESSERTS","5890.48","21961.65"
"44","05","00040429","Payment","31/07/2025","","TRANSF | STAT:117","","BRENELL  DESSERTS","-14964.15","6997.50"
"45","06","00013124","Crd Note","04/08/2025","","DN#20214-EMPTY","","BRENELL  DESSERTS","-4830.00","2167.50"
"46","06","00045362","Invoice","04/08/2025","","DN#20214","00012021","BRENELL  DESSERTS","5890.48","8057.98"
"47","06","00045363","Invoice","04/08/2025","","DN#20214-EMPTY","00012022","BRENELL  DESSERTS","4830.00","12887.98"
"48","06","00013180","Crd Note","11/08/2025","","DN#20302- EMPTY","","BRENELL  DESSERTS","-4830.00","8057.98"
"49","06","00045561","Invoice","11/08/2025","","DN#20302","00011589","BRENELL  DESSERTS","5890.48","13948.46"
"50","06","00045562","Invoice","11/08/2025","","DN#20302- EMPTY","00011590","BRENELL  DESSERTS","4830.00","18778.46"
"51","06","00013274","Crd Note","20/08/2025","","DN#20429-EMPTY","","BRENELL  DESSERTS","-4830.00","13948.46"
"52","06","00045776","Invoice","20/08/2025","","DN#20429","00012192","BRENELL  DESSERTS","5775.67","19724.13"
"53","06","00045777","Invoice","20/08/2025","","DN#20429-EMPTY","00012193","BRENELL  DESSERTS","4830.00","24554.13"
"54","06","00013320","Crd Note","27/08/2025","","DN#20555-EMPTY","","BRENELL  DESSERTS","-2415.00","22139.13"
"55","06","00045924","Invoice","27/08/2025","","DN#20555","00012254","BRENELL  DESSERTS","5775.67","27914.80"
"56","06","00045925","Invoice","27/08/2025","","DN#20555-EMPTY","00012255","BRENELL  DESSERTS","4830.00","32744.80"
"57","07","00041045","Payment","01/09/2025","","TRANSF | STAT:119","","BRENELL  DESSERTS","-11780.96","20963.84"
"58","07","00013471","Crd Note","15/09/2025","","DN-21032","","BRENELL  DESSERTS","-1388.57","19575.27"
"59","07","00046400","Invoice","15/09/2025","","DN-21032","","BRENELL  DESSERTS","1388.57","20963.84"
"60","07","00046401","Invoice","15/09/2025","","DN-21031-EMPTY","","BRENELL  DESSERTS","2415.00","23378.84"
"61","07","00046402","Invoice","15/09/2025","","DN-21031","","BRENELL  DESSERTS","2777.14","26155.98"
"62","07","00013491","Crd Note","17/09/2025","","DN#20384-EMPTY","","BRENELL  DESSERTS","-6037.50","20118.48"
"63","07","00046438","Invoice","17/09/2025","","DN#20384","","BRENELL  DESSERTS","2777.14","22895.62"
"64","07","00046439","Invoice","17/09/2025","","DN#20384-EMPTY","","BRENELL  DESSERTS","2415.00","25310.62"
"65","07","00046650","Invoice","25/09/2025","","DN#21063","","BRENELL  DESSERTS","5554.27","30864.89"
"66","07","00046651","Invoice","25/09/2025","","DN#21063-EMPTY","","BRENELL  DESSERTS","4830.00","35694.89"
"67","07","00013553","Crd Note","26/09/2025","","DN#21063-EMPTY","","BRENELL  DESSERTS","-6037.50","29657.39"
"68","08","00041502","Payment","01/10/2025","","TRANSF | STAT:120","","BRENELL  DESSERTS","-23332.30","6325.09"
"69","08","00047053","Invoice","13/10/2025","","DN#20712","","BRENELL  DESSERTS","5554.27","11879.36"
"70","08","00047054","Invoice","13/10/2025","","DN#20712-EMPTY","","BRENELL  DESSERTS","4830.00","16709.36"
"71","08","00013671","Crd Note","14/10/2025","","DN#20712-EMPTY","","BRENELL  DESSERTS","-4830.00","11879.36"
"72","08","00013726","Crd Note","22/10/2025","","DN#20744-EMPTY","","BRENELL  DESSERTS","-4830.00","7049.36"
"73","08","00047225","Invoice","22/10/2025","","DN#20744","","BRENELL  DESSERTS","5554.27","12603.63"
"74","08","00047226","Invoice","22/10/2025","","DN#20744-EMPTY","","BRENELL  DESSERTS","4830.00","17433.63"
"75","08","00042050","Payment","31/10/2025","","TRANSF | STAT:120","","BRENELL  DESSERTS","-11108.55","6325.08"
"76","09","00047563","Invoice","08/11/2025","","DN#20811","","BRENELL  DESSERTS","5458.27","11783.35"
"77","09","00047564","Invoice","08/11/2025","","DN#20811-EMPTY","","BRENELL  DESSERTS","4830.00","16613.35"
"78","09","00013832","Crd Note","10/11/2025","","DN#20811-EMPTY","","BRENELL  DESSERTS","-4830.00","11783.35"
"79","09","00013912","Crd Note","20/11/2025","","DN#20669-EMPTY","","BRENELL  DESSERTS","-4830.00","6953.35"
"80","09","00047816","Invoice","20/11/2025","","DN#20669","","BRENELL  DESSERTS","5458.27","12411.62"
"81","09","00047817","Invoice","20/11/2025","","DN#20669-EMPTY","","BRENELL  DESSERTS","4830.00","17241.62"
"82","10","00042546","Payment","01/12/2025","","TRANSF | STAT:122","","BRENELL  DESSERTS","-11108.54","6133.08"
"83","10","00013998","Crd Note","03/12/2025","","DN#20890- EMPTY","","BRENELL  DESSERTS","-4830.00","1303.08"
"84","10","00048085","Invoice","03/12/2025","","DN#20890","","BRENELL  DESSERTS","5458.27","6761.35"
"85","10","00048086","Invoice","03/12/2025","","DN#20890- EMPTY","","BRENELL  DESSERTS","4830.00","11591.35"
"86","10","00048310","Invoice","17/12/2025","","DN#21422","","BRENELL  DESSERTS","5482.56","17073.91"
"87","10","00048311","Invoice","17/12/2025","","DN#21422-EMPTY","","BRENELL  DESSERTS","4830.00","21903.91"
"88","10","00014098","Crd Note","18/12/2025","","DN#21422-EMPTY","","BRENELL  DESSERTS","-4830.00","17073.91"
"89","10","00042705","Payment","19/12/2025","","TRANSF | STAT:122","","BRENELL  DESSERTS","-10916.54","6157.37"
"90","11","00048788","Invoice","14/01/2026","","DN#21638","00012886","BRENELL  DESSERTS","5516.41","11673.78"
"91","11","00048789","Invoice","14/01/2026","","DN#21638-EMPTY","00012887","BRENELL  DESSERTS","4830.00","16503.78"
"92","11","00014272","Crd Note","15/01/2026","","DN#21638-EMPTY","","BRENELL  DESSERTS","-4830.00","11673.78"
"93","11","00043164","Payment","30/01/2026","","TRANSF | STAT:122","","BRENELL  DESSERTS","-10940.83","732.95"
"94","12","00014407","Crd Note","10/02/2026","","DN-21241EMPTY","","BRENELL  DESSERTS","-4830.00","-4097.05"
