debtor_code,doc_no,entry_type,period,doc_date,dn_ref,order_ref,header_amount,is_empty_line,cn_reversal_doc,notes
BU0005,00048766,Invoice,11,2026-01-14,DN#20985,00012850,1027.87,N,,
BU0005,00048767,Invoice,11,2026-01-14,DN#20985-EMPTY,00012851,2070.00,Y,00014278,CN same day
BU0005,00049566,Invoice,13,2026-03-04,DN#22108,00013281,2697.51,N,,
BU0005,00049567,Invoice,13,2026-03-04,DN=22108-EMPTY,00013282,4140.00,Y,00014550,CN +2d
BU0005,00050193,Invoice,14,2026-04-10,DN-22310,00013484,1159.38,N,,
BU0005,00050194,Invoice,14,2026-04-10,DN-22310-EMPTY,00013485,2070.00,Y,00014749,CN +3d
BU0005,00050906,Invoice,15,2026-05-27,DN#22444,,2087.22,N,00014992,Full LPG CN — re-issued as 00050949
BU0005,00050907,Invoice,15,2026-05-27,DN#22444-EMPTY,,690.00,Y,00014993,CN +2d
BU0005,00050949,Invoice,15,2026-05-29,DN#22609,,2087.22,N,,OPEN — sole current LPG invoice
BU0005,00050950,Invoice,15,2026-05-29,DN#22609-EMPTY,,2070.00,Y,00014999,CN +3d
