"ACCOUNT:","BU0005 - CHOBOZA - BULWER"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","3450.17"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","1378.19","1378.19"
"2","11","00014278","Crd Note","14/01/2026","","DN#20985-EMPTY","","CHOBOZA - BULWER","-2070.00","-691.81"
"3","11","00048766","Invoice","14/01/2026","","DN#20985","00012850","CHOBOZA - BULWER","1027.87","336.06"
"4","11","00048767","Invoice","14/01/2026","","DN#20985-EMPTY","00012851","CHOBOZA - BULWER","2070.00","2406.06"
"5","11","00043092","Payment","16/01/2026","","TRANSF | STAT 122","","CHOBOZA - BULWER","-1030.00","1376.06"
"6","13","00049566","Invoice","04/03/2026","","DN#22108","00013281","CHOBOZA - BULWER","2697.51","4073.57"
"7","13","00049567","Invoice","04/03/2026","","DN=22108-EMPTY","00013282","CHOBOZA - BULWER","4140.00","8213.57"
"8","13","00014550","Crd Note","06/03/2026","","DN=22108-EMPTY","","CHOBOZA - BULWER","-4140.00","4073.57"
"9","13","00043648","Payment","11/03/2026","","TRANSF | STAT 124","","CHOBOZA - BULWER","-2700.00","1373.57"
"10","14","00050193","Invoice","10/04/2026","","DN-22310","00013484","CHOBOZA - BULWER","1159.38","2532.95"
"11","14","00050194","Invoice","10/04/2026","","DN-22310-EMPTY","00013485","CHOBOZA - BULWER","2070.00","4602.95"
"12","14","00014749","Crd Note","13/04/2026","","DN-22310-EMPTY","","CHOBOZA - BULWER","-2070.00","2532.95"
"13","14","00044065","Payment","21/04/2026","","TRANSF | STAT 125","","CHOBOZA - BULWER","-1170.00","1362.95"
"14","15","00050906","Invoice","27/05/2026","","DN#22444","","CHOBOZA - BULWER","2087.22","3450.17"
"15","15","00050907","Invoice","27/05/2026","","DN#22444-EMPTY","","CHOBOZA - BULWER","690.00","4140.17"
"16","15","00014992","Crd Note","29/05/2026","","DN#22444","","CHOBOZA - BULWER","-2087.22","2052.95"
"17","15","00014993","Crd Note","29/05/2026","","DN#22444-EMPTY","","CHOBOZA - BULWER","-690.00","1362.95"
"18","15","00050949","Invoice","29/05/2026","","DN#22609","","CHOBOZA - BULWER","2087.22","3450.17"
"19","15","00050950","Invoice","29/05/2026","","DN#22609-EMPTY","","CHOBOZA - BULWER","2070.00","5520.17"
"20","15","00014999","Crd Note","01/06/2026","","DN#22609-EMPTY","","CHOBOZA - BULWER","-2070.00","3450.17"
"TOTAL TRANSACTIONS: 3450.17","","","","","","","","","",""
