"ACCOUNT:","BU0005 - CHOBOZA - BULWER"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2070.17"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2023 FEBRUARY"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","1380.00","1380.00"
"2","02","00012969","Invoice","16/04/2022","","","","CHOBOZA - BULWER","1980.00","3360.00"
"3","02","00012979","Invoice","16/04/2022","","","","CHOBOZA - BULWER","1725.00","5085.00"
"4","02","00013353","Payment","16/04/2022","","CASH | T7000327","","CHOBOZA - BULWER","-1980.00","3105.00"
"5","02","00003397","Crd Note","19/04/2022","","","","CHOBOZA - BULWER","-1725.00","1380.00"
"6","08","00016195","Invoice","27/10/2022","","D/N2406","00001996","CHOBOZA - BULWER","1493.19","2873.19"
"7","08","00016209","Invoice","27/10/2022","","D/N2406 EMPTIES","00002010","CHOBOZA - BULWER","1794.00","4667.19"
"8","08","00016579","Payment","27/10/2022","","CASH | T0000040","","CHOBOZA - BULWER","-1200.00","3467.19"
"9","08","00004234","Crd Note","28/10/2022","","D/N2406 EMPTIES","","CHOBOZA - BULWER","-1794.00","1673.19"
"10","09","00016837","Payment","15/11/2022","","CASH | T0000043","","CHOBOZA - BULWER","-295.00","1378.19"
"TOTAL TRANSACTIONS: 1378.19","","","","","","","","","",""
