year,month,month_year,lpg_invoice_total,lpg_credit_notes,net_lpg_invoiced,payment_refs_allocated,payment_dates,payment_total_allocated,difference,month_status,review_required,notes
2022,July,2022-07,3224.40,-1628.40,1596.00,15846,2022-08-30,1596.00,0.00,FULLY_SETTLED,False,"Settled in full."
2022,August,2022-08,3249.00,0.00,3249.00,16210,2022-09-30,3249.00,0.00,FULLY_SETTLED,False,"Settled in full."
2022,September,2022-09,1566.30,0.00,1566.30,16652,2022-10-31,1566.30,0.00,FULLY_SETTLED,False,"Settled in full."
2022,October,2022-10,2166.00,0.00,2166.00,17049,2022-11-30,2166.00,0.00,FULLY_SETTLED,False,"Settled in full."
2022,November,2022-11,7072.22,-1576.06,5496.16,17491,2022-12-23,1514.55,3981.61,PARTIALLY_SETTLED,False,"Underpaid. R3981.61 remaining unpaid."
2022,December,2022-12,15502.78,0.00,15502.78,22181,2023-07-03,4101.12,11401.66,PARTIALLY_SETTLED,False,"Underpaid. R11401.66 remaining unpaid."
2023,January,2023-01,22943.42,-9807.88,13135.54,19503,2023-03-31,1663.83,11471.71,PARTIALLY_SETTLED,False,"Underpaid. R11471.71 remaining unpaid."
2023,February,2023-02,9825.57,0.00,9825.57,19503,2023-03-31,9825.57,0.00,FULLY_SETTLED,False,"Settled in full."
2023,March,2023-03,16946.12,0.00,16946.12,"20354,23993","2023-05-02,2023-08-31",16946.12,0.00,FULLY_SETTLED,False,"Settled in full."
2023,April,2023-04,25057.72,0.00,25057.72,"21432,22181,29266","2023-06-07,2023-07-03,2024-02-28",25057.72,0.00,FULLY_SETTLED,False,"Settled in full."
2023,May,2023-05,20935.79,0.00,20935.79,22181,2023-07-03,20935.79,0.00,FULLY_SETTLED,False,"Settled in full."
2023,June,2023-06,27913.44,0.00,27913.44,23110,2023-07-31,27913.44,0.00,FULLY_SETTLED,False,"Settled in full."
2023,July,2023-07,16626.65,0.00,16626.65,"23993,24730","2023-08-31,2023-09-29",16626.65,0.00,FULLY_SETTLED,False,"Settled in full."
2023,August,2023-08,32691.39,-7270.47,25420.92,"24730,24731",2023-09-29,24822.92,598.00,PARTIALLY_SETTLED,False,"Underpaid. R598.00 remaining unpaid."
2023,September,2023-09,29182.91,-1952.42,27230.49,"26186,36640","2023-10-31,2025-02-05",23044.49,4186.00,PARTIALLY_SETTLED,False,"Underpaid. R4186.00 remaining unpaid."
2023,October,2023-10,25217.49,-2838.57,22378.92,26675,2023-11-30,22378.92,0.00,FULLY_SETTLED,False,"Settled in full."
