"ACCOUNT:","CAP000 - CAPITOL CATERERS SELECT (PTY)"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","56654.30"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","43865.94","43865.94"
"2","01","00041156","Invoice","03/03/2025","","DN#12897-PINETOWN","00010646","CAPITOL CATERERS SELECT (PTY)","3149.87","47015.81"
"3","01","00041157","Invoice","03/03/2025","","DN#12897-EMPTY- VILL","","CAPITOL CATERERS SELECT (PTY)","2415.00","49430.81"
"4","01","00011996","Crd Note","04/03/2025","","DN#12897-EMPTY- VILL","","CAPITOL CATERERS SELECT (PTY)","-2415.00","47015.81"
"5","01","00011997","Crd Note","04/03/2025","","DN#12897-PINETOWN","","CAPITOL CATERERS SELECT (PTY)","-3149.87","43865.94"
"6","01","00041307","Invoice","07/03/2025","","DN#11736- HILTON COL","00010689","CAPITOL CATERERS SELECT (PTY)","9449.62","53315.56"
"7","01","00041308","Invoice","07/03/2025","","DN11736-EMPTY HILTON","","CAPITOL CATERERS SELECT (PTY)","7245.00","60560.56"
"8","01","00041378","Invoice","10/03/2025","","D/N 12897","00010724","CAPITOL CATERERS SELECT (PTY)","3149.87","63710.43"
"9","01","00041379","Invoice","10/03/2025","","EMPTY 12897","00010725","CAPITOL CATERERS SELECT (PTY)","2415.00","66125.43"
"10","01","00012035","Crd Note","11/03/2025","","DN11736-EMPTY HILTON","","CAPITOL CATERERS SELECT (PTY)","-7245.00","58880.43"
"11","01","00041384","Invoice","11/03/2025","","CLOUGH STREET 12915","00010727","CAPITOL CATERERS SELECT (PTY)","3117.08","61997.51"
"12","01","00041385","Invoice","11/03/2025","","CLOUGH EMPTY","00010729","CAPITOL CATERERS SELECT (PTY)","3450.00","65447.51"
"13","01","00012051","Crd Note","12/03/2025","","CLOUGH EMPTY","","CAPITOL CATERERS SELECT (PTY)","-3450.00","61997.51"
"14","01","00012052","Crd Note","12/03/2025","","EMPTY 12897","","CAPITOL CATERERS SELECT (PTY)","-2415.00","59582.51"
"15","01","00041768","Invoice","27/03/2025","","VILLAGE-DN#4447","00010859","CAPITOL CATERERS SELECT (PTY)","3149.87","62732.38"
"16","01","00041769","Invoice","27/03/2025","","DN4447- EMP- VILLAG","","CAPITOL CATERERS SELECT (PTY)","2415.00","65147.38"
"17","01","00012139","Crd Note","28/03/2025","","DN4447- EMP- VILLAG","","CAPITOL CATERERS SELECT (PTY)","-2415.00","62732.38"
"18","01","00041876","Invoice","01/04/2025","","DN#4458- VILLAGE","00010894","CAPITOL CATERERS SELECT (PTY)","3149.87","65882.25"
"19","01","00041877","Invoice","01/04/2025","","DN#4458-EMPTY","","CAPITOL CATERERS SELECT (PTY)","2415.00","68297.25"
"20","02","00012170","Crd Note","02/04/2025","","DN#4458-EMPTY","","CAPITOL CATERERS SELECT (PTY)","-2415.00","65882.25"
"21","02","00042015","Invoice","04/04/2025","","DDN#12999","00010933","CAPITOL CATERERS SELECT (PTY)","2493.66","68375.91"
"22","02","00042016","Invoice","04/04/2025","","DN#12999-EMPTY","","CAPITOL CATERERS SELECT (PTY)","2760.00","71135.91"
"23","02","00012205","Crd Note","07/04/2025","","DN#12999-EMPTY","","CAPITOL CATERERS SELECT (PTY)","-2760.00","68375.91"
"24","02","00012245","Crd Note","09/04/2025","","DN#12849-EMPTY","","CAPITOL CATERERS SELECT (PTY)","-1380.00","66995.91"
"25","02","00042145","Invoice","09/04/2025","","DN#12849","00010968","CAPITOL CATERERS SELECT (PTY)","2442.00","69437.91"
"26","02","00042146","Invoice","09/04/2025","","DN#12849-EMPTY","","CAPITOL CATERERS SELECT (PTY)","2760.00","72197.91"
"27","02","00042235","Invoice","13/04/2025","","DN#13059","00011005","CAPITOL CATERERS SELECT (PTY)","6169.24","78367.15"
"28","02","00042236","Invoice","13/04/2025","","DN#13059-EMPTY","","CAPITOL CATERERS SELECT (PTY)","4830.00","83197.15"
"29","02","00012269","Crd Note","14/04/2025","","DN#13059-EMPTY","","CAPITOL CATERERS SELECT (PTY)","-4830.00","78367.15"
