"ACCOUNT:","CAP000 - CAPITOL CATERERS SELECT (PTY)"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","70773.28"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","60437.64"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2024 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","48267.34","48267.34"
"2","01","00018248","Invoice","07/03/2023","00018248","D/N 3369","00004142","CAPITOL CATERERS SELECT (PTY)","1853.37","50120.71"
"3","01","00018509","Invoice","16/03/2023","00018509","D/N3827","00004339","CAPITOL CATERERS SELECT (PTY)","4682.24","54802.95"
"4","01","00004619","Crd Note","17/03/2023","00018586","D/N 3908 EMPTIES","","CAPITOL CATERERS SELECT (PTY)","-1794.00","53008.95"
"5","01","00004620","Crd Note","17/03/2023","00017327","D/N  3908EMPTIES HIL","","CAPITOL CATERERS SELECT (PTY)","-1794.00","51214.95"
"6","01","00018571","Invoice","17/03/2023","00018571","D/N 3908","00004380","CAPITOL CATERERS SELECT (PTY)","4572.66","55787.61"
"7","01","00018586","Invoice","17/03/2023","00018586","D/N 3908 EMPTIES","00004389","CAPITOL CATERERS SELECT (PTY)","1794.00","57581.61"
"8","01","00018635","Invoice","22/03/2023","00018635","D/N 3916","00004415","CAPITOL CATERERS SELECT (PTY)","1810.01","59391.62"
"9","01","00019503","Payment","31/03/2023","00017423","TRANSF | STAT:89","","CAPITOL CATERERS SELECT (PTY)","-1663.83","57727.79"
"10","01","00019503","Payment","31/03/2023","00017440","TRANSF | STAT:89","","CAPITOL CATERERS SELECT (PTY)","-4203.38","53524.41"
"11","01","00019503","Payment","31/03/2023","00017711","TRANSF | STAT:89","","CAPITOL CATERERS SELECT (PTY)","-1594.35","51930.06"
"12","01","00019503","Payment","31/03/2023","00017712","TRANSF | STAT:89","","CAPITOL CATERERS SELECT (PTY)","-4027.84","47902.22"
"13","01","00018999","Invoice","03/04/2023","00018999","D/N 3959","00004569","CAPITOL CATERERS SELECT (PTY)","2470.76","50372.98"
"14","01","00019137","Invoice","06/04/2023","00019137","D/N 3869 MAKRO","00004608","CAPITOL CUISINE","4681.44","55054.42"
"15","02","00019408","Invoice","17/04/2023","00019408","D/N 4073","00004763","CAPITOL CUISINE","4567.04","59621.46"
"16","02","00019410","Invoice","17/04/2023","00019410","D/N 4706","00004773","CAPITOL CUISINE","2410.40","62031.86"
"17","02","00019411","Invoice","17/04/2023","00019411","D/N 4707","00004774","CAPITOL CUISINE","4567.04","66598.90"
"18","02","00019762","Invoice","28/04/2023","00019762","D/N 4146","00004968","CAPITOL CUISINE","4567.04","71165.94"
"19","02","00019764","Invoice","28/04/2023","00019764","D/N 4146 EMPTIES","00004973","CAPITOL CUISINE","1794.00","72959.94"
"20","02","00004806","Crd Note","29/04/2023","00019764","D/N 4146 EMPTIES","","CAPITOL CUISINE","-1794.00","71165.94"
"21","02","00004807","Crd Note","29/04/2023","00019764","D/N 4146 EMPTIES","","CAPITOL CUISINE","-1794.00","69371.94"
"22","02","00019811","Invoice","29/04/2023","00019811","D/N 4146 CREDIT NOTE","","CAPITOL CUISINE","1794.00","71165.94"
"23","02","00020354","Payment","02/05/2023","00018036","TRANSF | STAT:90","","CAPITOL CUISINE","-4027.84","67138.10"
"24","02","00020354","Payment","02/05/2023","00018248","TRANSF | STAT:90","","CAPITOL CUISINE","-1853.37","65284.73"
"25","02","00020354","Payment","02/05/2023","00018509","TRANSF | STAT:90","","CAPITOL CUISINE","-4682.24","60602.49"
"26","02","00020354","Payment","02/05/2023","00018635","TRANSF | STAT:90","","CAPITOL CUISINE","-1810.01","58792.48"
"27","02","00004857","Crd Note","04/05/2023","00019923","D/N 4161 EMPTIES","","CAPITOL CUISINE","-1794.00","56998.48"
"28","02","00019921","Invoice","04/05/2023","00019921","D/N 4161","00005077","CAPITOL CUISINE","4567.04","61565.52"
"29","02","00019923","Invoice","04/05/2023","00019923","D/N 4161 EMPTIES","00005079","CAPITOL CUISINE","1794.00","63359.52"
"30","03","00020051","Invoice","08/05/2023","00020051","D/N4180","00005149","CAPITOL CUISINE","4010.40","67369.92"
"31","03","00020052","Invoice","08/05/2023","00020052","D/N4179","00005150","CAPITOL CUISINE","2116.60","69486.52"
"32","03","00020492","Invoice","22/05/2023","00020492","D/N 4631","00005311","CAPITOL CUISINE","4012.66","73499.18"
"33","03","00005025","Crd Note","24/05/2023","00020567","D/N 3640 EMPTIES","","CAPITOL CUISINE","-1794.00","71705.18"
"34","03","00020547","Invoice","24/05/2023","00020547","D/N 4778","00005326","CAPITOL CUISINE","2117.79","73822.97"
"35","03","00020550","Invoice","24/05/2023","00020550","D/N 3640","00005339","CAPITOL CUISINE","4111.30","77934.27"
"36","03","00020567","Invoice","24/05/2023","00020567","D/N 3640 EMPTIES","","CAPITOL CUISINE","1794.00","79728.27"
"37","03","00020959","Invoice","03/06/2023","00020959","D/N 5303","00005487","CAPITOL CUISINE","4012.66","83740.93"
"38","03","00021032","Invoice","06/06/2023","00021032","D/N 3683","00005508","CAPITOL CUISINE","4012.66","87753.59"
"39","03","00021034","Invoice","06/06/2023","00021034","D/N 3680","00005510","CAPITOL CUISINE","2117.79","89871.38"
"40","03","00021432","Payment","07/06/2023","00018999","TRANSF | STAT:91","","CAPITOL CUISINE","-2470.76","87400.62"
"41","03","00021432","Payment","07/06/2023","00019137","TRANSF | STAT:91","","CAPITOL CUISINE","-4681.44","82719.18"
"42","03","00021432","Payment","07/06/2023","00019408","TRANSF | STAT:91","","CAPITOL CUISINE","-4567.04","78152.14"
"43","03","00021432","Payment","07/06/2023","00019410","TRANSF | STAT:91","","CAPITOL CUISINE","-2410.40","75741.74"
"44","03","00021432","Payment","07/06/2023","00019411","TRANSF | STAT:91","","CAPITOL CUISINE","-4567.04","71174.70"
"45","04","00005204","Crd Note","13/06/2023","00021287","D/N 4686 EMPTIES","","CAPITOL CUISINE","-1794.00","69380.70"
"46","04","00021266","Invoice","13/06/2023","00021266","D/N 4686","00005592","CAPITOL CUISINE","4111.30","73492.00"
"47","04","00021287","Invoice","13/06/2023","00021287","D/N 4686 EMPTIES","","CAPITOL CUISINE","1794.00","75286.00"
"48","04","00005286","Crd Note","21/06/2023","00021514","D/N 5229 EMPTIES","","CAPITOL CUISINE","-2990.00","72296.00"
"49","04","00021513","Invoice","21/06/2023","00021513","D/N 5229","00005684","CAPITOL CUISINE","2709.00","75005.00"
"50","04","00021514","Invoice","21/06/2023","00021514","D/N 5229 EMPTIES","","CAPITOL CUISINE","2990.00","77995.00"
"51","04","00005342","Crd Note","27/06/2023","00021728","D/N 4828 EMPTIES","","CAPITOL CUISINE","-1794.00","76201.00"
"52","04","00021725","Invoice","27/06/2023","00021725","D/N 4828","00005750","CAPITOL CUISINE","4106.26","80307.26"
