"ACCOUNT:","CAP000 - CAPITOL CATERERS SELECT (PTY)"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","70773.28"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","43865.94"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2025 MARCH"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","60437.64","60437.64"
"2","01","00017886","Payment","30/01/2023","","TRANSF | STAT:89","","CAPITOL CATERERS SELECT (PTY)","-15383.27","45054.37"
"3","01","00018484","Payment","28/02/2023","","TRANSF | STAT:89","","CAPITOL CATERERS SELECT (PTY)","-11471.71","33582.66"
"4","01","00007592","Crd Note","04/03/2024","00030100","DN7900","","CAPITOL CUISINE SELECT (PTY)","-2392.00","31190.66"
"5","01","00030098","Invoice","04/03/2024","00030098","DN7900","00007801","CAPITOL CUISINE SELECT (PTY)","2465.83","33656.49"
"6","01","00030100","Invoice","04/03/2024","00030100","DN7900","","CAPITOL CUISINE SELECT (PTY)","2392.00","36048.49"
"7","01","00030228","Invoice","08/03/2024","00030228","SO/7837","00007837","CAPITOL CUISINE SELECT (PTY)","3145.83","39194.32"
"8","01","00030302","Invoice","11/03/2024","00030302","HILTON COLLEGE","00007875","CAPITOL CUISINE SELECT (PTY)","9437.47","48631.79"
"9","01","00030780","Invoice","27/03/2024","00030780","DN#8077 SO#8040","00008040","CAPITOL CUISINE SELECT (PTY)","4718.74","53350.53"
"10","01","00030021","Payment","28/03/2024","00022538","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-1196.00","52154.53"
"11","01","00030021","Payment","28/03/2024","00023180","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-598.00","51556.53"
"12","01","00030021","Payment","28/03/2024","00029303","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-4618.86","46937.67"
"13","01","00030021","Payment","28/03/2024","00029457","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-3114.75","43822.92"
"14","01","00030021","Payment","28/03/2024","00029792","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-3114.73","40708.19"
"15","01","00030021","Payment","28/03/2024","00030098","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-80.22","40627.97"
"16","01","00030021","Payment","28/03/2024","00030098","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-416.96","40211.01"
"17","01","00030021","Payment","28/03/2024","00031231","TRANSF | STAT 100","","CAPITOL CATERERS SELECT (PTY)","-1939.82","38271.19"
"18","01","00030813","Invoice","28/03/2024","00030813","DN#8858 SO#8047","00008047","CAPITOL CUISINE SELECT (PTY)","3145.83","41417.02"
"19","01","00030887","Invoice","02/04/2024","00030887","DN#8092 SO#8081","00008081","CAPITOL CUISINE SELECT (PTY)","2785.36","44202.38"
"20","01","00031231","Invoice","12/04/2024","00031231","DN#8785 SO#8190","00008190","CAPITOL CATERERS SELECT (PTY)","3130.37","47332.75"
"21","01","00031398","Invoice","18/04/2024","00031398","SO 8233 D/N 8891","00008233","CAPITOL CATERERS SELECT (PTY)","2478.20","49810.95"
"22","01","00031559","Invoice","24/04/2024","00031559","DN#8685 -THE VILLAGE","00008276","CAPITOL CATERERS SELECT (PTY)","3130.37","52941.32"
"23","02","00031859","Invoice","03/05/2024","00031859","HILTON COLLEGE","","CAPITOL CATERERS SELECT (PTY)","4695.55","57636.87"
"24","02","00008300","Crd Note","04/05/2024","00031859","HILTON COLLEGE","","CAPITOL CATERERS SELECT (PTY)","-4695.55","52941.32"
"25","02","00031899","Invoice","06/05/2024","00031899","DN#8706 -SCOTSVILLE","","CAPITOL CATERERS SELECT (PTY)","619.55","53560.87"
"26","02","00031943","Invoice","07/05/2024","00031943","DN#8711 HILTON COL","00008348","CAPITOL CATERERS SELECT (PTY)","4639.39","58200.26"
"27","03","00030631","Payment","09/05/2024","00030228","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-3145.83","55054.43"
"28","03","00030631","Payment","09/05/2024","00030302","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-9437.47","45616.96"
"29","03","00030631","Payment","09/05/2024","00030780","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-4718.74","40898.22"
"30","03","00030631","Payment","09/05/2024","00030813","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-3145.83","37752.39"
"31","03","00030631","Payment","09/05/2024","00036082","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-624.86","37127.53"
"32","03","00030631","Payment","09/05/2024","00038580","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-590.65","36536.88"
"33","03","00030631","Payment","09/05/2024","00039045","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-3111.49","33425.39"
"34","03","00030631","Payment","09/05/2024","00040632","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-690.00","32735.39"
"35","03","00030631","Payment","09/05/2024","00042642","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","690.00","33425.39"
"36","03","00030631","Payment","09/05/2024","00042920","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-1207.50","32217.89"
"37","03","00030631","Payment","09/05/2024","00043151","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","1207.50","33425.39"
"38","03","00030631","Payment","09/05/2024","00043432","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","4326.99","37752.38"
"39","02","00032040","Invoice","10/05/2024","00032040","DN#8730 -THE VILLAGE","","CAPITOL CATERERS SELECT (PTY)","3092.93","40845.31"
"40","02","00032122","Invoice","14/05/2024","00032122","DN#8742","","CAPITOL CATERERS SELECT (PTY)","2448.58","43293.89"
"41","02","00032455","Invoice","25/05/2024","00032455","DN#8924 - PINETOWN","","CAPITOL CATERERS SELECT (PTY)","3092.93","46386.82"
"42","02","00032510","Invoice","28/05/2024","00032510","DN#8497 -SCOTSVILLE","","CAPITOL CATERERS SELECT (PTY)","612.14","46998.96"
"43","02","00032539","Invoice","28/05/2024","00032539","D/N 8926","","CAPITOL CATERERS SELECT (PTY)","4639.39","51638.35"
"44","03","00031835","Payment","31/05/2024","00030887","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-2785.36","48852.99"
"45","03","00031835","Payment","31/05/2024","00031398","TRANSF | STAT 102","","CAPITOL CATERERS SELECT (PTY)","-2478.20","46374.79"
"46","02","00032676","Invoice","03/06/2024","00032676","DN#8937","","CAPITOL CATERERS SELECT (PTY)","2448.58","48823.37"
"47","02","00032823","Invoice","07/06/2024","00032823","DN#8536","","CAPITOL CATERERS SELECT (PTY)","589.90","49413.27"
"48","02","00032942","Invoice","10/06/2024","00032942","DN#8549 - VILLAGE","","CAPITOL CATERERS SELECT (PTY)","2980.59","52393.86"
"49","02","00033007","Invoice","12/06/2024","00033007","DN#8338 - HILTON COL","","CAPITOL CATERERS SELECT (PTY)","4470.89","56864.75"
"50","02","00033114","Invoice","14/06/2024","00033114","DN#9087","","CAPITOL CATERERS SELECT (PTY)","2359.62","59224.37"
"51","02","00033355","Invoice","21/06/2024","00033355","DN#9978- VILLAGE","00008614","CAPITOL CATERERS SELECT (PTY)","2980.59","62204.96"
"52","05","00031836","Payment","03/07/2024","00031231","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-1190.55","61014.41"
"53","05","00031836","Payment","03/07/2024","00031559","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-1257.73","59756.68"
"54","05","00031836","Payment","03/07/2024","00031943","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-4639.39","55117.29"
"55","05","00031836","Payment","03/07/2024","00032040","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-3092.93","52024.36"
"56","05","00031836","Payment","03/07/2024","00032455","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-3092.93","48931.43"
"57","05","00031836","Payment","03/07/2024","00032539","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-4639.39","44292.04"
"58","04","00033818","Invoice","04/07/2024","00033818","DN#10034- PINETOWN","","CAPITOL CATERERS SELECT (PTY)","2980.59","47272.63"
"59","04","00033960","Invoice","08/07/2024","00033960","DN#9781- CLOUGH ST","","CAPITOL CATERERS SELECT (PTY)","2283.05","49555.68"
"60","04","00034303","Invoice","17/07/2024","00034303","DN#9586","","CAPITOL CATERERS SELECT (PTY)","4442.74","53998.42"
"61","04","00034357","Invoice","18/07/2024","00034357","DN#9820- VILLAGE","","CAPITOL CATERERS SELECT (PTY)","2961.83","56960.25"
"62","04","00034709","Invoice","30/07/2024","00034709","21 CLOUGH STR DN#983","00008817","CAPITOL CATERERS SELECT (PTY)","2344.76","59305.01"
"63","04","00034711","Invoice","30/07/2024","00034711","SCOTSVILLE","00008818","CAPITOL CATERERS SELECT (PTY)","586.19","59891.20"
"64","05","00032594","Payment","31/07/2024","00031559","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-1872.64","58018.56"
"65","05","00032594","Payment","31/07/2024","00032122","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-575.94","57442.62"
"66","05","00032594","Payment","31/07/2024","00032122","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-1872.64","55569.98"
"67","05","00032594","Payment","31/07/2024","00032942","TRANSF | STAT 104","","CAPITOL CATERERS SELECT (PTY)","-2980.59","52589.39"
