"DERIVATION WARNING:","This file is NOT a genuine ERP DEBENQ export. It was mechanically derived from the master ledger dump (ERP RAW DATA/DETRANS.TXT) by derive_debenq_from_master_dump.mjs because no dedicated per-account ERP statement export exists for DBS001. Opening balance is ASSUMED = 0.00 (no BALANCE B/F evidence available). All running balances below are self-computed, not ERP-stated. Treat as ASSUMED basis until a real ERP export is obtained — see SKILL_Debtors_Orchestrator.md ERP freshness gate."
"ACCOUNT:","DBS001 - DSB CHICKEN VS FISH"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","-5.16"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","-5.16"
"SORT ORDER:","DOCUMENT DATE (re-sorted from master dump order — not ERP-native)"
"YEAR:","DERIVED"
"INCLUDE:","DERIVED FROM ERP RAW DATA/DETRANS.TXT"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","1","00012026","Crd Note","07/03/2025","00041293","DN#11735-EMPTY","","DSB CHICKEN VS FISH","-1552.50","-1552.50"
"3","1","00041292","Invoice","07/03/2025","00041292","DN#11735","00010686","DSB CHICKEN VS FISH","547.68","-1004.82"
"4","1","00041293","Invoice","07/03/2025","00041293","DN#11735-EMPTY","","DSB CHICKEN VS FISH","1035.00","30.18"
"5","1","00037375","Payment","10/03/2025","00041292","TRANSF","","DSB CHICKEN VS FISH","-547.68","-517.50"
"6","1","00041411","Invoice","12/03/2025","00041411","D/N 10521","00010732","DSB CHICKEN VS FISH","1734.31","1216.81"
"7","8","00047175","Invoice","12/03/2025","00047175","DN#11735-EMPTY","","DSB CHICKEN VS FISH","517.50","1734.31"
"8","2","00038768","Payment","15/03/2025","00041411","TRANSF","","DSB CHICKEN VS FISH","-1734.31","0.00"
"9","1","00041652","Invoice","20/03/2025","00041652","DN#12971","00010813","DSB CHICKEN VS FISH","273.84","273.84"
"10","1","00041653","Invoice","20/03/2025","00041653","DN#12971-EMPTY","00010814","DSB CHICKEN VS FISH","517.50","791.34"
"11","1","00012108","Crd Note","22/03/2025","00041653","DN#12971-EMPTY","","DSB CHICKEN VS FISH","-517.50","273.84"
"12","1","00037625","Payment","25/03/2025","00041652","TRANSF","","DSB CHICKEN VS FISH","-273.84","0.00"
"13","1","00041752","Invoice","26/03/2025","00041752","DN#12826","00010855","DSB CHICKEN VS FISH","547.68","547.68"
"14","1","00041753","Invoice","26/03/2025","00041753","DN#12826 - EMPTY","","DSB CHICKEN VS FISH","1035.00","1582.68"
"15","1","00012132","Crd Note","27/03/2025","00041753","DN#12826 - EMPTY","","DSB CHICKEN VS FISH","-1035.00","547.68"
"16","1","00041841","Invoice","29/03/2025","00041841","DN#4455","00010882","DSB CHICKEN VS FISH","1460.48","2008.16"
"17","1","00037767","Payment","31/03/2025","00041752","TRANSF","","DSB CHICKEN VS FISH","-547.68","1460.48"
"18","1","00037767","Payment","31/03/2025","00041841","TRANSF","","DSB CHICKEN VS FISH","-1460.48","0.00"
"19","2","00012219","Crd Note","07/04/2025","00042060","DN#13005-EMPTY","","DSB CHICKEN VS FISH","-1035.00","-1035.00"
"20","2","00042059","Invoice","07/04/2025","00042059","DN#13005","00010955","DSB CHICKEN VS FISH","535.44","-499.56"
"21","2","00042060","Invoice","07/04/2025","00042060","DN#13005-EMPTY","","DSB CHICKEN VS FISH","1035.00","535.44"
"22","2","00038076","Payment","09/04/2025","00042059","TRANSF","","DSB CHICKEN VS FISH","-535.44","0.00"
"23","2","00042188","Invoice","10/04/2025","00042188","DN#13052","00010989","DSB CHICKEN VS FISH","1427.85","1427.85"
"24","2","00012277","Crd Note","15/04/2025","00042282","DN#13066-EMPTY","","DSB CHICKEN VS FISH","-517.50","910.35"
"25","2","00042281","Invoice","15/04/2025","00042281","DN313066","00011017","DSB CHICKEN VS FISH","267.72","1178.07"
"26","2","00042282","Invoice","15/04/2025","00042282","DN#13066-EMPTY","","DSB CHICKEN VS FISH","517.50","1695.57"
"27","2","00038153","Payment","17/04/2025","00042188","TRANSF","","DSB CHICKEN VS FISH","-1427.85","267.72"
"28","2","00038153","Payment","17/04/2025","00042281","TRANSF","","DSB CHICKEN VS FISH","-267.72","0.00"
"29","2","00012346","Crd Note","25/04/2025","00042536","DN#13162-EMPTY","","DSB CHICKEN VS FISH","-1035.00","-1035.00"
