"DERIVATION WARNING:","This file is NOT a genuine ERP DEBENQ export. It was mechanically derived from the master ledger dump (ERP RAW DATA/DETRANS.TXT) by derive_debenq_from_master_dump.mjs because no dedicated per-account ERP statement export exists for DBS010. Opening balance is ASSUMED = 0.00 (no BALANCE B/F evidence available). All running balances below are self-computed, not ERP-stated. Treat as ASSUMED basis until a real ERP export is obtained — see SKILL_Debtors_Orchestrator.md ERP freshness gate."
"ACCOUNT:","DBS010 - DBS CHICKEN EMPTIES"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","0.00"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE (re-sorted from master dump order — not ERP-native)"
"YEAR:","DERIVED"
"INCLUDE:","DERIVED FROM ERP RAW DATA/DETRANS.TXT"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","1","00012054","Crd Note","12/03/2025","00041427","DN#10521","","DBS CHICKEN EMPTIES","-1207.50","-1207.50"
"3","8","00013712","Crd Note","12/03/2025","00041427","DN#10521","","DBS CHICKEN EMPTIES","-517.50","-1725.00"
"4","1","00041427","Invoice","12/03/2025","00041427","DN#10521","","DBS CHICKEN EMPTIES","1725.00","0.00"
"5","1","00041842","Invoice","29/03/2025","00041842","DN#4455","","DBS CHICKEN EMPTIES","1207.50","1207.50"
"6","1","00012154","Crd Note","31/03/2025","00041842","DN#4455","","DBS CHICKEN EMPTIES","-1207.50","0.00"
"7","2","00012250","Crd Note","10/04/2025","00042189","DN#13052-EMPTY","","DBS CHICKEN EMPTIES","-1207.50","-1207.50"
"8","2","00042189","Invoice","10/04/2025","00042189","DN#13052-EMPTY","","DBS CHICKEN EMPTIES","1207.50","0.00"
"9","2","00012342","Crd Note","25/04/2025","00042534","DN#13162","","DBS CHICKEN EMPTIES","-560.00","-560.00"
"10","2","00042534","Invoice","25/04/2025","00042534","DN#13162","00011070","DBS CHICKEN EMPTIES","560.00","0.00"
"11","3","00012449","Crd Note","09/05/2025","00042939","DN#13206-EMPTY","","DBS CHICKEN EMPTIES","-1035.00","-1035.00"
"12","3","00042939","Invoice","09/05/2025","00042939","DN#13206-EMPTY","","DBS CHICKEN EMPTIES","1035.00","0.00"
"13","3","00012500","Crd Note","16/05/2025","00043110","DN#13235-EMPTY","","DBS CHICKEN EMPTIES","-1725.00","-1725.00"
"14","3","00043110","Invoice","16/05/2025","00043110","DN#13235-EMPTY","","DBS CHICKEN EMPTIES","1725.00","0.00"
"15","3","00012526","Crd Note","20/05/2025","00043215","DN#12101-EMPTY","","DBS CHICKEN EMPTIES","-1207.50","-1207.50"
"16","3","00043215","Invoice","20/05/2025","00043215","DN#12101-EMPTY","","DBS CHICKEN EMPTIES","1207.50","0.00"
"17","5","00040097","Payment","21/07/2025","Alloc","CASH","","DBS CHICKEN EMPTIES","-598.00","-598.00"
"18","5","00040097","Payment","21/07/2025","Alloc","CASH","","DBS CHICKEN EMPTIES","-402.00","-1000.00"
"19","5","00040097","Payment","21/07/2025","Alloc","CASH","","DBS CHICKEN EMPTIES","598.00","-402.00"
"20","5","00040097","Payment","21/07/2025","Alloc","CASH","","DBS CHICKEN EMPTIES","402.00","0.00"
"21","5","00040097","Payment","21/07/2025","Recon","CASH","","DBS CHICKEN EMPTIES","-1000.00","-1000.00"
"22","5","00040107","Payment","21/07/2025","Recon","CASH","","DBS CHICKEN EMPTIES","1000.00","0.00"
