"ACCOUNT:","FAM000 - FAMILY GAS"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","66456.89"
"UD PAY/CHEQUES:","-23592.48"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","23592.48"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","36051.81","36051.81"
"2","15","00013916","Ud Paymnt","21/05/2022","","","","FAMILY GAS","-3689.34","32362.47"
"3","15","00029053","Ud Paymnt","27/02/2024","","","","FAMILY GAS","-8122.20","24240.27"
"4","15","00036556","Ud Paymnt","07/02/2025","","","","FAMILY GAS","-8204.50","16035.77"
"5","01","00036996","Payment","27/02/2025","","SPEEDP | PC-76-17","","FAMILY GAS","-2177.35","13858.42"
"6","01","00011984","Crd Note","03/03/2025","","DN#12805-EMPTY","","FAMILY GAS","-7705.00","6153.42"
"7","01","00037070","Payment","03/03/2025","","CASH | T2000071","","FAMILY GAS","-9031.00","-2877.58"
"8","01","00041128","Invoice","03/03/2025","","DN#12805-EMPTY","","FAMILY GAS","7015.00","4137.42"
"9","01","00041131","Invoice","03/03/2025","","DN#12807","00010630","FAMILY GAS","10183.07","14320.49"
"10","01","00012006","Crd Note","05/03/2025","","DN#11725-EMPTY","","FAMILY GAS","-6152.50","8167.99"
"11","01","00037126","Payment","05/03/2025","","CASH | T2000071","","FAMILY GAS","-5770.50","2397.49"
"12","01","00041228","Invoice","05/03/2025","","DN#11725","00010673","FAMILY GAS","5771.25","8168.74"
"13","01","00041230","Invoice","05/03/2025","","DN#11725-EMPTY","","FAMILY GAS","6152.50","14321.24"
"14","01","00041288","Invoice","06/03/2025","","DN#10514","00010684","FAMILY GAS","8951.86","23273.10"
"15","01","00041289","Invoice","06/03/2025","","DN#10514-EMPTY","","FAMILY GAS","11902.50","35175.60"
"16","01","00012028","Crd Note","07/03/2025","","DN#10514-EMPTY","","FAMILY GAS","-11902.50","23273.10"
"17","01","00037166","Payment","07/03/2025","","CASH | T2000071","","FAMILY GAS","-10183.07","13090.03"
"18","01","00037233","Payment","10/03/2025","","CASH | T2000073","","FAMILY GAS","-11004.87","2085.16"
"19","01","00037236","Payment","10/03/2025","","CASH | T2000073","","FAMILY GAS","-974.69","1110.47"
"20","01","00041348","Invoice","10/03/2025","","","00010703","FAMILY GAS","11003.87","12114.34"
"21","01","00041381","Invoice","10/03/2025","","D/N 5346","00010726","FAMILY GAS","2354.69","14469.03"
"22","01","00012042","Crd Note","11/03/2025","","D/N 5346","","FAMILY GAS","-1380.00","13089.03"
"23","01","00012061","Crd Note","13/03/2025","","DN#4428-EMPTY","","FAMILY GAS","-17020.00","-3930.97"
"24","01","00041447","Invoice","13/03/2025","","DN#4428","00010747","FAMILY GAS","12183.77","8252.80"
"25","01","00041449","Invoice","13/03/2025","","DN#4428-EMPTY","","FAMILY GAS","17020.00","25272.80"
"26","01","00037339","Payment","14/03/2025","","CASH | T2000076","","FAMILY GAS","-12184.00","13088.80"
"27","01","00012078","Crd Note","17/03/2025","","DN#12927-EMPTY","","FAMILY GAS","-17020.00","-3931.20"
"28","01","00037394","Payment","17/03/2025","","CASH | T2000077","","FAMILY GAS","-12184.00","-16115.20"
"29","01","00041526","Invoice","17/03/2025","","DN#12927","00010773","FAMILY GAS","12183.77","-3931.43"
"30","01","00041527","Invoice","17/03/2025","","DN#12927-EMPTY","","FAMILY GAS","17020.00","13088.57"
"31","01","00041658","Invoice","20/03/2025","","DN#12934","00010834","FAMILY GAS","12183.77","25272.34"
"32","01","00012106","Crd Note","22/03/2025","","DN#12934-EMPTY","","FAMILY GAS","-17020.00","8252.34"
"33","01","00041659","Invoice","22/03/2025","","DN#12934-EMPTY","","FAMILY GAS","17020.00","25272.34"
"34","01","00037505","Payment","24/03/2025","","CASH | T2000082","","FAMILY GAS","-12183.77","13088.57"
"35","01","00041763","Invoice","26/03/2025","","DN#12829","00010864","FAMILY GAS","12183.77","25272.34"
"36","01","00012134","Crd Note","27/03/2025","","DN#12829-EMPTY","","FAMILY GAS","-17077.50","8194.84"
"37","01","00012135","Crd Note","27/03/2025","","DN#12830 - SWAP","","FAMILY GAS","-2438.70","5756.14"
"38","01","00037577","Payment","27/03/2025","","CASH | T2000084","","FAMILY GAS","-12183.00","-6426.86"
"39","01","00041764","Invoice","27/03/2025","","DN#12829-EMPTY","","FAMILY GAS","17020.00","10593.14"
"40","01","00041765","Invoice","27/03/2025","","DN#12830 - SWAP","","FAMILY GAS","2438.70","13031.84"
"41","01","00012153","Crd Note","31/03/2025","","DN#12832-EMPTY","","FAMILY GAS","-17767.50","-4735.66"
"42","01","00037652","Payment","31/03/2025","","CASH | T2000086","","FAMILY GAS","-8951.86","-13687.52"
"43","01","00041846","Invoice","31/03/2025","","DN#12832","00010883","FAMILY GAS","12773.73","-913.79"
"44","01","00041847","Invoice","31/03/2025","","DN#12832-EMPTY","","FAMILY GAS","17767.50","16853.71"
"45","02","00012182","Crd Note","03/04/2025","","DN#12994-EMPTY","","FAMILY GAS","-16905.00","-51.29"
"46","02","00037730","Payment","03/04/2025","","CASH | T2000088","","FAMILY GAS","-12773.73","-12825.02"
"47","02","00041955","Invoice","03/04/2025","","DN#12994","00010910","FAMILY GAS","12055.52","-769.50"
"48","02","00041956","Invoice","03/04/2025","","DN#12994-EMPTY","","FAMILY GAS","16905.00","16135.50"
"49","02","00042007","Invoice","04/04/2025","","DN#4467","00010928","FAMILY GAS","12619.82","28755.32"
"50","02","00042008","Invoice","04/04/2025","","DN#4467-EMPTY","","FAMILY GAS","15870.00","44625.32"
"51","02","00012192","Crd Note","05/04/2025","","DN#4467-EMPTY","","FAMILY GAS","-15870.00","28755.32"
"52","02","00012208","Crd Note","07/04/2025","","DN#4468-EMPTY","","FAMILY GAS","-16905.00","11850.32"
"53","02","00037814","Payment","07/04/2025","","CASH | T2000089","","FAMILY GAS","-24675.00","-12824.68"
"54","02","00042039","Invoice","07/04/2025","","DN#4468","00010939","FAMILY GAS","12055.52","-769.16"
"55","02","00042040","Invoice","07/04/2025","","DN#4468-EMPTY","","FAMILY GAS","16905.00","16135.84"
"56","02","00012244","Crd Note","09/04/2025","","DN#11750-EMPTY","","FAMILY GAS","-5520.00","10615.84"
"57","02","00042142","Invoice","09/04/2025","","DN#11750","00010967","FAMILY GAS","5555.57","16171.41"
"58","02","00042144","Invoice","09/04/2025","","DN#11750-EMPTY","","FAMILY GAS","5520.00","21691.41"
"59","02","00012256","Crd Note","12/04/2025","","DN#10550-EMPTY","","FAMILY GAS","-13110.00","8581.41"
"60","02","00037923","Payment","12/04/2025","","CASH | T2000092","","FAMILY GAS","-17500.00","-8918.59"
"61","02","00042225","Invoice","12/04/2025","","DN#10550","00011002","FAMILY GAS","10452.91","1534.32"
"62","02","00042226","Invoice","12/04/2025","","DN#10550-EMPTY","","FAMILY GAS","13110.00","14644.32"
"63","02","00012281","Crd Note","16/04/2025","","DN#13074-EMPTY","","FAMILY GAS","-22482.50","-7838.18"
"64","02","00037987","Payment","16/04/2025","","CASH | T2000095","","FAMILY GAS","-10564.00","-18402.18"
"65","02","00042302","Invoice","16/04/2025","","DN#13074","00011031","FAMILY GAS","15797.87","-2604.31"
"66","02","00042303","Invoice","16/04/2025","","DN#13074-EMPTY","00011032","FAMILY GAS","22482.50","19878.19"
"67","02","00012310","Crd Note","19/04/2025","","DN#13023-EMPTY","","FAMILY GAS","-17940.00","1938.19"
"68","02","00038027","Payment","19/04/2025","","CASH | T2000096","","FAMILY GAS","-13903.00","-11964.81"
"69","02","00042385","Invoice","19/04/2025","","DN#13023","","FAMILY GAS","13902.12","1937.31"
"70","02","00042386","Invoice","19/04/2025","","DN#13023-EMPTY","","FAMILY GAS","17940.00","19877.31"
"71","02","00012338","Crd Note","24/04/2025","","DN#13092-EMPTY","","FAMILY GAS","-18630.00","1247.31"
"72","02","00038122","Payment","24/04/2025","","CASH | T2000097","","FAMILY GAS","-15797.87","-14550.56"
"73","02","00042503","Invoice","24/04/2025","","DN#13092","00011069","FAMILY GAS","14270.74","-279.82"
"74","02","00042507","Invoice","24/04/2025","","DN#13092-EMPTY","","FAMILY GAS","18572.50","18292.68"
"75","02","00038211","Payment","26/04/2025","","CASH | T2000098","","FAMILY GAS","-4100.00","14192.68"
"76","02","00042580","Invoice","26/04/2025","","DN#13103","","FAMILY GAS","4107.46","18300.14"
"77","02","00042581","Invoice","26/04/2025","","DN#13103-EMPTY","","FAMILY GAS","7417.50","25717.64"
"78","02","00042606","Invoice","28/04/2025","","DN#13169","00011087","FAMILY GAS","13507.18","39224.82"
"79","02","00012359","Crd Note","29/04/2025","","DN#13169-EMPTY","","FAMILY GAS","-18055.00","21169.82"
"80","02","00012362","Crd Note","29/04/2025","","DN#13103-EMPTY","","FAMILY GAS","-7417.50","13752.32"
"81","02","00038261","Payment","29/04/2025","","CASH | T2000099","","FAMILY GAS","-14270.00","-517.68"
"82","02","00042607","Invoice","29/04/2025","","DN#13169-EMPTY","","FAMILY GAS","18055.00","17537.32"
"83","02","00042747","Invoice","02/05/2025","","DN:13042","00011127","FAMILY GAS","14323.40","31860.72"
"84","02","00038358","Payment","03/05/2025","","CASH | T2000100","","FAMILY GAS","-13507.18","18353.54"
"85","02","00012398","Crd Note","05/05/2025","","DN#13188- EMPTY","","FAMILY GAS","-16905.00","1448.54"
"86","02","00038378","Payment","05/05/2025","","CASH | T2000101","","FAMILY GAS","-14323.00","-12874.46"
"87","02","00042777","Invoice","05/05/2025","","DN#13188","00011140","FAMILY GAS","12374.99","-499.47"
"88","02","00042778","Invoice","05/05/2025","","DN#13188- EMPTY","","FAMILY GAS","16905.00","16405.53"
"89","03","00012442","Crd Note","08/05/2025","","DN#12071-EMPTY","","FAMILY GAS","-18860.00","-2454.47"
"90","03","00038474","Payment","08/05/2025","","CASH | T2000104","","FAMILY GAS","-12374.99","-14829.46"
"91","03","00042913","Invoice","08/05/2025","","DN#12071","00011167","FAMILY GAS","14139.09","-690.37"
"92","03","00042914","Invoice","08/05/2025","","DN#12071-EMPTY","","FAMILY GAS","18860.00","18169.63"
"93","03","00043003","Invoice","12/05/2025","","DN#13217","00011192","FAMILY GAS","12954.24","31123.87"
"94","03","00043004","Invoice","12/05/2025","","DN#13217-EMPTY","","FAMILY GAS","15870.00","46993.87"
"95","03","00012463","Crd Note","13/05/2025","","DN#13217-EMPTY","","FAMILY GAS","-15870.00","31123.87"
"96","03","00012479","Crd Note","14/05/2025","","INCORRECTLY INVOICED","","FAMILY GAS","-1895.75","29228.12"
"97","03","00038609","Payment","14/05/2025","","CASH | T2000108","","FAMILY GAS","-12244.00","16984.12"
"98","03","00012508","Crd Note","16/05/2025","","DN#12089-EMPTY","","FAMILY GAS","-16445.00","539.12"
"99","03","00043141","Invoice","16/05/2025","","DN#12089","","FAMILY GAS","11611.44","12150.56"
"100","03","00043143","Invoice","16/05/2025","","DN#12089-EMPTY","","FAMILY GAS","16445.00","28595.56"
"101","03","00043194","Invoice","19/05/2025","","","00011238","FAMILY GAS","13439.38","42034.94"
"102","03","00043195","Invoice","19/05/2025","","","00011239","FAMILY GAS","17307.50","59342.44"
"103","03","00012517","Crd Note","20/05/2025","","","","FAMILY GAS","-13439.38","45903.06"
"104","03","00012518","Crd Note","20/05/2025","","","","FAMILY GAS","-17307.50","28595.56"
"105","03","00038717","Payment","20/05/2025","","CASH | T2000112","","FAMILY GAS","-24565.68","4029.88"
"106","03","00043200","Invoice","20/05/2025","","DN#13247","","FAMILY GAS","12349.11","16378.99"
"107","03","00038797","Payment","24/05/2025","","CASH | T2000115","","FAMILY GAS","-12500.00","3878.99"
"108","03","00043318","Invoice","24/05/2025","","DN#12113","00011277","FAMILY GAS","12589.67","16468.66"
"109","03","00043366","Invoice","26/05/2025","","DN#12117","00011309","FAMILY GAS","14166.71","30635.37"
"110","03","00043367","Invoice","26/05/2025","","DN#12117-EMPTY","","FAMILY GAS","17250.00","47885.37"
"111","03","00012568","Crd Note","27/05/2025","","DN#12117-EMPTY","","FAMILY GAS","-17250.00","30635.37"
"112","03","00038880","Payment","27/05/2025","","CASH | T2000117","","FAMILY GAS","-12589.67","18045.70"
"113","03","00043418","Invoice","28/05/2025","","DN#12473","00011322","FAMILY GAS","3608.53","21654.23"
"114","03","00043419","Invoice","28/05/2025","","DN#12473-EMPTY","00011323","FAMILY GAS","7762.50","29416.73"
"115","03","00012584","Crd Note","29/05/2025","","DN#12473-EMPTY","","FAMILY GAS","-7762.50","21654.23"
"116","03","00038915","Payment","29/05/2025","","CASH | T2000119","","FAMILY GAS","-3608.53","18045.70"
"117","03","00038975","Payment","31/05/2025","","CASH | T2000119","","FAMILY GAS","-5373.00","12672.70"
"118","03","00043504","Invoice","31/05/2025","","DN# 12141","00011346","FAMILY GAS","5372.67","18045.37"
"119","03","00043522","Invoice","02/06/2025","","DN#12283","","FAMILY GAS","13150.99","31196.36"
"120","03","00043523","Invoice","02/06/2025","","DN#12283- EMPTY","","FAMILY GAS","15870.00","47066.36"
"121","03","00012614","Crd Note","03/06/2025","","DN#12283- EMPTY","","FAMILY GAS","-15870.00","31196.36"
"122","03","00039014","Payment","03/06/2025","","CASH | T2000120","","FAMILY GAS","-14167.00","17029.36"
"123","03","00039054","Payment","05/06/2025","","CASH | T2000122","","FAMILY GAS","-13151.00","3878.36"
"124","03","00043625","Invoice","05/06/2025","","DN#12296","","FAMILY GAS","14353.84","18232.20"
"125","03","00012656","Crd Note","07/06/2025","","DN#12499-EMPTY","","FAMILY GAS","-12650.00","5582.20"
"126","03","00043697","Invoice","07/06/2025","","DN#12499","","FAMILY GAS","9301.94","14884.14"
