doc_no,erp_amount,db_amount,max_date,payment_amount,max_date_payment,total_db,tx_date,diff
10395,0.0,7373.42,2021-09-28,0.0,,7373.42,2021-09-28,-7373.42
10447,0.0,4268.42,2021-10-01,0.0,,4268.42,2021-10-01,-4268.42
10448,0.0,3105.0,2021-10-01,0.0,,3105.0,2021-10-01,-3105.0
10459,0.0,3105.0,2021-10-01,0.0,,3105.0,2021-10-01,-3105.0
10497,0.0,1073.08,2021-10-03,0.0,,1073.08,2021-10-03,-1073.08
10498,0.0,1725.0,2021-10-03,0.0,,1725.0,2021-10-03,-1725.0
10499,0.0,4029.95,2021-10-03,0.0,,4029.95,2021-10-03,-4029.95
10500,0.0,3105.0,2021-10-03,0.0,,3105.0,2021-10-03,-3105.0
10568,0.0,5413.02,2021-10-06,0.0,,5413.02,2021-10-06,-5413.02
10569,0.0,3450.0,2021-10-06,0.0,,3450.0,2021-10-06,-3450.0
10635,0.0,5134.29,2021-10-10,0.0,,5134.29,2021-10-10,-5134.29
10636,0.0,4140.0,2021-10-10,0.0,,4140.0,2021-10-10,-4140.0
10658,0.0,-7981.67,2024-10-03,0.0,,-7981.67,2024-10-03,7981.67
10718,0.0,4112.39,2021-10-17,0.0,,4112.39,2021-10-17,-4112.39
10719,0.0,5175.0,2021-10-17,0.0,,5175.0,2021-10-17,-5175.0
10721,0.0,4910.89,2021-10-10,0.0,,4910.89,2021-10-10,-4910.89
10722,0.0,3933.46,2021-10-17,0.0,,3933.46,2021-10-17,-3933.46
10825,0.0,3766.6,2021-10-21,0.0,,3766.6,2021-10-21,-3766.6
10826,0.0,3795.0,2021-10-21,0.0,,3795.0,2021-10-21,-3795.0
10867,0.0,4434.11,2021-10-24,0.0,,4434.11,2021-10-24,-4434.11
10868,0.0,4140.0,2021-10-24,0.0,,4140.0,2021-10-24,-4140.0
10925,0.0,2145.45,2021-10-27,0.0,,2145.45,2021-10-27,-2145.45
10926,0.0,4600.84,2021-10-27,0.0,,4600.84,2021-10-27,-4600.84
10927,0.0,3450.0,2021-10-27,0.0,,3450.0,2021-10-27,-3450.0
10931,0.0,0.0,,-3711.67,2021-10-01,-3711.67,2021-10-01,3711.67
10961,0.0,0.0,,-3504.3,2021-10-03,-3504.3,2021-10-03,3504.3
10974,0.0,0.0,,-933.11,2021-10-04,-933.11,2021-10-04,933.11
11002,0.0,4910.76,2021-10-29,0.0,,4910.76,2021-10-29,-4910.76
11003,0.0,4140.0,2021-10-29,0.0,,4140.0,2021-10-29,-4140.0
11018,0.0,0.0,,-3504.3,2021-10-06,-3504.3,2021-10-06,3504.3
11024,0.0,4245.51,2021-11-01,0.0,,4245.51,2021-11-01,-4245.51
11025,0.0,3795.0,2021-11-01,0.0,,3795.0,2021-11-01,-3795.0
11046,0.0,3337.39,2021-11-02,0.0,,3337.39,2021-11-02,-3337.39
11047,0.0,3105.0,2021-11-02,0.0,,3105.0,2021-11-02,-3105.0
11070,0.0,0.0,,-100.0,2021-10-10,-100.0,2021-10-10,100.0
11071,0.0,0.0,,-4706.97,2021-10-10,-4706.97,2021-10-10,4706.97
11112,0.0,4745.25,2021-11-05,0.0,,4745.25,2021-11-05,-4745.25
11113,0.0,5175.0,2021-11-05,0.0,,5175.0,2021-11-05,-5175.0
11133,0.0,5097.71,2021-11-07,0.0,,5097.71,2021-11-07,-5097.71
11134,0.0,3450.0,2021-11-07,0.0,,3450.0,2021-11-07,-3450.0
11152,0.0,0.0,,-100.0,2021-10-17,-100.0,2021-10-17,100.0
11153,0.0,0.0,,-4460.0,2021-10-17,-4460.0,2021-10-17,4460.0
11199,0.0,5151.73,2021-11-11,0.0,,5151.73,2021-11-11,-5151.73
11200,0.0,4830.0,2021-11-11,0.0,,4830.0,2021-11-11,-4830.0
11235,0.0,5124.87,2021-11-15,0.0,,5124.87,2021-11-15,-5124.87
11236,0.0,5175.0,2021-11-15,0.0,,5175.0,2021-11-15,-5175.0
11254,0.0,0.0,,-3238.11,2021-10-21,-3238.11,2021-10-21,3238.11
11288,0.0,0.0,,-3275.3,2021-10-24,-3275.3,2021-10-24,3275.3
11309,0.0,5233.15,2021-11-18,0.0,,5233.15,2021-11-18,-5233.15
11310,0.0,5520.0,2021-11-18,0.0,,5520.0,2021-11-18,-5520.0
11334,0.0,244.04,2021-11-21,0.0,,244.04,2021-11-21,-244.04
11338,0.0,0.0,,-3855.74,2021-10-27,-3855.74,2021-10-27,3855.74
11379,0.0,0.0,,-1240.0,2021-10-29,-1240.0,2021-10-29,1240.0
11386,0.0,0.0,,-4270.23,2021-11-01,-4270.23,2021-11-01,4270.23
11405,0.0,0.0,,-2902.08,2021-11-02,-2902.08,2021-11-02,2902.08
11407,0.0,-8740.0,2024-12-05,0.0,,-8740.0,2024-12-05,8740.0
11424,0.0,-12075.0,2024-12-08,0.0,,-12075.0,2024-12-08,12075.0
11431,0.0,5260.46,2021-11-25,0.0,,5260.46,2021-11-25,-5260.46
11432,0.0,5175.0,2021-11-25,0.0,,5175.0,2021-11-25,-5175.0
11464,0.0,0.0,,-3691.75,2021-11-05,-3691.75,2021-11-05,3691.75
11466,0.0,0.0,,-4126.3,2021-11-07,-4126.3,2021-11-07,4126.3
11480,0.0,-21082.8,2024-12-13,0.0,,-21082.8,2024-12-13,21082.8
11481,0.0,-12420.0,2024-12-13,0.0,,-12420.0,2024-12-13,12420.0
11499,0.0,5260.46,2021-11-29,0.0,,5260.46,2021-11-29,-5260.46
11502,0.0,-15525.0,2024-12-16,0.0,,-15525.0,2024-12-16,15525.0
11535,0.0,-14490.0,2024-12-19,0.0,,-14490.0,2024-12-19,14490.0
11540,0.0,0.0,,-4432.79,2021-11-11,-4432.79,2021-11-11,4432.79
11551,0.0,2953.61,2021-12-03,0.0,,2953.61,2021-12-03,-2953.61
11553,0.0,2415.0,2021-12-03,0.0,,2415.0,2021-12-03,-2415.0
11567,0.0,-7380.35,2024-12-22,0.0,,-7380.35,2024-12-22,7380.35
11568,0.0,-9487.5,2024-12-22,0.0,,-9487.5,2024-12-22,9487.5
11569,0.0,-13972.5,2024-12-22,0.0,,-13972.5,2024-12-22,13972.5
11576,0.0,-450.43,2024-12-22,-4479.77,2021-11-15,-4930.2,2024-12-22,4930.2
11577,0.0,-1265.0,2024-12-22,0.0,,-1265.0,2024-12-22,1265.0
11592,0.0,0.0,,-0.74,2021-11-15,-0.74,2021-11-15,0.74
11603,0.0,-13800.0,2024-12-29,0.0,,-13800.0,2024-12-29,13800.0
11624,0.0,-13915.0,2025-01-05,0.0,,-13915.0,2025-01-05,13915.0
11627,0.0,5067.46,2021-12-09,0.0,,5067.46,2021-12-09,-5067.46
11645,0.0,0.0,,-4456.4,2021-11-19,-4456.4,2021-11-19,4456.4
11654,0.0,0.0,,-212.21,2021-11-21,-212.21,2021-11-21,212.21
11667,0.0,-10005.0,2025-01-09,0.0,,-10005.0,2025-01-09,10005.0
11673,0.0,5327.9,2021-12-13,0.0,,5327.9,2021-12-13,-5327.9
11697,0.0,-13570.0,2025-01-15,0.0,,-13570.0,2025-01-15,13570.0
11718,0.0,5733.48,2021-12-16,0.0,,5733.48,2021-12-16,-5733.48
11719,0.0,5520.0,2021-12-16,0.0,,5520.0,2021-12-16,-5520.0
11732,0.0,-13627.5,2025-01-20,0.0,,-13627.5,2025-01-20,13627.5
11737,0.0,0.0,,-4550.56,2021-11-25,-4550.56,2021-11-25,4550.56
11752,0.0,4929.3,2021-12-20,0.0,,4929.3,2021-12-20,-4929.3
11776,0.0,-10005.0,2025-01-28,0.0,,-10005.0,2025-01-28,10005.0
11786,0.0,-7245.0,2025-01-28,0.0,,-7245.0,2025-01-28,7245.0
11797,0.0,-1380.0,2025-01-31,0.0,,-1380.0,2025-01-31,1380.0
11798,0.0,-13455.0,2025-01-31,0.0,,-13455.0,2025-01-31,13455.0
11807,0.0,-13972.5,2025-02-02,0.0,,-13972.5,2025-02-02,13972.5
11813,0.0,0.0,,-4574.31,2021-11-30,-4574.31,2021-11-30,4574.31
11831,0.0,-13972.5,2025-02-06,0.0,,-13972.5,2025-02-06,13972.5
11856,0.0,0.0,,-2568.35,2021-12-03,-2568.35,2021-12-03,2568.35
11868,0.0,0.0,,-4574.31,2021-12-05,-4574.31,2021-12-05,4574.31
11869,0.0,5221.06,2022-01-03,0.0,,5221.06,2022-01-03,-5221.06
11878,0.0,-13972.5,2025-02-11,0.0,,-13972.5,2025-02-11,13972.5
11898,0.0,-13455.0,2025-02-14,0.0,,-13455.0,2025-02-14,13455.0
11927,0.0,-12075.0,2025-02-19,0.0,,-12075.0,2025-02-19,12075.0
11941,0.0,5723.96,2022-01-11,0.0,,5723.96,2022-01-11,-5723.96
11942,0.0,5487.96,2022-01-11,0.0,,5487.96,2022-01-11,-5487.96
11948,0.0,-14777.5,2025-02-23,0.0,,-14777.5,2025-02-23,14777.5
11951,0.0,0.0,,-1089.91,2021-12-10,-1089.91,2021-12-10,1089.91
11974,0.0,-12075.0,2025-02-26,0.0,,-12075.0,2025-02-26,12075.0
11984,-7705.0,-5568.73,2025-03-02,0.0,,-5568.73,2025-03-02,-2136.27
11989,0.0,0.0,,-4406.49,2021-12-14,-4406.49,2021-12-14,4406.49
12001,0.0,5487.97,2022-01-17,0.0,,5487.97,2022-01-17,-5487.97
12031,0.0,0.0,,-4985.63,2021-12-19,-4985.63,2021-12-19,4985.63
12070,0.0,0.0,,-4632.96,2021-12-20,-4632.96,2021-12-20,4632.96
12111,0.0,4299.7,2022-01-30,0.0,,4299.7,2022-01-30,-4299.7
12135,-2438.7,-2623.38,2025-03-26,0.0,,-2623.38,2025-03-26,184.68
12156,0.0,4405.12,2022-02-03,0.0,,4405.12,2022-02-03,-4405.12
12157,0.0,3450.0,2022-02-03,0.0,,3450.0,2022-02-03,-3450.0
12184,0.0,0.0,,-4286.35,2022-01-03,-4286.35,2022-01-03,4286.35
12189,0.0,1217.03,2022-02-06,0.0,,1217.03,2022-02-06,-1217.03
12190,0.0,1725.0,2022-02-06,0.0,,1725.0,2022-02-06,-1725.0
12208,-16905.0,-12063.85,2025-04-06,0.0,,-12063.85,2025-04-06,-4841.15
12217,0.0,1725.0,2022-02-08,0.0,,1725.0,2022-02-08,-1725.0
12257,0.0,3029.09,2022-02-11,0.0,,3029.09,2022-02-11,-3029.09
12261,0.0,3869.39,2022-02-13,0.0,,3869.39,2022-02-13,-3869.39
12262,0.0,1380.0,2022-02-13,0.0,,1380.0,2022-02-13,-1380.0
12287,0.0,6058.19,2022-02-14,0.0,,6058.19,2022-02-14,-6058.19
12290,0.0,4830.0,2022-02-14,0.0,,4830.0,2022-02-14,-4830.0
12297,0.0,0.0,,-4540.0,2022-01-11,-4540.0,2022-01-11,4540.0
12335,0.0,3786.32,2022-02-20,0.0,,3786.32,2022-02-20,-3786.32
12366,0.0,1027.72,2022-02-23,0.0,,1027.72,2022-02-23,-1027.72
12372,0.0,690.0,2022-02-23,0.0,,690.0,2022-02-23,-690.0
12410,0.0,0.0,,-4772.14,2022-01-17,-4772.14,2022-01-17,4772.14
12411,0.0,10662.68,2022-02-28,-1857.63,2022-01-14,8805.05,2022-02-28,-8805.05
12412,0.0,4485.0,2022-02-28,0.0,,4485.0,2022-02-28,-4485.0
12418,0.0,10662.68,2022-02-28,0.0,,10662.68,2022-02-28,-10662.68
12419,0.0,4485.0,2022-02-28,0.0,,4485.0,2022-02-28,-4485.0
12479,-1895.75,6962.8,2025-05-13,0.0,,6962.8,2025-05-13,-8858.55
12517,-13439.38,-15455.28,2025-05-19,0.0,,-15455.28,2025-05-19,2015.9
12534,0.0,2952.27,2022-03-10,0.0,,2952.27,2022-03-10,-2952.27
12535,0.0,9275.46,2022-03-10,0.0,,9275.46,2022-03-10,-9275.46
12545,0.0,555.38,2022-03-11,0.0,,555.38,2022-03-11,-555.38
12553,0.0,0.0,,-3000.0,2022-01-31,-3000.0,2022-01-31,3000.0
12589,0.0,1110.76,2022-03-14,0.0,,1110.76,2022-03-14,-1110.76
12590,0.0,0.0,,-3738.87,2022-02-03,-3738.87,2022-02-03,3738.87
12591,0.0,0.0,,1332.86,2022-02-03,1332.86,2022-02-03,-1332.86
12612,0.0,9275.46,2022-03-16,0.0,,9275.46,2022-03-16,-9275.46
12617,0.0,0.0,,-3830.54,2022-02-06,-3830.54,2022-02-06,3830.54
12642,0.0,2642.23,2022-03-21,0.0,,2642.23,2022-03-21,-2642.23
12647,0.0,0.0,,-1058.29,2022-02-09,-1058.29,2022-02-09,1058.29
12660,0.0,7744.0,2022-03-22,0.0,,7744.0,2022-03-22,-7744.0
12665,0.0,2070.0,2022-03-22,0.0,,2070.0,2022-03-22,-2070.0
12678,0.0,0.0,,-4209.7,2022-02-11,-4209.7,2022-02-11,4209.7
12686,0.0,0.0,,-2633.99,2022-02-13,-2633.99,2022-02-13,2633.99
12693,0.0,2070.0,2022-03-24,0.0,,2070.0,2022-03-24,-2070.0
12725,0.0,8164.43,2022-03-28,0.0,,8164.43,2022-03-28,-8164.43
12739,0.0,0.0,,-3364.69,2022-02-16,-3364.69,2022-02-16,3364.69
12758,0.0,6765.54,2022-03-31,0.0,,6765.54,2022-03-31,-6765.54
12763,0.0,0.0,,-3292.45,2022-02-21,-3292.45,2022-02-21,3292.45
12782,0.0,6468.41,2022-04-03,0.0,,6468.41,2022-04-03,-6468.41
12785,0.0,0.0,,-893.67,2022-02-23,-893.67,2022-02-23,893.67
12828,0.0,6163.94,2022-04-06,0.0,,6163.94,2022-04-06,-6163.94
12829,0.0,0.0,,-5267.99,2022-02-28,-5267.99,2022-02-28,5267.99
12831,0.0,5799.48,2022-04-06,0.0,,5799.48,2022-04-06,-5799.48
12840,0.0,4278.0,2022-04-06,0.0,,4278.0,2022-04-06,-4278.0
12841,0.0,8651.47,2022-04-06,0.0,,8651.47,2022-04-06,-8651.47
12847,0.0,3450.0,2022-04-06,0.0,,3450.0,2022-04-06,-3450.0
12849,0.0,10077.47,2022-04-07,0.0,,10077.47,2022-04-07,-10077.47
12882,0.0,1943.8,2022-04-08,0.0,,1943.8,2022-04-08,-1943.8
12889,-17940.0,-8783.41,2025-07-02,0.0,,-8783.41,2025-07-02,-9156.59
12894,0.0,0.0,,-9272.0,2022-03-06,-9272.0,2022-03-06,9272.0
12925,0.0,6712.61,2022-04-12,0.0,,6712.61,2022-04-12,-6712.61
12928,0.0,1380.0,2022-04-12,0.0,,1380.0,2022-04-12,-1380.0
12949,-15558.46,-17892.23,2025-07-09,0.0,,-17892.23,2025-07-09,2333.77
12966,0.0,0.0,,-7950.36,2022-03-10,-7950.36,2022-03-10,7950.36
12977,0.0,0.0,,-482.94,2022-03-11,-482.94,2022-03-11,482.94
12988,0.0,4553.18,2022-04-15,0.0,,4553.18,2022-04-15,-4553.18
12990,0.0,1453.16,2022-04-15,0.0,,1453.16,2022-04-15,-1453.16
13001,0.0,7330.29,2022-04-18,0.0,,7330.29,2022-04-18,-7330.29
13026,0.0,0.0,,-7000.0,2022-03-16,-7000.0,2022-03-16,7000.0
13032,0.0,0.0,,-1065.52,2022-03-16,-1065.52,2022-03-16,1065.52
13046,0.0,3293.8,2022-04-20,0.0,,3293.8,2022-04-20,-3293.8
13047,0.0,2760.0,2022-04-20,0.0,,2760.0,2022-04-20,-2760.0
13064,0.0,0.0,,-9031.0,2022-03-22,-9031.0,2022-03-22,9031.0
13068,0.0,3002.51,2022-04-21,0.0,,3002.51,2022-04-21,-3002.51
13070,0.0,2415.0,2022-04-21,0.0,,2415.0,2022-04-21,-2415.0
13082,-5602.03,-6442.34,2025-07-29,0.0,,-6442.34,2025-07-29,840.31
13087,0.0,4550.05,2022-04-22,0.0,,4550.05,2022-04-22,-4550.05
13092,0.0,2415.0,2022-04-22,0.0,,2415.0,2022-04-22,-2415.0
13114,0.0,0.0,,-9031.51,2022-03-28,-9031.51,2022-03-28,9031.51
13151,0.0,0.0,,-7099.5,2022-03-31,-7099.5,2022-03-31,7099.5
13190,0.0,0.0,,-5883.08,2022-04-04,-5883.08,2022-04-04,5883.08
13224,0.0,0.0,,-5624.7,2022-04-06,-5624.7,2022-04-06,5624.7
