doc_no,erp_amount,db_amount,max_date,payment_amount,max_date_payment,total_db,tx_date,diff
13619,0.0,2894.71,2022-05-22,0.0,,2894.71,2022-05-22,-2894.71
13919,0.0,0.0,,-2894.71,2022-05-22,-2894.71,2022-05-22,2894.71
13944,0.0,0.0,,-2894.71,2022-05-23,-2894.71,2022-05-23,2894.71
13638,0.0,3433.92,2022-05-23,0.0,,3433.92,2022-05-23,-3433.92
13669,0.0,255.42,2022-05-25,0.0,,255.42,2022-05-25,-255.42
13672,0.0,3660.96,2022-05-25,0.0,,3660.96,2022-05-25,-3660.96
13985,0.0,0.0,,-255.42,2022-05-25,-255.42,2022-05-25,255.42
13989,0.0,0.0,,-3433.92,2022-05-25,-3433.92,2022-05-25,3433.92
13724,0.0,3433.92,2022-05-29,0.0,,3433.92,2022-05-29,-3433.92
14023,0.0,0.0,,-3660.96,2022-05-29,-3660.96,2022-05-29,3660.96
13763,0.0,3433.92,2022-05-31,0.0,,3433.92,2022-05-31,-3433.92
13782,0.0,3433.92,2022-06-01,0.0,,3433.92,2022-06-01,-3433.92
14108,0.0,0.0,,-3433.92,2022-06-01,-3433.92,2022-06-01,3433.92
13798,0.0,3433.92,2022-06-02,0.0,,3433.92,2022-06-02,-3433.92
14148,0.0,0.0,,-3433.92,2022-06-02,-3433.92,2022-06-02,3433.92
13831,0.0,2383.88,2022-06-03,0.0,,2383.88,2022-06-03,-2383.88
14163,0.0,0.0,,-2383.88,2022-06-03,-2383.88,2022-06-03,2383.88
13847,0.0,3802.87,2022-06-05,0.0,,3802.87,2022-06-05,-3802.87
14185,0.0,0.0,,-3433.92,2022-06-05,-3433.92,2022-06-05,3433.92
13898,0.0,3689.34,2022-06-07,0.0,,3689.34,2022-06-07,-3689.34
14207,0.0,0.0,,-3802.87,2022-06-07,-3802.87,2022-06-07,3802.87
13912,0.0,3689.34,2022-06-08,0.0,,3689.34,2022-06-08,-3689.34
14244,0.0,0.0,,-3689.4,2022-06-08,-3689.4,2022-06-08,3689.4
13945,0.0,3433.92,2022-06-10,0.0,,3433.92,2022-06-10,-3433.92
14270,0.0,0.0,,-3689.34,2022-06-10,-3689.34,2022-06-10,3689.34
14301,0.0,0.0,,-1560.87,2022-06-10,-1560.87,2022-06-10,1560.87
13953,0.0,1560.87,2022-06-10,0.0,,1560.87,2022-06-10,-1560.87
13958,0.0,3433.92,2022-06-12,0.0,,3433.92,2022-06-12,-3433.92
14303,0.0,0.0,,-3433.92,2022-06-12,-3433.92,2022-06-12,3433.92
13994,0.0,3433.92,2022-06-14,0.0,,3433.92,2022-06-14,-3433.92
14369,0.0,0.0,,-3433.92,2022-06-14,-3433.92,2022-06-14,3433.92
14008,0.0,1362.22,2022-06-15,0.0,,1362.22,2022-06-15,-1362.22
14392,0.0,0.0,,-1362.22,2022-06-16,-1362.22,2022-06-16,1362.22
14017,0.0,3689.34,2022-06-16,0.0,,3689.34,2022-06-16,-3689.34
14400,0.0,0.0,,-3433.92,2022-06-16,-3433.92,2022-06-16,3433.92
14063,0.0,1021.66,2022-06-17,0.0,,1021.66,2022-06-17,-1021.66
14422,0.0,0.0,,-3589.34,2022-06-17,-3589.34,2022-06-17,3589.34
14434,0.0,0.0,,-100.0,2022-06-17,-100.0,2022-06-17,100.0
14433,0.0,0.0,,-1021.66,2022-06-17,-1021.66,2022-06-17,1021.66
14438,0.0,0.0,,-3689.34,2022-06-19,-3689.34,2022-06-19,3689.34
14081,0.0,3178.51,2022-06-19,-3433.92,2022-05-31,-255.41,2022-06-19,255.41
14480,0.0,0.0,,-3178.51,2022-06-21,-3178.51,2022-06-21,3178.51
14123,0.0,3433.92,2022-06-21,0.0,,3433.92,2022-06-21,-3433.92
14807,0.0,3690.67,2022-06-24,0.0,,3690.67,2022-06-24,-3690.67
14634,0.0,0.0,,-3433.92,2022-06-29,-3433.92,2022-06-29,3433.92
14223,0.0,3689.34,2022-06-29,0.0,,3689.34,2022-06-29,-3689.34
14224,0.0,510.83,2022-06-29,0.0,,510.83,2022-06-29,-510.83
14253,0.0,3689.34,2022-06-30,0.0,,3689.34,2022-06-30,-3689.34
14274,0.0,3689.34,2022-07-01,0.0,,3689.34,2022-07-01,-3689.34
14636,0.0,0.0,,-510.83,2022-07-01,-510.83,2022-07-01,510.83
14635,0.0,0.0,,-3689.34,2022-07-01,-3689.34,2022-07-01,3689.34
14629,0.0,0.0,,-1021.66,2022-07-01,-1021.66,2022-07-01,1021.66
14628,0.0,0.0,,-3689.34,2022-07-01,-3689.34,2022-07-01,3689.34
14275,0.0,1021.66,2022-07-01,0.0,,1021.66,2022-07-01,-1021.66
14646,0.0,0.0,,-3689.34,2022-07-03,-3689.34,2022-07-03,3689.34
14285,0.0,3689.34,2022-07-03,0.0,,3689.34,2022-07-03,-3689.34
14286,0.0,766.24,2022-07-03,0.0,,766.24,2022-07-03,-766.24
14647,0.0,0.0,,-766.24,2022-07-03,-766.24,2022-07-03,766.24
14694,0.0,0.0,,-3689.34,2022-07-06,-3689.34,2022-07-06,3689.34
14425,0.0,3689.34,2022-07-08,0.0,,3689.34,2022-07-08,-3689.34
14426,0.0,1364.25,2022-07-08,0.0,,1364.25,2022-07-08,-1364.25
14763,0.0,0.0,,-3690.0,2022-07-11,-3690.0,2022-07-11,3690.0
14465,0.0,3690.67,2022-07-11,0.0,,3690.67,2022-07-11,-3690.67
14819,0.0,0.0,,-4145.9,2022-07-12,-4145.9,2022-07-12,4145.9
14485,0.0,3179.66,2022-07-12,0.0,,3179.66,2022-07-12,-3179.66
14523,0.0,3690.67,2022-07-14,0.0,,3690.67,2022-07-14,-3690.67
14874,0.0,0.0,,-3179.66,2022-07-14,-3179.66,2022-07-14,3179.66
14896,0.0,0.0,,-3690.67,2022-07-17,-3690.67,2022-07-17,3690.67
14558,0.0,2725.43,2022-07-17,0.0,,2725.43,2022-07-17,-2725.43
14983,0.0,0.0,,-511.01,2022-07-20,-511.01,2022-07-20,511.01
14984,0.0,0.0,,-2725.43,2022-07-20,-2725.43,2022-07-20,2725.43
14624,0.0,511.01,2022-07-20,0.0,,511.01,2022-07-20,-511.01
