| **28 Feb 2026** | **Balance B/F** | — | | **41,284.21** |
| 01 Mar 2026 | Invoice | 49501 / 49502 | 20,342.56 | 61,626.77 |
| 03 Mar 2026 | Payment | 43498 | -18,938.31 | 42,688.46 |
| 07 Mar 2026 | Invoice | 49619 / 49620 | 11,156.55 | 53,845.01 |
| 09 Mar 2026 | Crd Note | 14559 / 14560 | -863.74 | 52,981.27 |
| 09 Mar 2026 | Invoice | 49626 / 49627 / 49628 / 49629 | 8,925.17 | 61,906.44 |
| 10 Mar 2026 | Payment | 43590 / 43590 / 43590 / 43590 | -20,343.00 | 41,563.44 |
| 10 Mar 2026 | Invoice | 49668 / 49669 | 13,507.79 | 55,071.23 |
| 12 Mar 2026 | Payment | 43612 | -11,156.50 | 43,914.73 |
| 14 Mar 2026 | Invoice | 49746 | 12,955.92 | 56,870.65 |
| 17 Mar 2026 | Payment | 43671 / 43671 | -12,957.00 | 43,913.65 |
| 19 Mar 2026 | Payment | 43702 / 43702 | -8,062.00 | 35,851.65 |
| 19 Mar 2026 | Invoice | 49832 / 49833 | 16,866.68 | 52,718.33 |
| 23 Mar 2026 | Invoice | 49871 / 49872 | 18,402.21 | 71,120.54 |
| 24 Mar 2026 | Payment | 43741 / 43741 | -21,600.00 | 49,520.54 |
| 29 Mar 2026 | Invoice | 49991 | 25,312.05 | 74,832.59 |
| 31 Mar 2026 | Payment | 43825 / 43826 | -25,312.00 | 49,520.59 |
| 07 Apr 2026 | Payment | 43891 / 43891 / 43891 / 43892 | -37,200.00 | 12,320.59 |
| 07 Apr 2026 | Invoice | 50102 / 50103 / 50111 / 50112 | 40,925.01 | 53,245.60 |
| 10 Apr 2026 | Invoice | 50199 / 50200 | 8,920.83 | 62,166.43 |
| 16 Apr 2026 | Payment | 44007 / 44007 / 44007 / 44007 / 44007 / 44007 / 44007 / 44007 / 44007 | -21,000.00 | 41,166.43 |
| 16 Apr 2026 | Invoice | 50254 / 50255 | 20,059.30 | 61,225.73 |
| 20 Apr 2026 | Invoice | 50316 / 50317 | 12,096.05 | 73,321.78 |
| 21 Apr 2026 | Payment | 44045 / 44046 / 44046 / 44046 | -16,457.61 | 56,864.17 |
| 21 Apr 2026 | Invoice | 50322 / 50323 / 50324 | 2,394.02 | 59,258.19 |
| 24 Apr 2026 | Invoice | 50368 / 50369 | 13,078.88 | 72,337.07 |
| 28 Apr 2026 | Payment | 44102 / 44102 / 44102 | -30,000.00 | 42,337.07 |
| 29 Apr 2026 | Payment | 44102 / 44102 / 44102 | -30,000.00 | 12,337.07 |
| 29 Apr 2026 | Invoice | 50401 / 50402 | 16,254.09 | 28,591.16 |
| 01 May 2026 | Invoice | 50481 / 50482 | 13,078.88 | 41,670.04 |
| 05 May 2026 | Invoice | 50498 / 50499 | 13,104.07 | 54,774.11 |
| 06 May 2026 | Payment | 44170 / 44170 / 44170 | -39,000.00 | 15,774.11 |
| 06 May 2026 | Invoice | 50526 / 50527 | 17,942.48 | 33,716.59 |
| 09 May 2026 | Payment | 44199 / 44199 / 44199 | -10,000.00 | 23,716.59 |
| 11 May 2026 | Invoice | 50610 | 9,772.18 | 33,488.77 |
| 12 May 2026 | Payment | 44245 / 44245 | -19,000.00 | 14,488.77 |
| 13 May 2026 | Invoice | 50650 / 50651 | 19,807.51 | 34,296.28 |
| 16 May 2026 | Payment | 44282 / 44282 / 44283 / 44292 | -14,282.48 | 20,013.80 |
| 16 May 2026 | Invoice | 50717 | 1,282.48 | 21,296.28 |
| 18 May 2026 | Payment | 44311 / 44311 | -11,856.00 | 9,440.28 |
| 18 May 2026 | Invoice | 50724 / 50725 | 11,855.99 | 21,296.27 |
| 20 May 2026 | Payment | 44335 | -10,000.00 | 11,296.27 |
| 20 May 2026 | Invoice | 50794 / 50795 / 50796 / 50797 | 24,310.52 | 35,606.79 |
| 21 May 2026 | Crd Note | 14933 / 14934 / 14935 | -2,565.01 | 33,041.78 |
| 25 May 2026 | Invoice | 50863 / 50865 | 12,853.48 | 45,895.26 |
| 26 May 2026 | Payment | 44405 / 44405 / 44405 / 44406 / 44406 / 44406 / 44406 / 44409 / 44409 | -21,855.00 | 24,040.26 |
