"ACCOUNT:","FIR001 - FIRE AND VINE"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","8721.02"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","597.43","597.43"
"2","17","00051530","Invoice","02/07/2026","","DN#22536","00013979","FIRE AND VINE","8084.86","8682.29"
"3","17","00051531","Invoice","02/07/2026","","DN#22536=EMPTY","","FIRE AND VINE","6555.00","15237.29"
"4","17","00015165","Crd Note","03/07/2026","","DN#22536=EMPTY","","FIRE AND VINE","-6555.00","8682.29"
"5","17","00015181","Crd Note","06/07/2026","","DN#22555=EMPTY","","FIRE AND VINE","-6037.50","2644.79"
"6","17","00045093","Payment","06/07/2026","","TRANSF | STAT 128","","FIRE AND VINE","-8084.86","-5440.07"
"7","17","00051628","Invoice","06/07/2026","","DN#22555","","FIRE AND VINE","7827.07","2387.00"
"8","17","00051629","Invoice","06/07/2026","","DN#22555=EMPTY","","FIRE AND VINE","6037.50","8424.50"
"9","17","00045103","Payment","09/07/2026","","TRANSF | STAT 128","","FIRE AND VINE","-7827.07","597.43"
"10","17","00015253","Crd Note","13/07/2026","","DN#22809=EMPTY","","FIRE AND VINE","-6555.00","-5957.57"
"11","17","00051791","Invoice","13/07/2026","","DN#22809","00014045","FIRE AND VINE","8120.59","2163.02"
"12","17","00051792","Invoice","13/07/2026","","DN#22809=EMPTY","00014046","FIRE AND VINE","6555.00","8718.02"
"13","17","00015269","Crd Note","16/07/2026","","DN#22960=EMPTY","","FIRE AND VINE","-6555.00","2163.02"
"14","17","00051877","Invoice","16/07/2026","","DN#22960","00014063","FIRE AND VINE","8120.59","10283.61"
"15","17","00051878","Invoice","16/07/2026","","DN#22960=EMPTY","","FIRE AND VINE","6555.00","16838.61"
"16","17","00045205","Payment","17/07/2026","","TRANSF | STAT 128","","FIRE AND VINE","-16241.18","597.43"
"17","17","00052036","Invoice","23/07/2026","","DN#23906","","FIRE AND VINE","8120.59","8718.02"
"18","17","00052037","Invoice","23/07/2026","","DN#23906-EMPTY","","FIRE AND VINE","6555.00","15273.02"
"19","17","00015319","Crd Note","24/07/2026","","DN#23906-EMPTY","","FIRE AND VINE","-6555.00","8718.02"
"20","17","00052195","Invoice","30/07/2026","","DN#23927","","FIRE AND VINE","8120.59","16838.61"
"21","17","00052196","Invoice","30/07/2026","","DN#23927:EMPTY","","FIRE AND VINE","6555.00","23393.61"
"22","17","00015361","Crd Note","31/07/2026","","DN#23927:EMPTY","","FIRE AND VINE","-6555.00","16838.61"
"23","17","00045474","Payment","31/07/2026","","TRANSF | STAT 128","","FIRE AND VINE","-8120.59","8718.02"
"24","18","00015379","Crd Note","03/08/2026","","DN#24234-EMPTY","","FIRE AND VINE","-6037.50","2680.52"
"25","18","00052268","Invoice","03/08/2026","","DN#24234","","FIRE AND VINE","7827.07","10507.59"
"26","18","00052269","Invoice","03/08/2026","","DN#24234-EMPTY","","FIRE AND VINE","6037.50","16545.09"
"27","18","00045586","Payment","05/08/2026","","TRANSF | STAT 129","","FIRE AND VINE","-7827.07","8718.02"
"28","18","00045591","Payment","07/08/2026","","TRANSF | STAT 129","","FIRE AND VINE","-8120.59","597.43"
"29","18","00015439","Crd Note","11/08/2026","","DN#24259-EMPTY","","FIRE AND VINE","-6555.00","-5957.57"
"30","18","00052463","Invoice","11/08/2026","","DN#24259","","FIRE AND VINE","7189.95","1232.38"
"31","18","00052464","Invoice","11/08/2026","","DN#24259-EMPTY","","FIRE AND VINE","6555.00","7787.38"
"32","18","00052578","Invoice","14/08/2026","","DN#24913","","FIRE AND VINE","7189.95","14977.33"
"33","18","00052579","Invoice","14/08/2026","","DN#24913-EMPTY","","FIRE AND VINE","6555.00","21532.33"
"34","18","00015488","Crd Note","15/08/2026","","DN#24913-EMPTY","","FIRE AND VINE","-6555.00","14977.33"
"35","18","00045779","Payment","17/08/2026","","TRANSF | STAT 129","","FIRE AND VINE","-14379.90","597.43"
"36","18","00052736","Invoice","22/08/2026","","DN#24929","","FIRE AND VINE","7189.95","7787.38"
"37","18","00052737","Invoice","22/08/2026","","DN#24929-EMPTY","","FIRE AND VINE","6555.00","14342.38"
"38","18","00015535","Crd Note","24/08/2026","","DN#24929-EMPTY","","FIRE AND VINE","-6037.50","8304.88"
"39","18","00045891","Payment","26/08/2026","","TRANSF | STAT 129","","FIRE AND VINE","-7189.95","1114.93"
"40","18","00015569","Crd Note","28/08/2026","","DN#23984-EMPTY","","FIRE AND VINE","-6555.00","-5440.07"
"41","18","00052844","Invoice","28/08/2026","","DN#23984","","FIRE AND VINE","7189.95","1749.88"
"42","18","00052845","Invoice","28/08/2026","","DN#23984-EMPTY","","FIRE AND VINE","6555.00","8304.88"
"43","18","00045995","Payment","31/08/2026","","TRANSF | STAT 129","","FIRE AND VINE","-7189.95","1114.93"
"44","19","00015604","Crd Note","05/09/2026","","DN#24820-EMPTY","","FIRE AND VINE","-7072.50","-5957.57"
"45","19","00052962","Invoice","05/09/2026","","DN#24820","","FIRE AND VINE","7606.09","1648.52"
"46","19","00052963","Invoice","05/09/2026","","DN#24820-EMPTY","","FIRE AND VINE","7072.50","8721.02"
"TOTAL TRANSACTIONS: 8721.02","","","","","","","","","",""
