DocNo,Date,InvNo,Amount,Age_Days,Status,Notes
"00031944","13/07/2024","00033041",-3000,802,"STALE","[STALE] 2.2 years old. "
"00037824","08/04/2025","00042102",-1755.04,533,"STALE","[STALE] 1.5 years old. "
"00041785","18/10/2025","",-3127.04,340,"PENDING","[OLD] 340 days old. "
"00041810","18/10/2025","",3127.04,340,"PENDING","[OLD] 340 days old. "
"00044130","02/05/2026","00050483",-3289.9,144,"PENDING",""
"00044139","02/05/2026","00050483",3289.9,144,"PENDING",""
"00044533","06/06/2026","00051063",-6360,109,"PENDING",""
"00044534","06/06/2026","00051063",6360.01,109,"PENDING",""
"00045412","30/07/2026","00052202",-2712.96,55,"PENDING","[DUPLICATE PAIR] Same amount on 30/07/2026 and 03/08/2026. "
"00045484","03/08/2026","00052262",-2712.96,51,"DUPLICATE","[DUPLICATE PAIR] Likely duplicate of 00045412 from 30/07/2026. "
