"ACCOUNT:","GAS004 - GAS 2 GO HILTIN NEW ACCOUNT"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","30242.46"
"UD PAY/CHEQUES:","-10180.95"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","30242.46"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","58339.60","58339.60"
"2","18","00031944","Ud Paymnt","13/07/2024","00033041","","","GAS 2 GO HILTIN NEW ACCOUNT","-3000.00","55339.60"
"3","01","00036880","Payment","20/02/2025","00040840","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-4682.06","50657.54"
"4","01","00036859","Payment","22/02/2025","00040904","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-4553.82","46103.72"
"5","01","00036859","Payment","22/02/2025","00041099","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-0.01","46103.71"
"6","01","00036887","Payment","24/02/2025","00040928","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-5781.21","40322.50"
"7","01","00036911","Payment","25/02/2025","00040981","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-3518.80","36803.70"
"8","01","00036942","Payment","26/02/2025","00041019","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-5263.70","31540.00"
"9","01","00037004","Payment","27/02/2025","00041035","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-7502.97","24037.03"
"10","01","00037032","Payment","28/02/2025","00041069","SPEEDP | PC-76-17","","GAS 2 GO HILTIN NEW ACCOUNT","-4071.36","19965.67"
"11","01","00037035","Payment","01/03/2025","00041099","SPEEDP | PC-76-18","","GAS 2 GO HILTIN NEW ACCOUNT","-4934.80","15030.87"
"12","01","00037087","Payment","03/03/2025","00041135","SPEEDP | PC-76-18","","GAS 2 GO HILTIN NEW ACCOUNT","-710.00","14320.87"
"13","01","00037088","Payment","03/03/2025","00041134","SPEEDP | PC-76-18","","GAS 2 GO HILTIN NEW ACCOUNT","-2733.63","11587.24"
"14","01","00041134","Invoice","03/03/2025","00041134","DN#11718","00010626","GAS 2 GO HILTIN NEW ACCOUNT","2733.63","14320.87"
"15","01","00041135","Invoice","03/03/2025","00041135","","00010627","GAS 2 GO HILTIN NEW ACCOUNT","710.01","15030.88"
"16","01","00011988","Crd Note","04/03/2025","00041168","DN#10503-EMPTY","","GAS 2 GO HILTIN NEW ACCOUNT","-5865.00","9165.88"
"17","01","00037098","Payment","04/03/2025","00041167","SPEEDP | PC-76-18","","GAS 2 GO HILTIN NEW ACCOUNT","-4682.08","4483.80"
"18","01","00041167","Invoice","04/03/2025","00041167","DN#10504","00010649","GAS 2 GO HILTIN NEW ACCOUNT","4682.08","9165.88"
"19","01","00041168","Invoice","04/03/2025","00041168","DN#10503-EMPTY","","GAS 2 GO HILTIN NEW ACCOUNT","5347.50","14513.38"
