"ACCOUNT:","GAS004 - GAS 2 GO HILTIN NEW ACCOUNT"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","30242.46"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","-105517.12"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2024 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","12","00029716","Payment","28/03/2024","00030612","SPEEDP | PC-76-07","","GAS 2 GO HILTIN NEW ACCOUNT","-9611.86","-9611.86"
"3","12","00029747","Payment","30/03/2024","00030720","SPEEDP | PC-76-07","","GAS 2 GO HILTIN NEW ACCOUNT","-9236.39","-18848.25"
"4","12","00029818","Payment","04/04/2024","00030860","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-9238.34","-28086.59"
"5","12","00029844","Payment","05/04/2024","00030921","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-10111.51","-38198.10"
"6","12","00029909","Payment","08/04/2024","00031006","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-4446.95","-42645.05"
"7","12","00029909","Payment","08/04/2024","00031020","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-2410.22","-45055.27"
"8","12","00029937","Payment","09/04/2024","00030966","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-6597.83","-51653.10"
"9","12","00029937","Payment","09/04/2024","00030968","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-2206.94","-53860.04"
"10","12","00029971","Payment","11/04/2024","00031081","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-5238.34","-59098.38"
"11","12","00030000","Payment","12/04/2024","00031081","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-4000.00","-63098.38"
"12","12","00030109","Payment","16/04/2024","00031192","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-5000.00","-68098.38"
"13","12","00030142","Payment","17/04/2024","00031192","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-4997.36","-73095.74"
"14","12","00030200","Payment","20/04/2024","00031241","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-4909.56","-78005.30"
"15","12","00030222","Payment","22/04/2024","00031316","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-6216.30","-84221.60"
"16","12","00030267","Payment","24/04/2024","00031448","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-6274.38","-90495.98"
"17","12","00030296","Payment","25/04/2024","00031483","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-7089.50","-97585.48"
"18","12","00030310","Payment","26/04/2024","00031513","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-7931.64","-105517.12"
"TOTAL TRANSACTIONS: -105517.12","","","","","","","","","",""
