"ACCOUNT:","GAS004 - GAS 2 GO HILTIN NEW ACCOUNT"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","30242.46"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","58339.60"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2025 MARCH"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","-105517.12","-105517.12"
"2","01","00030612","Invoice","22/03/2024","00030612","D/N 8359","00007997","GAS 2 GO HILTIN NEW ACCOUNT","9611.86","-95905.26"
"3","01","00030720","Invoice","26/03/2024","00030720","DN#8372 SO#8023","00008023","GAS 2 GO HILTIN NEW ACCOUNT","9263.39","-86641.87"
"4","01","00030789","Invoice","28/03/2024","00030789","DN#8382","00008051","GAS 2 GO HILTIN NEW ACCOUNT","1103.47","-85538.40"
"5","01","00030791","Invoice","28/03/2024","00030791","DN# 8080 SO#8051","00008051","GAS 2 GO HILTIN NEW ACCOUNT","10483.03","-75055.37"
"6","01","00030860","Invoice","30/03/2024","00030860","D/N 8394/SO 8069","00008069","GAS 2 GO HILTIN NEW ACCOUNT","9238.34","-65817.03"
"7","06","00029785","Payment","03/04/2024","00030789","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-1103.47","-66920.50"
"8","06","00029785","Payment","03/04/2024","00030791","SPEEDP | PC-76-08","","GAS 2 GO HILTIN NEW ACCOUNT","-10483.03","-77403.53"
"9","01","00030921","Invoice","03/04/2024","00030921","DN#8405 SO#8093","00008093","GAS 2 GO HILTIN NEW ACCOUNT","10111.51","-67292.02"
"10","01","00030966","Invoice","04/04/2024","00030966","DN#8413 SO#8103","00008103","GAS 2 GO HILTIN NEW ACCOUNT","6597.83","-60694.19"
"11","01","00030968","Invoice","04/04/2024","00030968","DN#8414 SO#8104","00008104","GAS 2 GO HILTIN NEW ACCOUNT","2206.94","-58487.25"
"12","01","00031006","Invoice","05/04/2024","00031006","DN#8420 SO#8114","00008114","GAS 2 GO HILTIN NEW ACCOUNT","4446.95","-54040.30"
"13","01","00031020","Invoice","05/04/2024","00031020","DN#8422 SO#8123","00008123","GAS 2 GO HILTIN NEW ACCOUNT","2410.22","-51630.08"
