"ACCOUNT:","IVE001 - ST IVES"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2879.99"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","02","00012237","Crd Note","08/04/2025","","DN#13008-EMPTY","","ST IVES","-4830.00","-4830.00"
"3","02","00012368","Crd Note","29/04/2025","","DN#13107-EMPTY","","ST IVES","-4830.00","-9660.00"
"4","03","00012432","Crd Note","08/05/2025","","DN#12067-EMPTY","","ST IVES","-1035.00","-10695.00"
"5","03","00012473","Crd Note","13/05/2025","","DN#12081-EMPTY","","ST IVES","-2415.00","-13110.00"
"6","04","00012691","Crd Note","11/06/2025","","DN#12378-EMPTY","","ST IVES","-3622.50","-16732.50"
"7","05","00012893","Crd Note","03/07/2025","","DN#12163-EMPTY","","ST IVES","-6037.50","-22770.00"
"8","06","00013176","Crd Note","08/08/2025","","DN#20078-EMPTY","","ST IVES","-6037.50","-28807.50"
"9","06","00013258","Crd Note","19/08/2025","","DN#20427-EMPTY","","ST IVES","-6037.50","-34845.00"
"10","07","00013484","Crd Note","16/09/2025","","DN#21033-EMPTY","","ST IVES","-6037.50","-40882.50"
"11","07","00013528","Crd Note","22/09/2025","","DN#20396-EMPTY","","ST IVES","-6037.50","-46920.00"
"12","08","00013742","Crd Note","24/10/2025","","DN#20753-EMPTY","","ST IVES","-6037.50","-52957.50"
"13","09","00013827","Crd Note","08/11/2025","","DN#21151-EMPTY","","ST IVES","-6037.50","-58995.00"
"14","09","00013952","Crd Note","27/11/2025","","DN#21173-EMPTY","","ST IVES","-4830.00","-63825.00"
"15","10","00014080","Crd Note","15/12/2025","","DN#21417-EMPTY","","ST IVES","-3622.50","-67447.50"
"16","10","00014174","Crd Note","29/12/2025","","DN-21605-EMPTY","","ST IVES","-6037.50","-73485.00"
"17","11","00014327","Crd Note","24/01/2026","","DN#21662- EMPTY","","ST IVES","-7245.00","-80730.00"
"18","12","00014420","Crd Note","12/02/2026","","DN#21249","","ST IVES","-4319.99","-85049.99"
"19","12","00014421","Crd Note","12/02/2026","","DN#21249-EMPTY","","ST IVES","-3622.50","-88672.49"
"20","12","00014433","Crd Note","16/02/2026","","DN#21543-EMPTY","","ST IVES","-3622.50","-92294.99"
"21","12","00014514","Crd Note","28/02/2026","","DN=21805-EMPTY","","ST IVES","-6037.50","-98332.49"
"22","13","00014575","Crd Note","11/03/2026","","DN#21824-EMPTY","","ST IVES","-6037.50","-104369.99"
"23","13","00014647","Crd Note","25/03/2026","","DN-22150-EMPTY","","ST IVES","-6037.50","-110407.49"
"24","14","00014824","Crd Note","30/04/2026","","DN-21883-EMPTY","","ST IVES","-6037.50","-116444.99"
"25","14","00014825","Crd Note","30/04/2026","","DN-21883","","ST IVES","-7199.98","-123644.97"
"26","14","00014842","Crd Note","02/05/2026","","DN#22358-EMPTY","","ST IVES","-6037.50","-129682.47"
"27","15","00014883","Crd Note","15/04/2026","","DN-22321-EMPTY","","ST IVES","-6037.50","-135719.97"
"28","15","00014908","Crd Note","15/05/2026","","DN#22711-EMPTY","","ST IVES","-7245.00","-142964.97"
"29","16","00015089","Crd Note","19/06/2026","","DN#22912-EMPTIES","","ST IVES","-8452.50","-151417.47"
"30","17","00015188","Crd Note","04/07/2026","","DN#22677=EMPTY","","ST IVES","-6037.50","-157454.97"
"31","17","00015265","Crd Note","15/07/2026","","DN#22821=EMPTIES","","ST IVES","-6037.50","-163492.47"
"32","02","00038150","Payment","17/04/2025","","TRANSF | STAT 113","","ST IVES","-5440.01","-168932.48"
"33","03","00038527","Payment","06/05/2025","","TRANSF | STAT 114","","ST IVES","-5440.01","-174372.49"
"34","03","00038670","Payment","13/05/2025","","TRANSF | STAT 114","","ST IVES","-560.00","-174932.49"
"35","03","00038841","Payment","22/05/2025","","TRANSF | STAT 114","","ST IVES","-2879.99","-177812.48"
"36","03","00039139","Payment","04/06/2025","","TRANSF | STAT 115","","ST IVES","-5759.98","-183572.46"
"37","04","00039422","Payment","17/06/2025","","TRANSF | STAT 115","","ST IVES","-4319.99","-187892.45"
"38","06","00040732","Payment","15/08/2025","","TRANSF | STAT 117","","ST IVES","-7479.98","-195372.43"
"39","07","00041232","Payment","12/09/2025","","TRANSF | STAT 118","","ST IVES","-21599.94","-216972.37"
"40","02","00042093","Invoice","07/04/2025","","DN#13008","00010958","ST IVES","5440.01","-211532.36"
"41","02","00042094","Invoice","07/04/2025","","DN#13008-EMPTY","","ST IVES","4830.00","-206702.36"
"42","09","00042140","Payment","07/11/2025","","TRANSF | STAT 120","","ST IVES","-14399.96","-221102.32"
"43","02","00042616","Invoice","29/04/2025","","DN#13107","00011090","ST IVES","5440.01","-215662.31"
"44","02","00042617","Invoice","29/04/2025","","DN#13107-EMPTY","","ST IVES","4830.00","-210832.31"
"45","10","00042763","Payment","22/12/2025","","TRANSF | STAT 121","","ST IVES","-5759.98","-216592.29"
"46","11","00042855","Payment","02/01/2026","","TRANSF | STAT 122","","ST IVES","-14399.96","-230992.25"
"47","02","00042892","Invoice","07/05/2025","","DN#12067","00011147","ST IVES","560.00","-230432.25"
"48","02","00042893","Invoice","07/05/2025","","DN#12067-EMPTY","","ST IVES","1035.00","-229397.25"
"49","03","00043016","Invoice","13/05/2025","","DN#12081","00011189","ST IVES","2879.99","-226517.26"
"50","03","00043017","Invoice","13/05/2025","","DN#12081-EMPTY","","ST IVES","2415.00","-224102.26"
"51","11","00043154","Payment","28/01/2026","","TRANSF | STAT 122","","ST IVES","-4319.99","-228422.25"
"52","03","00043185","Invoice","19/05/2025","","","00011223","ST IVES","5759.98","-222662.27"
"53","12","00043476","Payment","27/02/2026","","TRANSF | STAT 123","","ST IVES","-20159.94","-242822.21"
"54","13","00043647","Payment","10/03/2026","","TRANSF | STAT 124","","ST IVES","-5759.98","-248582.19"
"55","04","00043812","Invoice","11/06/2025","","DN#12378","00011400","ST IVES","4319.99","-244262.20"
"56","04","00043813","Invoice","11/06/2025","","DN#12378-EMPTY","00011401","ST IVES","3622.50","-240639.70"
"57","14","00043880","Payment","02/04/2026","","TRANSF | STAT 125","","ST IVES","-1440.00","-242079.70"
"58","14","00044142","Payment","28/04/2026","","TRANSF | STAT 125","","ST IVES","-7199.98","-249279.68"
"59","15","00044230","Payment","06/05/2026","","TRANSF | STAT 125","","ST IVES","-7199.98","-256479.66"
"60","15","00044457","Payment","27/05/2026","","TRANSF | STAT 126","","ST IVES","-8639.97","-265119.63"
"61","05","00044491","Invoice","03/07/2025","","DN#12163","00011662","ST IVES","7199.98","-257919.65"
"62","05","00044492","Invoice","03/07/2025","","DN#12163-EMPTY","00011663","ST IVES","6037.50","-251882.15"
"63","16","00044876","Payment","24/06/2026","","TRANSF | STAT 127","","ST IVES","-23039.94","-274922.09"
"64","05","00045026","Invoice","22/07/2025","","D/N 12230","00011850","ST IVES","7479.98","-267442.11"
"65","17","00045099","Payment","07/07/2026","","TRANSF | STAT 128","","ST IVES","-17279.95","-284722.06"
"66","06","00045509","Invoice","08/08/2025","","DN#20078","","ST IVES","7199.98","-277522.08"
"67","06","00045510","Invoice","08/08/2025","","DN#20078-EMPTY","","ST IVES","6037.50","-271484.58"
"68","06","00045745","Invoice","19/08/2025","","DN#20427","00012180","ST IVES","7199.98","-264284.60"
"69","06","00045746","Invoice","19/08/2025","","DN#20427-EMPTY","00012181","ST IVES","6037.50","-258247.10"
"70","07","00046407","Invoice","16/09/2025","","DN#21033","","ST IVES","7199.98","-251047.12"
"71","07","00046409","Invoice","16/09/2025","","DN#21033-EMPTY","","ST IVES","6037.50","-245009.62"
"72","07","00046571","Invoice","22/09/2025","","DN#20396","","ST IVES","7199.98","-237809.64"
"73","07","00046572","Invoice","22/09/2025","","DN#20396-EMPTY","","ST IVES","6037.50","-231772.14"
"74","08","00047283","Invoice","24/10/2025","","DN#20753","","ST IVES","7199.98","-224572.16"
"75","08","00047284","Invoice","24/10/2025","","DN#20753-EMPTY","","ST IVES","6037.50","-218534.66"
"76","09","00047575","Invoice","08/11/2025","","DN#21151","","ST IVES","7199.98","-211334.68"
"77","09","00047576","Invoice","08/11/2025","","DN#21151-EMPTY","","ST IVES","6037.50","-205297.18"
"78","09","00047939","Invoice","27/11/2025","","DN#21173","","ST IVES","5759.98","-199537.20"
"79","09","00047940","Invoice","27/11/2025","","DN#21173-EMPTY","","ST IVES","4830.00","-194707.20"
"80","10","00048292","Invoice","15/12/2025","","DN#21417","","ST IVES","4319.99","-190387.21"
