item_id,account_no,account_name,entry_type,period,doc_no,stock_no,description,category,product_group,debt_group,order_no,tx_date,qty,retail_price,line_tax,line_total,reference,source_file,fingerprint
219114,JAY000,JAYZ GRILL,Crd Note,18,00015509,S.4,48KG SV LPG- PACKED,SV,LPG,LPG,00052631,2026-08-18,-5,1205.23,903.92,-6930.07,DN#24274,CURRENT.TXT,9521bf612fe2f2dd66626e8b61cd266a14fbd2b7fa277b41f07f45033094a9ac
219090,JAY000,JAYZ GRILL,Crd Note,18,00015510,S.1,48KG SV CYLINDER DEPOSIT,CYL,CYL,CYL,00052632,2026-08-18,-5,1050,787.5,-6037.5,DN#24274-EMPTY,CURRENT.TXT,7fea6c6dd9afedb5970141eca3b93fba49b1ad203bb4224b9e7e2631f1b6c90f
218998,JAY000,JAYZ GRILL,Invoice,18,00052631,S.4,48KG SV LPG- PACKED,SV,LPG,LPG,,2026-08-18,5,1205.23,903.92,6930.07,DN#24274,CURRENT.TXT,b93a44a6463e67d1d06280903ed29f10790ed34c2469185ced954a3a65775976
218987,JAY000,JAYZ GRILL,Invoice,18,00052632,S.1,48KG SV CYLINDER DEPOSIT,CYL,CYL,CYL,,2026-08-18,5,1050,787.5,6037.5,DN#24274-EMPTY,CURRENT.TXT,73b8e2e5909ec497fe7f73cd3e2d14c5f4d1f76c41faec4328002c4df0c86633
219091,JAY000,JAYZ GRILL,Invoice,18,00052688,S.1,48KG SV CYLINDER DEPOSIT,CYL,CYL,CYL,,2026-08-18,5,1050,787.5,6037.5,DN#24274,CURRENT.TXT,cfd7965e8a36a4c7ab5b8ce60c22d1df5ded5bc805fd834874680e34f7cc435a
219115,JAY000,JAYZ GRILL,Invoice,18,00052688,S.4,48KG SV LPG- PACKED,SV,LPG,LPG,,2026-08-18,5,1205.23,903.92,6930.07,DN#24274,CURRENT.TXT,86402c26acecb7a539bac0196f8e14b45b6016f8605ee5f6066dbe7f2885525b
219339,JAY000,JAYZ GRILL,Invoice,18,00052793,S01,48KG SINGLE VALVE PACKED,SV,LPG,LPG,,2026-08-25,5,1205.23,903.92,6930.07,DN#23979,CURRENT.TXT,6ad8b57317e5cde4271916b7615758a0e16c51560b453112d1deaef40c2a763a
219329,JAY000,JAYZ GRILL,Invoice,18,00052794,S.1,48KG SV CYLINDER DEPOSIT,CYL,CYL,CYL,,2026-08-25,5,1050,787.5,6037.5,DN#23979-EMPTY,CURRENT.TXT,12aaa48237f2eebb8840eb0083b00855e53fd3553e06cb158e932f59cf5a1394
219377,JAY000,JAYZ GRILL,Crd Note,18,00015552,S.1,48KG SV CYLINDER DEPOSIT,CYL,CYL,CYL,00052794,2026-08-26,-5,1050,787.5,-6037.5,DN#23979-EMPTY,CURRENT.TXT,59713a0221d6b9f3baf4b76a23651be29c43bf57a8f939ecab2793774c6af746
219710,JAY000,JAYZ GRILL,Crd Note,19,00015594,S.1,48KG SV CYLINDER DEPOSIT,CYL,CYL,CYL,00052793,2026-09-03,-5,1050,787.5,-6037.5,DN#24950 EMPTIES,CURRENT.TXT,380622c5c3d47ea5f244405316a30aeb70c73233c93ce6628f4076feb71bd1db
