"ACCOUNT:","JAY000 - JAYZ GRILL"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","13860.14"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"NOTE:","RECONSTRUCTED FROM DTRX transaction_headers — NOT a DEBENQ enquiry. CURRENT BALANCE is the header-sum running total (ASSERTED)."

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","18","00052631","Invoice","18/08/2026","","DN#24274","","JAYZ GRILL","6930.07","6930.07"
"3","18","00052632","Invoice","18/08/2026","","DN#24274-EMPTY","","JAYZ GRILL","6037.50","12967.57"
"4","18","00052688","Invoice","18/08/2026","","DN#24274","","JAYZ GRILL","12967.57","25935.14"
"5","18","00015509","Crd Note","18/08/2026","00052631","DN#24274","","JAYZ GRILL","-6930.07","19005.07"
"6","18","00015510","Crd Note","18/08/2026","00052632","DN#24274-EMPTY","","JAYZ GRILL","-6037.50","12967.57"
"7","18","00052793","Invoice","25/08/2026","","DN#23979","","JAYZ GRILL","6930.07","19897.64"
"8","18","00052794","Invoice","25/08/2026","","DN#23979-EMPTY","","JAYZ GRILL","6037.50","25935.14"
"9","18","00015552","Crd Note","26/08/2026","00052794","DN#23979-EMPTY","","JAYZ GRILL","-6037.50","19897.64"
"10","19","00015594","Crd Note","03/09/2026","00052793","DN#24950 EMPTIES","","JAYZ GRILL","-6037.50","13860.14"
