"ACCOUNT:","JAY000 - JAYZ GRILL"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","13860.14"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","13860.14"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","18","00015509","Crd Note","18/08/2026","00052631","DN#24274","","JAYZ GRILL","-6930.07","-6930.07"
"3","18","00015510","Crd Note","18/08/2026","00052632","DN#24274-EMPTY","","JAYZ GRILL","-6037.50","-12967.57"
"4","18","00015552","Crd Note","26/08/2026","00052794","DN#23979-EMPTY","","JAYZ GRILL","-6037.50","-19005.07"
"5","19","00015594","Crd Note","03/09/2026","00052793","DN#24950 EMPTIES","","JAYZ GRILL","-6037.50","-25042.57"
"6","18","00052631","Invoice","18/08/2026","00052631","DN#24274","","JAYZ GRILL","6930.07","-18112.50"
"7","18","00052632","Invoice","18/08/2026","00052632","DN#24274-EMPTY","","JAYZ GRILL","6037.50","-12075.00"
"8","18","00052688","Invoice","18/08/2026","00052688","DN#24274","","JAYZ GRILL","12967.57","892.57"
"9","18","00052793","Invoice","25/08/2026","00052793","DN#23979","","JAYZ GRILL","6930.07","7822.64"
"10","18","00052794","Invoice","25/08/2026","00052794","DN#23979-EMPTY","","JAYZ GRILL","6037.50","13860.14"
"TOTAL TRANSACTIONS: 13860.14","","","","","","","","","",""
