allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,stat,slice_amount,target_doc,target_date,target_dn,lpg_open_before,allocated_amount,variance,allocation_type,confidence,review_required
AL-0001,AG-000001,37238,2025-03-05,11013.51,"TRANSF | STAT 112",3680.67,41158,2025-03-03,"DN#12898",3680.67,3680.67,0,LIFO_FULL,PATTERN_LIFO,false
AL-0002,,37238,2025-03-05,11013.51,"TRANSF | STAT 112",0,,,"",0,0,7332.84,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0003,AG-000002,38808,2025-05-14,7361.34,"TRANSF | STAT 114",3373.27,43026,2025-05-13,"DN#13218",3373.27,3373.27,0,LIFO_FULL,PATTERN_LIFO,false
AL-0004,AG-000002,38808,2025-05-14,7361.34,"TRANSF | STAT 114",3373.27,42692,2025-04-30,"DN#13117",3373.27,3373.27,0,LIFO_FULL,PATTERN_LIFO,false
AL-0005,AG-000002,38808,2025-05-14,7361.34,"TRANSF | STAT 114",614.8,42618,2025-04-25,"",3373.27,614.8,2758.47,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0006,AG-000003,38928,2025-05-28,15774,"TRANSF | STAT 114",3373.27,43311,2025-05-24,"DN#12463",3373.27,3373.27,0,LIFO_FULL,PATTERN_LIFO,false
AL-0007,AG-000003,38928,2025-05-28,15774,"TRANSF | STAT 114",2758.47,42618,2025-04-25,"",2758.47,2758.47,0,LIFO_FULL,PATTERN_LIFO,false
AL-0008,AG-000003,38928,2025-05-28,15774,"TRANSF | STAT 114",3603.18,42551,2025-04-25,"DN#13098",3603.18,3603.18,0,LIFO_FULL,PATTERN_LIFO,false
AL-0009,AG-000003,38928,2025-05-28,15774,"TRANSF | STAT 114",3603.18,42165,2025-04-10,"DN#4485",3603.18,3603.18,0,LIFO_FULL,PATTERN_LIFO,false
AL-0010,AG-000003,38928,2025-05-28,15774,"TRANSF | STAT 114",1743.49,41989,2025-04-04,"DN#12944",1743.49,1743.49,0,LIFO_FULL,PATTERN_LIFO,false
AL-0011,AG-000003,38928,2025-05-28,15774,"TRANSF | STAT 114",692.41,41880,2025-04-01,"DN#4460",3680.67,692.41,2988.26,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0012,AG-000004,39619,2025-06-27,8366.1,"TRANSF | STAT 115",3331.11,44182,2025-06-24,"DN#12589",3331.11,3331.11,0,LIFO_FULL,PATTERN_LIFO,false
AL-0013,AG-000004,39619,2025-06-27,8366.1,"TRANSF | STAT 115",4909.01,44050,2025-06-18,"DN#12407",4909.01,4909.01,0,LIFO_FULL,PATTERN_LIFO,false
AL-0014,AG-000004,39619,2025-06-27,8366.1,"TRANSF | STAT 115",125.98,43579,2025-06-03,"DN#12293",4498.55,125.98,4372.57,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0015,AG-000005,40266,2025-07-23,12738.7,"TRANSF | STAT 116",4825.72,44797,2025-07-14,"DN#12693",4825.72,4825.72,0,LIFO_FULL,PATTERN_LIFO,false
AL-0016,AG-000005,40266,2025-07-23,12738.7,"TRANSF | STAT 116",4909.01,44422,2025-07-01,"DN#12448",4909.01,4909.01,0,LIFO_FULL,PATTERN_LIFO,false
