doc_no,entry_type,tx_date,lpg_total,cyl_total,other_total
30227,Invoice,2024-03-08,6915.74,7176.00,0
30652,Invoice,2024-03-23,6915.74,7176.00,0
31028,Invoice,2024-04-05,6915.74,0,0
31419,Invoice,2024-04-18,6915.74,0,0
31659,Invoice,2024-04-26,6915.74,0,0
31662,Invoice,2024-04-26,6915.74,0,0
32031,Invoice,2024-05-10,6914.76,0,0
32177,Invoice,2024-05-15,1637.72,0,0
32195,Invoice,2024-05-16,8552.48,0,0
32589,Invoice,2024-05-30,8552.48,0,0
32830,Invoice,2024-06-07,6914.76,0,0
33353,Invoice,2024-06-21,10190.20,0,0
33580,Invoice,2024-06-27,6914.76,0,0
33815,Invoice,2024-07-04,1637.72,0,0
34055,Invoice,2024-07-10,6914.76,0,0
34351,Invoice,2024-07-18,6914.76,0,0
34870,Invoice,2024-08-02,8552.48,0,0
35279,Invoice,2024-08-15,6914.76,0,0
35461,Invoice,2024-08-21,6914.76,0,0
35725,Invoice,2024-08-29,1637.72,0,0
35955,Invoice,2024-09-05,6914.76,0,999.98
36084,Invoice,2024-09-10,10099.54,0,0
36892,Invoice,2024-10-02,10099.54,0,0
36983,Invoice,2024-10-04,5997.84,0,0
37348,Invoice,2024-10-17,6897.52,0,0
37742,Invoice,2024-10-29,6897.52,0,0
37886,Invoice,2024-11-04,7986.62,0,0
38375,Invoice,2024-11-19,6968.32,0,0
38859,Invoice,2024-12-06,8992.14,11385.00,0
38977,Invoice,2024-12-11,7270.26,8280.00,0
39192,Invoice,2024-12-19,7270.26,8280.00,0
39623,Invoice,2025-01-06,7304.34,0,0
39624,Invoice,2025-01-06,0,8280.00,0
39692,Invoice,2025-01-08,7304.34,0,0
39696,Invoice,2025-01-08,0,1380.00,0
39700,Invoice,2025-01-08,0,8280.00,0
40303,Invoice,2025-01-31,7304.34,0,0
40304,Invoice,2025-01-31,0,8280.00,0
40604,Invoice,2025-02-10,7361.34,0,0
40605,Invoice,2025-02-10,0,8280.00,0
40972,Invoice,2025-02-25,7361.34,0,0
40973,Invoice,2025-02-25,0,8280.00,0
41158,Invoice,2025-03-03,7361.34,0,0
41159,Invoice,2025-03-03,0,8280.00,0
41615,Invoice,2025-03-19,7361.34,0,0
41617,Invoice,2025-03-19,0,8280.00,0
41880,Invoice,2025-04-01,7361.34,0,0
41881,Invoice,2025-04-01,0,8280.00,0
41989,Invoice,2025-04-04,3486.98,0,0
41990,Invoice,2025-04-04,0,6210.00,0
42165,Invoice,2025-04-10,7206.36,0,0
42166,Invoice,2025-04-10,0,8280.00,0
42551,Invoice,2025-04-25,7206.36,0,0
42552,Invoice,2025-04-25,0,8280.00,0
42618,Invoice,2025-04-25,6746.54,0,0
42692,Invoice,2025-04-30,6746.54,0,0
42693,Invoice,2025-04-30,0,8280.00,0
43026,Invoice,2025-05-13,6746.54,0,0
43027,Invoice,2025-05-13,0,8280.00,0
43311,Invoice,2025-05-24,6746.54,0,0
43312,Invoice,2025-05-24,0,8280.00,0
43488,Invoice,2025-05-30,3239.00,0,0
43489,Invoice,2025-05-30,0,6210.00,0
43579,Invoice,2025-06-03,8997.10,0,0
43580,Invoice,2025-06-03,0,12420.00,0
44050,Invoice,2025-06-18,9818.02,0,0
44051,Invoice,2025-06-18,0,14490.00,0
44182,Invoice,2025-06-24,6662.22,0,0
44183,Invoice,2025-06-24,0,8280.00,0
44422,Invoice,2025-07-01,9818.02,0,0
44423,Invoice,2025-07-01,0,14490.00,0
44797,Invoice,2025-07-14,9651.44,0,0
44798,Invoice,2025-07-14,0,14490.00,0
45088,Invoice,2025-07-24,6549.20,0,0
45092,Invoice,2025-07-24,0,8280.00,0
45372,Invoice,2025-08-04,9651.44,0,0
45373,Invoice,2025-08-04,0,14490.00,0
45635,Invoice,2025-08-14,6549.20,0,0
45636,Invoice,2025-08-14,0,8280.00,0
45758,Invoice,2025-08-19,8944.24,0,0
45759,Invoice,2025-08-19,0,13455.00,0
46057,Invoice,2025-09-01,6412.86,0,0
46058,Invoice,2025-09-01,0,8280.00,0
46459,Invoice,2025-09-17,6149.98,0,0
46460,Invoice,2025-09-17,0,8280.00,0
46626,Invoice,2025-09-23,6149.98,0,0
46627,Invoice,2025-09-23,0,8280.00,0
46904,Invoice,2025-10-06,6149.98,0,0
46905,Invoice,2025-10-06,0,8280.00,0
47082,Invoice,2025-10-14,7121.02,0,0
47083,Invoice,2025-10-14,0,10350.00,0
47273,Invoice,2025-10-24,1942.12,0,0
47274,Invoice,2025-10-24,0,4140.00,0
47341,Invoice,2025-10-27,6149.98,0,0
47342,Invoice,2025-10-27,0,8280.00,0
47591,Invoice,2025-11-10,6035.98,0,0
47592,Invoice,2025-11-10,0,8280.00,0
47808,Invoice,2025-11-20,8418.66,0,0
47809,Invoice,2025-11-20,0,13455.00,0
48073,Invoice,2025-12-03,6035.98,0,0
48074,Invoice,2025-12-03,0,8280.00,0
48328,Invoice,2025-12-17,6064.82,0,0
48329,Invoice,2025-12-17,0,8280.00,0
48471,Invoice,2025-12-24,6064.82,0,0
48473,Invoice,2025-12-24,0,8280.00,0
48675,Invoice,2026-01-08,6064.82,0,0
48676,Invoice,2026-01-08,0,8280.00,0
49067,Invoice,2026-02-02,6104.98,0,0
49068,Invoice,2026-02-03,0,8280.00,0
49287,Invoice,2026-02-17,6168.04,0,0
49288,Invoice,2026-02-17,0,8280.00,0
49379,Invoice,2026-02-23,6168.04,0,0
49380,Invoice,2026-02-23,0,8280.00,0
49609,Invoice,2026-03-06,5178.10,0,0
49610,Invoice,2026-03-06,0,6900.00,0
49752,Invoice,2026-03-16,7194.82,0,0
49753,Invoice,2026-03-16,0,10350.00,0
50051,Invoice,2026-04-02,9157.00,0,0
50052,Invoice,2026-04-02,0,14490.00,0
50146,Invoice,2026-04-09,6897.66,0,0
50147,Invoice,2026-04-09,0,8280.00,0
50318,Invoice,2026-04-20,6897.66,0,0
50319,Invoice,2026-04-21,0,8280.00,0
50939,Invoice,2026-05-05,0,7245.00,0
50536,Invoice,2026-05-06,5082.47,0,0
50537,Invoice,2026-05-06,0,7245.00,0
50753,Invoice,2026-05-18,7903.82,0,0
50754,Invoice,2026-05-18,0,8280.00,0
50970,Invoice,2026-06-01,3293.25,0,0
50971,Invoice,2026-06-01,0,3450.00,0
51154,Invoice,2026-06-11,4866.88,0,0
51155,Invoice,2026-06-11,0,5692.50,0
51387,Invoice,2026-06-23,3934.93,0,0
51388,Invoice,2026-06-23,0,4140.00,0
51564,Invoice,2026-07-03,623.88,0,0
51565,Invoice,2026-07-03,0,1035.00,0
51669,Invoice,2026-07-07,4887.10,0,0
51670,Invoice,2026-07-07,0,5692.50,0
51691,Invoice,2026-07-08,4887.10,0,0
51692,Invoice,2026-07-08,0,5692.50,0
51823,Invoice,2026-07-14,935.81,0,0
51824,Invoice,2026-07-14,0,1552.50,0
52044,Invoice,2026-07-23,3951.29,0,0
52050,Invoice,2026-07-24,0,690.00,0
52051,Invoice,2026-07-24,0,4140.00,0
52305,Invoice,2026-08-04,5199.03,0,0
52306,Invoice,2026-08-04,0,6210.00,0
52648,Invoice,2026-08-19,4360.11,0,0
52649,Invoice,2026-08-19,0,5692.50,0
53029,Invoice,2026-09-07,4445.57,0,0
53030,Invoice,2026-09-07,0,5692.50,0
8214,Crd Note,2024-04-26,-6915.74,0,0
8436,Crd Note,2024-05-15,-1637.72,0,0
9077,Crd Note,2024-06-28,-545.86,0,0
11408,Crd Note,2024-12-06,0,-9315.00,0
11456,Crd Note,2024-12-12,0,-8280.00,0
11527,Crd Note,2024-12-20,0,-8280.00,0
11634,Crd Note,2025-01-07,-7304.34,0,0
11635,Crd Note,2025-01-07,0,-8280.00,0
11653,Crd Note,2025-01-08,0,-1380.00,0
11654,Crd Note,2025-01-08,0,-8280.00,0
11790,Crd Note,2025-01-31,0,-8280.00,0
11863,Crd Note,2025-02-10,0,-8280.00,0
11960,Crd Note,2025-02-25,0,-11385.00,0
11995,Crd Note,2025-03-04,0,-8280.00,0
12102,Crd Note,2025-03-20,0,-8280.00,0
12172,Crd Note,2025-04-02,0,-8280.00,0
12197,Crd Note,2025-04-05,0,-2070.00,0
12259,Crd Note,2025-04-12,0,-8280.00,0
12366,Crd Note,2025-04-25,-7206.36,0,0
12353,Crd Note,2025-04-26,0,-8280.00,0
12405,Crd Note,2025-05-05,0,-8280.00,0
12465,Crd Note,2025-05-13,0,-8280.00,0
12559,Crd Note,2025-05-26,0,-12420.00,0
12648,Crd Note,2025-06-06,0,-12420.00,0
12770,Crd Note,2025-06-20,0,-13455.00,0
12801,Crd Note,2025-06-25,0,-8280.00,0
12874,Crd Note,2025-07-01,0,-13455.00,0
12976,Crd Note,2025-07-14,0,-13455.00,0
13044,Crd Note,2025-07-24,0,-13455.00,0
13128,Crd Note,2025-08-05,0,-13455.00,0
13226,Crd Note,2025-08-14,0,-8280.00,0
13267,Crd Note,2025-08-20,0,-12420.00,0
13355,Crd Note,2025-09-03,0,-9315.00,0
13432,Crd Note,2025-09-03,0,-1035.00,0
13498,Crd Note,2025-09-18,0,-11385.00,0
13541,Crd Note,2025-09-25,0,-8280.00,0
13625,Crd Note,2025-10-06,0,-11385.00,0
13679,Crd Note,2025-10-14,0,-8280.00,0
13738,Crd Note,2025-10-24,0,-2070.00,0
13756,Crd Note,2025-10-27,0,-8280.00,0
13839,Crd Note,2025-11-11,0,-8280.00,0
13918,Crd Note,2025-11-21,0,-15525.00,0
14000,Crd Note,2025-12-04,0,-8280.00,0
14101,Crd Note,2025-12-18,0,-8280.00,0
14163,Crd Note,2025-12-24,0,-8280.00,0
14231,Crd Note,2026-01-08,0,-8280.00,0
14374,Crd Note,2026-02-03,0,-8280.00,0
14445,Crd Note,2026-02-19,0,-8280.00,0
