"ACCOUNT:","JEN001 - JENS SPOON PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","22685.21"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","22088.10","22088.10"
"2","17","00015193","Crd Note","03/07/2026","","DN#22673=EMPTY","","JENS SPOON PTY LTD","-1035.00","21053.10"
"3","17","00015204","Crd Note","07/07/2026","","DN#22679=EMPTY","","JENS SPOON PTY LTD","-5692.50","15360.60"
"4","17","00015205","Crd Note","07/07/2026","","DN#22679","","JENS SPOON PTY LTD","-4887.10","10473.50"
"5","17","00015220","Crd Note","08/07/2026","","DN#22679=EMPTY","","JENS SPOON PTY LTD","-5692.50","4781.00"
"6","17","00015258","Crd Note","14/07/2026","","DN#22816=EMPTY","","JENS SPOON PTY LTD","-1552.50","3228.50"
"7","17","00015317","Crd Note","24/07/2026","","DN#22976-EMPTY","","JENS SPOON PTY LTD","-690.00","2538.50"
"8","17","00015329","Crd Note","25/07/2026","","DN#52044-EMPTY","","JENS SPOON PTY LTD","-4140.00","-1601.50"
"9","18","00015392","Crd Note","05/08/2026","","DN#23940-EMPTY","","JENS SPOON PTY LTD","-6210.00","-7811.50"
"10","18","00045717","Payment","14/08/2026","","TRANSF | STAT 129","","JENS SPOON PTY LTD","-15000.00","-22811.50"
"11","17","00051564","Invoice","03/07/2026","","DN#22673","","JENS SPOON PTY LTD","623.88","-22187.62"
"12","17","00051565","Invoice","03/07/2026","","DN#22673=EMPTY","","JENS SPOON PTY LTD","1035.00","-21152.62"
"13","17","00051669","Invoice","07/07/2026","","DN#22679","","JENS SPOON PTY LTD","4887.10","-16265.52"
"14","17","00051670","Invoice","07/07/2026","","DN#22679=EMPTY","","JENS SPOON PTY LTD","5692.50","-10573.02"
"15","17","00051691","Invoice","08/07/2026","","DN#22679","","JENS SPOON PTY LTD","4887.10","-5685.92"
"16","17","00051692","Invoice","08/07/2026","","DN#22679=EMPTY","","JENS SPOON PTY LTD","5692.50","6.58"
"17","17","00051823","Invoice","14/07/2026","","DN#22816","","JENS SPOON PTY LTD","935.81","942.39"
"18","17","00051824","Invoice","14/07/2026","","DN#22816=EMPTY","","JENS SPOON PTY LTD","1552.50","2494.89"
"19","17","00052044","Invoice","23/07/2026","","DN#22976","","JENS SPOON PTY LTD","3951.29","6446.18"
"20","17","00052050","Invoice","24/07/2026","","DN#22976-EMPTY","","JENS SPOON PTY LTD","690.00","7136.18"
"21","17","00052051","Invoice","24/07/2026","","DN#52044-EMPTY","","JENS SPOON PTY LTD","4140.00","11276.18"
"22","18","00052305","Invoice","04/08/2026","","DN#23940","","JENS SPOON PTY LTD","5199.03","16475.21"
"23","18","00052306","Invoice","04/08/2026","","DN#23940-EMPTY","","JENS SPOON PTY LTD","6210.00","22685.21"
"TOTAL TRANSACTIONS: 22685.21","","","","","","","","","",""
