"ACCOUNT:","JEN001 - JENS SPOON PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","23443.04"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","9082.81","9082.81"
"2","11","00042917","Payment","07/01/2026","","TRANSF | STAT 122","","JENS SPOON PTY LTD","-9082.81","0.00"
"3","11","00014231","Crd Note","08/01/2026","","DN-21759-EMPTY","","JENS SPOON PTY LTD","-4140.00","-4140.00"
"4","11","00048675","Invoice","08/01/2026","","DN-21759","00012799","JENS SPOON PTY LTD","3032.41","-1107.59"
"5","11","00048676","Invoice","08/01/2026","","DN-21759-EMPTY","00012800","JENS SPOON PTY LTD","4140.00","3032.41"
"6","12","00049067","Invoice","02/02/2026","","DN#21517","00013043","JENS SPOON PTY LTD","3052.49","6084.90"
"7","12","00014374","Crd Note","03/02/2026","","DN#21517-EMPTY","","JENS SPOON PTY LTD","-4140.00","1944.90"
"8","12","00049068","Invoice","03/02/2026","","DN#21517-EMPTY","00013044","JENS SPOON PTY LTD","4140.00","6084.90"
"9","12","00043367","Payment","17/02/2026","","TRANSF | STAT 123","","JENS SPOON PTY LTD","-3032.41","3052.49"
"10","12","00049287","Invoice","17/02/2026","","DN-21902","00013156","JENS SPOON PTY LTD","3084.02","6136.51"
"11","12","00049288","Invoice","17/02/2026","","DN-21902-EMPTY","00013157","JENS SPOON PTY LTD","4140.00","10276.51"
"12","12","00014445","Crd Note","19/02/2026","","DN-21902-EMPTY","","JENS SPOON PTY LTD","-4140.00","6136.51"
"13","12","00049379","Invoice","23/02/2026","","DN`21271","00013243","JENS SPOON PTY LTD","3084.02","9220.53"
"14","12","00049380","Invoice","23/02/2026","","DN`21271-EMPTY","00013244","JENS SPOON PTY LTD","4140.00","13360.53"
"15","12","00014477","Crd Note","24/02/2026","","DN`21271-EMPTY","","JENS SPOON PTY LTD","-4140.00","9220.53"
"16","13","00049609","Invoice","06/03/2026","","DN#22114","00013360","JENS SPOON PTY LTD","2589.05","11809.58"
"17","13","00049610","Invoice","06/03/2026","","DN#22114EMPTY","00013361","JENS SPOON PTY LTD","3450.00","15259.58"
"18","13","00014556","Crd Note","09/03/2026","","DN#22114EMPTY","","JENS SPOON PTY LTD","-3450.00","11809.58"
"19","13","00043638","Payment","12/03/2026","","TRANSF | STAT 124","","JENS SPOON PTY LTD","-9220.53","2589.05"
"20","13","00049752","Invoice","16/03/2026","","DN#22130","00013453","JENS SPOON PTY LTD","3597.41","6186.46"
"21","13","00049753","Invoice","16/03/2026","","DN#22130-EMPTY","00013456","JENS SPOON PTY LTD","5175.00","11361.46"
"22","13","00014601","Crd Note","17/03/2026","","DN#22130-EMPTY","","JENS SPOON PTY LTD","-4657.50","6703.96"
"23","14","00014698","Crd Note","02/04/2026","","DN-22040-EMPTY","","JENS SPOON PTY LTD","-5692.50","1011.46"
"24","14","00050051","Invoice","02/04/2026","","DN-22040","00013607","JENS SPOON PTY LTD","4578.50","5589.96"
"25","14","00050052","Invoice","02/04/2026","","DN-22040-EMPTY","00013608","JENS SPOON PTY LTD","7245.00","12834.96"
"26","14","00043927","Payment","08/04/2026","","TRANSF | STAT 125","","JENS SPOON PTY LTD","-6703.96","6131.00"
"27","14","00014729","Crd Note","09/04/2026","","DN-22304-EMPTY","","JENS SPOON PTY LTD","-4140.00","1991.00"
"28","14","00050146","Invoice","09/04/2026","","DN-22304","00013664","JENS SPOON PTY LTD","3448.83","5439.83"
"29","14","00050147","Invoice","09/04/2026","","DN-22304-EMPTY","00013665","JENS SPOON PTY LTD","4140.00","9579.83"
"30","14","00050318","Invoice","20/04/2026","","DN-22337","00013739","JENS SPOON PTY LTD","3448.83","13028.66"
"31","14","00014784","Crd Note","21/04/2026","","DN-22337-EMPTY","","JENS SPOON PTY LTD","-4140.00","8888.66"
"32","14","00050319","Invoice","21/04/2026","","DN-22337-EMPTY","00013740","JENS SPOON PTY LTD","4140.00","13028.66"
"TOTAL TRANSACTIONS: 13028.66","","","","","","","","","",""
