"ACCOUNT:","JEN001 - JENS SPOON PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","28534.89"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","9461.01","9461.01"
"2","01","00041158","Invoice","03/03/2025","","DN#12898","00010647","JENS SPOON PTY LTD","3680.67","13141.68"
"3","01","00041159","Invoice","03/03/2025","","DN#12898-EMPTY","","JENS SPOON PTY LTD","4140.00","17281.68"
"4","01","00011995","Crd Note","04/03/2025","","DN#12898-EMPTY","","JENS SPOON PTY LTD","-4140.00","13141.68"
"5","01","00037238","Payment","05/03/2025","","TRANSF | STAT 112","","JENS SPOON PTY LTD","-11013.51","2128.17"
"6","01","00041615","Invoice","19/03/2025","","DN#10531","00010819","JENS SPOON PTY LTD","3680.67","5808.84"
"7","01","00041617","Invoice","19/03/2025","","DN#10531-EMPTY","00010820","JENS SPOON PTY LTD","4140.00","9948.84"
"8","01","00012102","Crd Note","20/03/2025","","DN#10531-EMPTY","","JENS SPOON PTY LTD","-4140.00","5808.84"
"9","01","00041880","Invoice","01/04/2025","","DN#4460","00010896","JENS SPOON PTY LTD","3680.67","9489.51"
"10","01","00041881","Invoice","01/04/2025","","DN#4460-EMPTY","","JENS SPOON PTY LTD","4140.00","13629.51"
"11","02","00012172","Crd Note","02/04/2025","","DN#4460-EMPTY","","JENS SPOON PTY LTD","-4140.00","9489.51"
"12","02","00041989","Invoice","04/04/2025","","DN#12944","00010919","JENS SPOON PTY LTD","1743.49","11233.00"
