allocation_id,payment_doc,payment_date,batch_ref,stat_no,payment_amount,target_doc,target_date,target_month_year,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0001,00004904,2019-01-21,EASYREC,11,7000.0,00004635,2018-12-04,2018-12,LPG,4750.02,2306.68,4693.32,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2018-12 LPG invoice.
AL-0002,00004904,2019-01-21,EASYREC,11,7000.0,00004542,2018-12-22,2018-12,LPG,4250.0,4250.0,443.32,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2018-12 LPG invoice.
AL-0003,00005437,2019-04-24,STAT 162,2,9925.0,00004732,2019-02-02,2019-02,LPG,1750.01,1750.01,8174.99,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0004,00005437,2019-04-24,STAT 162,2,9925.0,00004741,2019-02-06,2019-02,LPG,1400.01,1400.01,6774.98,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0005,00005437,2019-04-24,STAT 162,2,9925.0,00004754,2019-02-08,2019-02,LPG,1200.0,1200.0,5574.98,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0006,00005437,2019-04-24,STAT 162,2,9925.0,00004767,2019-02-12,2019-02,LPG,1200.0,1200.0,4374.98,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0007,00005437,2019-04-24,STAT 162,2,9925.0,00004791,2019-02-16,2019-02,LPG,442.11,442.11,3932.87,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0008,00005437,2019-04-24,STAT 162,2,9925.0,00004792,2019-02-17,2019-02,LPG,1105.28,1105.28,2827.59,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0009,00005437,2019-04-24,STAT 162,2,9925.0,00004807,2019-02-19,2019-02,LPG,1200.0,1200.0,1627.59,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0010,00005437,2019-04-24,STAT 162,2,9925.0,00004820,2019-02-22,2019-02,LPG,600.0,600.0,1027.59,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0011,00005437,2019-04-24,STAT 162,2,9925.0,00004839,2019-02-27,2019-02,LPG,1200.0,1027.59,0.0,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-02 LPG invoice.
AL-0012,00005436,2019-05-06,STAT 163,3,13505.0,00005013,2019-04-02,2019-04,LPG,1625.01,1625.01,11879.99,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0013,00005436,2019-05-06,STAT 163,3,13505.0,00005030,2019-04-05,2019-04,LPG,1439.98,1439.98,10440.01,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0014,00005436,2019-05-06,STAT 163,3,13505.0,00005047,2019-04-10,2019-04,LPG,1439.98,1439.98,9000.03,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0015,00005436,2019-05-06,STAT 163,3,13505.0,00005063,2019-04-13,2019-04,LPG,719.99,719.99,8280.04,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0016,00005436,2019-05-06,STAT 163,3,13505.0,00005072,2019-04-16,2019-04,LPG,1799.98,1799.98,6480.06,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0017,00005436,2019-05-06,STAT 163,3,13505.0,00005083,2019-04-18,2019-04,LPG,1439.98,1439.98,5040.08,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0018,00005436,2019-05-06,STAT 163,3,13505.0,00005106,2019-04-24,2019-04,LPG,1439.98,1439.98,3600.1,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0019,00005436,2019-05-06,STAT 163,3,13505.0,00005112,2019-04-25,2019-04,LPG,1439.98,1439.98,2160.12,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0020,00005436,2019-05-06,STAT 163,3,13505.0,00005130,2019-04-30,2019-04,LPG,2159.98,2159.98,0.14,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Confirmed,True,False,Allocated to 2019-04 LPG invoice.
AL-0021,00005618,2019-06-20,STAT 163,4,8625.0,00005157,2019-05-06,2019-05,LPG,1125.01,1125.01,7499.99,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-05 LPG invoice.
AL-0022,00005618,2019-06-20,STAT 163,4,8625.0,00005167,2019-05-09,2019-05,LPG,1875.02,1875.02,5624.97,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-05 LPG invoice.
AL-0023,00005618,2019-06-20,STAT 163,4,8625.0,00005193,2019-05-15,2019-05,LPG,1960.58,1960.58,3664.39,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-05 LPG invoice.
AL-0024,00005618,2019-06-20,STAT 163,4,8625.0,00005206,2019-05-17,2019-05,LPG,750.01,750.01,2914.38,SPLIT_PAYMENT_PORTION,ERP_LEDGER,Probable,True,False,Allocated to 2019-05 LPG invoice.
