debtor_code,doc_no,entry_type,tx_date,stock_code,standard_weight_group,qty,amount_incl,financial_effect,custody_effect,deposit_rate,custody_exposure,source_file,notes
JIM001,00004564,Invoice,2019-01-02,9.2,9kg,5.0,1725.0,1725.0,5.0,517.5,2587.5,,
JIM001,00004567,Invoice,2019-01-02,9.2,9kg,2.0,690.0,690.0,2.0,517.5,1035.0,,
JIM001,00004568,Invoice,2019-01-02,9.2,9kg,2.0,690.0,690.0,2.0,517.5,1035.0,,
JIM001,00004592,Invoice,2019-01-05,9.2,9kg,1.0,345.0,345.0,1.0,517.5,517.5,,
JIM001,00000607,Crd Note,2019-01-09,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00004620,Invoice,2019-01-10,9.2,9kg,1.0,345.0,345.0,1.0,517.5,517.5,,
JIM001,00000613,Crd Note,2019-01-12,9.2,9kg,-2.0,-690.0,-690.0,-2.0,517.5,-1035.0,,
JIM001,00000617,Crd Note,2019-01-12,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00004733,Invoice,2019-02-02,9.2,9kg,1.0,345.0,345.0,1.0,517.5,517.5,,
JIM001,00004768,Invoice,2019-02-12,9.2,9kg,4.0,1380.0,1380.0,4.0,517.5,2070.0,,
JIM001,00000639,Crd Note,2019-02-14,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00004794,Invoice,2019-02-16,9.2,9kg,7.0,2415.0,2415.0,7.0,517.5,3622.5,,
JIM001,00000656,Crd Note,2019-02-21,9.2,9kg,-8.0,-2760.0,-2760.0,-8.0,517.5,-4140.0,,
JIM001,00000661,Crd Note,2019-02-27,9.2,9kg,-2.0,-690.0,-690.0,-2.0,517.5,-1035.0,,
JIM001,00000671,Crd Note,2019-03-01,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00000664,Crd Note,2019-03-04,9.2,9kg,-2.0,-690.0,-690.0,-2.0,517.5,-1035.0,,
JIM001,00004902,Invoice,2019-03-08,9.2,9kg,1.0,345.0,345.0,1.0,517.5,517.5,,
JIM001,00004961,Invoice,2019-03-23,9.2,9kg,3.0,1035.0,1035.0,3.0,517.5,1552.5,,
JIM001,00005092,Invoice,2019-04-18,9.2,9kg,4.0,1380.0,1380.0,4.0,517.5,2070.0,,
JIM001,00000697,Crd Note,2019-04-24,9.2,9kg,-4.0,-1380.0,-1380.0,-4.0,517.5,-2070.0,,
JIM001,00000704,Crd Note,2019-04-24,9.2,9kg,-4.0,-1380.0,-1380.0,-4.0,517.5,-2070.0,,
JIM001,00000721,Crd Note,2019-05-22,9.2,9kg,-4.0,-1380.0,-1380.0,-4.0,517.5,-2070.0,,
JIM001,00005453,Invoice,2019-06-28,9.2,9kg,3.0,1035.0,1035.0,3.0,517.5,1552.5,,
JIM001,00000766,Crd Note,2019-07-04,9.2,9kg,-3.0,-1035.0,-1035.0,-3.0,517.5,-1552.5,,
JIM001,00000773,Crd Note,2019-07-16,9.2,9kg,-4.0,-1380.0,-1380.0,-4.0,517.5,-2070.0,,
JIM001,00000789,Crd Note,2019-07-19,9.2,9kg,-2.0,-690.0,-690.0,-2.0,517.5,-1035.0,,
JIM001,00005633,Invoice,2019-08-08,9.2,9kg,2.0,690.0,690.0,2.0,517.5,1035.0,,
JIM001,00005636,Invoice,2019-08-08,9.2,9kg,4.0,1380.0,1380.0,4.0,517.5,2070.0,,
JIM001,00005643,Invoice,2019-08-08,9.2,9kg,1.0,345.0,345.0,1.0,517.5,517.5,,
JIM001,00000787,Crd Note,2019-08-14,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00006201,Invoice,2020-01-09,9.2,9kg,1.0,345.0,345.0,1.0,517.5,517.5,,
JIM001,00000849,Crd Note,2020-04-01,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00000850,Crd Note,2020-04-01,9.2,9kg,-1.0,-345.0,-345.0,-1.0,517.5,-517.5,,
JIM001,00008037,Invoice,2021-03-24,9.2,9kg,4.0,1380.0,1380.0,4.0,517.5,2070.0,,
JIM001,00000974,Crd Note,2021-03-25,19.7,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00000990,Crd Note,2021-03-26,19.6,19kg,-1.0,-345.0,-345.0,-1.0,690.0,-690.0,,
JIM001,00000990,Crd Note,2021-03-26,19.7,19kg,-3.0,-1035.0,-1035.0,-3.0,690.0,-2070.0,,
JIM001,00008059,Invoice,2021-03-26,19.7,19kg,4.0,1380.0,1380.0,4.0,690.0,2760.0,,
JIM001,00008090,Invoice,2021-03-30,19.6,19kg,8.0,2760.0,2760.0,8.0,690.0,5520.0,,
JIM001,00001018,Crd Note,2021-03-31,9.7,9kg,-4.0,-1380.0,-1380.0,-4.0,517.5,-2070.0,,
JIM001,00001043,Crd Note,2021-04-06,19.1,19kg,-5.0,-1725.0,-1725.0,-5.0,690.0,-3450.0,,
JIM001,00001057,Crd Note,2021-04-07,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00008137,Invoice,2021-04-07,19.1,19kg,5.0,1725.0,1725.0,5.0,690.0,3450.0,,
JIM001,00008147,Invoice,2021-04-07,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00008225,Invoice,2021-04-17,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
