debtor_code,doc_no,entry_type,tx_date,month_year,stock_code,description,debt_group,lane,qty,amount_excl,tax_amount,amount_incl,source_file,is_cyl,is_lpg,paired_cyl_doc,notes
JIM001,00004635,Invoice,2018-12-04,2018-12,D.3,,LPG,LPG,5.0,4130.45,619.57,4750.02,,False,True,,
JIM001,00004542,Invoice,2018-12-22,2018-12,D.3,,LPG,LPG,5.0,3695.65,554.35,4250.0,,False,True,,
JIM001,00004553,Invoice,2019-01-02,2019-01,D.3,28/12/18,LPG,LPG,5.0,3695.65,554.35,4250.0,,False,True,,
JIM001,00004559,Invoice,2019-01-02,2019-01,19.3,29/12/18,LPG,LPG,6.0,1826.1,273.91,2100.01,,False,True,,
JIM001,00004561,Invoice,2019-01-02,2019-01,19.3,31/12/18,LPG,LPG,1.0,304.35,45.65,350.0,,False,True,,
JIM001,00004562,Invoice,2019-01-02,2019-01,19.3,31/12/18,LPG,LPG,2.0,608.7,91.31,700.01,,False,True,,
JIM001,00004563,Invoice,2019-01-02,2019-01,19.3,JIMMY'S KILLER PRAWN,LPG,LPG,4.0,1217.4,182.61,1400.01,,False,True,,
JIM001,00004564,Invoice,2019-01-02,2019-01,9.2,JIMMYS KILLER PRAWNS,CYL,CYL,5.0,1500.0,225.0,1725.0,,True,False,,
JIM001,00004565,Invoice,2019-01-02,2019-01,19.3,JIMMYS KILLER PRAWNS,LPG,LPG,5.0,1521.75,228.26,1750.01,,False,True,,
JIM001,00004566,Invoice,2019-01-02,2019-01,19.3,SWADISH,LPG,LPG,2.0,608.7,91.31,700.01,,False,True,,
JIM001,00004567,Invoice,2019-01-02,2019-01,9.2,SWADISH,CYL,CYL,2.0,600.0,90.0,690.0,,True,False,,
JIM001,00004568,Invoice,2019-01-02,2019-01,19.3,BANGKOK WOK,LPG,LPG,2.0,608.7,91.31,700.01,,False,True,,
JIM001,00004568,Invoice,2019-01-02,2019-01,9.2,BANGKOK WOK,CYL,CYL,2.0,600.0,90.0,690.0,,True,False,,
JIM001,00000616,Crd Note,2019-01-04,2019-01,19.3,SWADISH,LPG,LPG,-2.0,-608.7,-91.31,-700.01,,False,True,,
JIM001,00004578,Invoice,2019-01-04,2019-01,19.3,SWADISH,LPG,LPG,2.0,608.7,91.31,700.01,,False,True,,
JIM001,00004591,Invoice,2019-01-05,2019-01,19.3,JIMMYS KILLER PRAWNS,LPG,LPG,5.0,1521.75,228.26,1750.01,,False,True,,
JIM001,00004592,Invoice,2019-01-05,2019-01,9.2,EMPTY SHORT #4591,CYL,CYL,1.0,300.0,45.0,345.0,,True,False,,
JIM001,00000607,Crd Note,2019-01-09,2019-01,9.2,,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00004610,Invoice,2019-01-09,2019-01,19.3,,LPG,LPG,4.0,1217.4,182.61,1400.01,,False,True,,
JIM001,00004617,Invoice,2019-01-10,2019-01,19.3,SWAADISH,LPG,LPG,2.0,608.7,91.31,700.01,,False,True,,
JIM001,00004620,Invoice,2019-01-10,2019-01,9.2,SHORT #4617,CYL,CYL,1.0,300.0,45.0,345.0,,True,False,,
JIM001,00000613,Crd Note,2019-01-12,2019-01,9.2,XFER TO SWADISH,CYL,CYL,-2.0,-600.0,-90.0,-690.0,,True,False,,
JIM001,00000617,Crd Note,2019-01-12,2019-01,9.2,SHORT #4617,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00004626,Invoice,2019-01-12,2019-01,19.3,JIMMYS KILLER PRAWNS,LPG,LPG,3.0,913.04,136.96,1050.0001,,False,True,,
JIM001,00004646,Invoice,2019-01-15,2019-01,19.3,,LPG,LPG,4.0,1217.4,182.61,1400.01,,False,True,,
JIM001,00000620,Crd Note,2019-01-16,2019-01,LPG-03,GAS RETURNED IN CYL,LPG,LPG,-42.0,-646.38,-96.96,-743.34,,False,True,,
