payment_doc,payment_date,batch_ref,payment_amount,residual,candidate_invoice,candidate_amount,candidate_delta_days
00004832,2018-12-18,EASYREC,3750.0,3750.0,—,0.0,-1
00004839,2018-12-29,EASYREC,4250.0,4250.0,00004542,4250.0,7
00004807,2019-01-05,T3000210,700.01,700.01,00004562,700.01,3
00004898,2019-01-09,EASYREC,8500.0,8500.0,—,0.0,-1
00004841,2019-01-10,T3000214,700.01,700.01,00004562,700.01,8
00004904,2019-01-21,EASYREC,7000.0,443.32,00004791,442.11,-26
00005043,2019-02-07,EASYREC,4870.0,4870.0,—,0.0,-1
00005047,2019-02-19,EASYREC,6827.39,6827.39,—,0.0,-1
00005226,2019-07-08,STAT 161,3000.0,3000.0,—,0.0,-1
00006381,2019-12-24,STAT170,930.0,930.0,—,0.0,-1
00007216,2020-06-04,JUNE1,3250.0,3250.0,—,0.0,-1
00007226,2020-06-29,JUNE1,5000.0,5000.0,—,0.0,-1
00007348,2020-08-04,STAT178,3000.0,3000.0,—,0.0,-1
00007489,2020-09-04,STAT179,5000.0,5000.0,—,0.0,-1
00007572,2020-11-05,STAT181,5125.0,5125.0,—,0.0,-1
00012719,2022-01-31,STAT196,17018.3,239.48,00009692,190.0,173
00016648,2022-10-20,STAT204,15885.27,547.77,00014521,538.27,98
00017578,2022-12-19,STAT206,17989.92,2767.68,00015189,2738.84,122
00027468,2023-12-29,STAT: 98,24801.28,13528.54,—,0.0,-1
00028893,2024-02-20,STAT:100,14208.48,2583.36,00026892,2583.36,89
00030269,2024-04-24,STAT:102,16151.04,2622.5,00026892,2583.36,153
00032896,2024-08-23,STAT:106,17634.86,3772.33,—,0.0,-1
00033810,2024-09-30,STAT:107,20232.18,7597.32,—,0.0,-1
00034425,2024-10-28,STAT:108,20443.0,5210.82,—,0.0,-1
00036139,2025-01-17,STAT:111,22336.89,6893.89,—,0.0,-1
00036988,2025-02-21,STAT:112,19550.42,4366.24,00039008,4365.63,71
00038846,2025-05-22,STAT:115,7337.97,7337.97,—,0.0,-1
00039812,2025-06-12,STAT:116,20557.69,20557.69,—,0.0,-1
