debtor_code,payment_doc,payment_date,batch_ref,stat_no,amount,source_file,split_count,is_split_payment,notes
JIM001,00004832,2018-12-18,EASYREC,10,-3750.0,DRTX2019.TXT,1,False,
JIM001,00004839,2018-12-29,EASYREC,10,-4250.0,DRTX2019.TXT,1,False,
JIM001,00004807,2019-01-05,T3000210,11,-700.01,DRTX2019.TXT,1,False,
JIM001,00004898,2019-01-09,EASYREC,11,-8500.0,DRTX2019.TXT,7,True,Consolidated from 7 ERP segments
JIM001,00004841,2019-01-10,T3000214,11,-700.01,DRTX2019.TXT,1,False,
JIM001,00004904,2019-01-21,EASYREC,11,-7000.0,DRTX2019.TXT,1,False,
JIM001,00005043,2019-02-07,EASYREC,12,-4870.0,DRTX2019.TXT,1,False,
JIM001,00005047,2019-02-19,EASYREC,12,-6827.39,DRTX2019.TXT,1,False,
JIM001,00005437,2019-04-24,STAT 162,2,-9925.0,DRTX2020.TXT,1,False,
JIM001,00005436,2019-05-06,STAT 163,3,-13505.0,DRTX2020.TXT,1,False,
JIM001,00005618,2019-06-20,STAT 163,4,-8625.0,DRTX2020.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00005804,2019-07-04,STAT165,5,-12750.0,DRTX2020.TXT,11,True,Consolidated from 11 ERP segments
JIM001,00005226,2019-07-08,STAT 161,1,-3000.0,DRTX2020.TXT,1,False,
JIM001,00005876,2019-08-06,STAT166,6,-14429.0,DRTX2020.TXT,47,True,Consolidated from 47 ERP segments
JIM001,00005988,2019-09-04,STAT167,7,-13875.0,DRTX2020.TXT,1,False,
JIM001,00006104,2019-10-21,STAT168,8,-13875.0,DRTX2020.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00006316,2019-12-09,STAT170,10,-10875.0,DRTX2020.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00006381,2019-12-24,STAT170,10,-930.0,DRTX2020.TXT,1,False,
JIM001,00006376,2019-12-27,STAT170,10,-12915.0,DRTX2020.TXT,11,True,Consolidated from 11 ERP segments
JIM001,00006423,2020-01-17,STAT171,11,-12715.0,DRTX2020.TXT,1,False,
JIM001,00006685,2020-03-03,STAT173,1,-15302.8,DRTX2021.TXT,1,False,
JIM001,00007216,2020-06-04,JUNE1,4,-3250.0,DRTX2021.TXT,1,False,
JIM001,00007226,2020-06-29,JUNE1,4,-5000.0,DRTX2021.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00007348,2020-08-04,STAT178,6,-3000.0,DRTX2021.TXT,2,True,Consolidated from 2 ERP segments
JIM001,00007489,2020-09-04,STAT179,7,-5000.0,DRTX2021.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00007572,2020-11-05,STAT181,9,-5125.0,DRTX2021.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00008420,2021-04-09,STAT186,2,-12518.21,DRTX2022.TXT,14,True,Consolidated from 14 ERP segments
JIM001,00008764,2021-05-11,STAT187,3,-9765.76,DRTX2022.TXT,10,True,Consolidated from 10 ERP segments
JIM001,00009315,2021-06-03,STAT188,4,-12222.9,DRTX2022.TXT,12,True,Consolidated from 12 ERP segments
JIM001,00009996,2021-07-01,STAT189,5,-11292.11,DRTX2022.TXT,9,True,Consolidated from 9 ERP segments
JIM001,00010226,2021-08-05,STAT190,6,-9079.94,DRTX2022.TXT,7,True,Consolidated from 7 ERP segments
JIM001,00010584,2021-09-02,STAT191,7,-13012.5,DRTX2022.TXT,10,True,Consolidated from 10 ERP segments
JIM001,00011068,2021-10-07,STAT192,8,-13260.28,DRTX2022.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00011558,2021-11-04,STAT193,9,-12929.71,DRTX2022.TXT,7,True,Consolidated from 7 ERP segments
JIM001,00012146,2021-12-20,STAT194,10,-12160.3,DRTX2022.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00012719,2022-01-31,STAT196,12,-17018.3,DRTX2022.TXT,7,True,Consolidated from 7 ERP segments
