"ACCOUNT:","JIM001 - JIMMY'S / INVESCO"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","122884.84"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","122884.84"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","60183.98","60183.98"
"2","03","00044686","Payment","16/05/2022","","TRANSF | STAT199","","JIMMY'S / INVESCO","-47.91","60136.07"
"3","03","00044686","Payment","16/05/2022","00008510","TRANSF | STAT199","","JIMMY'S / INVESCO","-1080.44","59055.63"
"4","03","00044686","Payment","16/05/2022","00008607","TRANSF | STAT199","","JIMMY'S / INVESCO","-1440.58","57615.05"
"5","03","00044686","Payment","16/05/2022","00008629","TRANSF | STAT199","","JIMMY'S / INVESCO","-1080.44","56534.61"
"6","03","00044686","Payment","16/05/2022","00008692","TRANSF | STAT199","","JIMMY'S / INVESCO","-1800.73","54733.88"
"7","03","00044686","Payment","16/05/2022","00008730","TRANSF | STAT199","","JIMMY'S / INVESCO","-1080.44","53653.44"
"8","03","00044686","Payment","16/05/2022","00008805","TRANSF | STAT199","","JIMMY'S / INVESCO","-1969.98","51683.46"
"9","03","00044686","Payment","16/05/2022","00008809","TRANSF | STAT199","","JIMMY'S / INVESCO","-170.00","51513.46"
"10","03","00044686","Payment","16/05/2022","00008864","TRANSF | STAT199","","JIMMY'S / INVESCO","-1347.11","50166.35"
"11","03","00044686","Payment","16/05/2022","00008897","TRANSF | STAT199","","JIMMY'S / INVESCO","-1683.89","48482.46"
"12","03","00044686","Payment","16/05/2022","00008953","TRANSF | STAT199","","JIMMY'S / INVESCO","-1799.98","46682.48"
"13","03","00044686","Payment","16/05/2022","00008972","TRANSF | STAT199","","JIMMY'S / INVESCO","-1439.98","45242.50"
"14","02","00012314","Crd Note","03/05/2024","00042406","EMPTIES PRICE FIX","","JIMMY'S / INVESCO","-1380.00","43862.50"
"15","02","00042406","Invoice","03/05/2024","00042406","EMPTIES PRICE FIX","","JIMMY'S / INVESCO","2392.00","46254.50"
"16","02","00012313","Crd Note","04/07/2024","00033830","INTEREST- JUNE 2024","","JIMMY'S / INVESCO","-1051.83","45202.67"
"17","01","00012003","Crd Note","05/03/2025","00041217","DN#10507-EMPTY","","JIMMY'S / INVESCO","-2415.00","42787.67"
