"ACCOUNT:","LIN001 - SLINDOKUHLE ENTERPRISES (PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","81960.94"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","81960.94"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","182190.52","182190.52"
"2","03","00012464","Crd Note","10/12/2024","00038960","DN#10747- 09/12/2024","","SLINDOKUHLE ENTERPRISES (PTY)","-19665.00","162525.52"
"3","01","00037388","Payment","01/03/2025","00040512","TRANSF | PC-76-18","","SLINDOKUHLE ENTERPRISES (PTY)","-3536.75","158988.77"
"4","01","00037388","Payment","01/03/2025","00040738","TRANSF | PC-76-18","","SLINDOKUHLE ENTERPRISES (PTY)","-47371.25","111617.52"
"5","01","00041137","Invoice","03/03/2025","00041137","DN#10503","00010642","SLINDOKUHLE ENTERPRISES (PTY)","142652.44","254269.96"
"6","01","00011989","Crd Note","04/03/2025","00041137","DN#10503","","SLINDOKUHLE ENTERPRISES (PTY)","-104707.50","149562.46"
"7","01","00038593","Payment","06/03/2025","00040738","TRANSF | PC-76-18","","SLINDOKUHLE ENTERPRISES (PTY)","-108000.00","41562.46"
"8","01","00038594","Payment","06/03/2025","00040738","TRANSF | PC-76-18","","SLINDOKUHLE ENTERPRISES (PTY)","-3617.52","37944.94"
"9","01","00038594","Payment","06/03/2025","00041137","TRANSF | PC-76-18","","SLINDOKUHLE ENTERPRISES (PTY)","-34326.48","3618.46"
"10","01","00041343","Invoice","09/03/2025","00041343","DN#10518","00010702","SLINDOKUHLE ENTERPRISES (PTY)","301502.49","305120.95"
"11","01","00012034","Crd Note","11/03/2025","00041343","DN#10518","","SLINDOKUHLE ENTERPRISES (PTY)","-141583.88","163537.07"
"12","01","00037768","Payment","29/03/2025","00041137","TRANSF | STAT 112","","SLINDOKUHLE ENTERPRISES (PTY)","-3618.46","159918.61"
"13","01","00037768","Payment","29/03/2025","00041343","TRANSF | STAT 112","","SLINDOKUHLE ENTERPRISES (PTY)","-25677.86","134240.75"
"14","01","00037768","Payment","29/03/2025","00041863","TRANSF | STAT 112","","SLINDOKUHLE ENTERPRISES (PTY)","-30621.68","103619.07"
"15","01","00041863","Invoice","29/03/2025","00041863","DN#10537","00010888","SLINDOKUHLE ENTERPRISES (PTY)","138779.18","242398.25"
"16","01","00038596","Payment","30/03/2025","00041343","TRANSF | PC-76-18","","SLINDOKUHLE ENTERPRISES (PTY)","-50000.00","192398.25"
"17","01","00012160","Crd Note","01/04/2025","00041863","DN#10537","","SLINDOKUHLE ENTERPRISES (PTY)","-108157.50","84240.75"
"18","02","00012180","Crd Note","02/04/2025","00041343","DN#10518","","SLINDOKUHLE ENTERPRISES (PTY)","-1207.50","83033.25"
"19","02","00038043","Payment","03/04/2025","00041343","TRANSF | STAT 113","","SLINDOKUHLE ENTERPRISES (PTY)","-30626.00","52407.25"
"20","02","00038044","Payment","03/04/2025","00041343","TRANSF | STAT 113","","SLINDOKUHLE ENTERPRISES (PTY)","-47336.00","5071.25"
"21","02","00012185","Crd Note","04/04/2025","00041981","DN#12995","","SLINDOKUHLE ENTERPRISES (PTY)","-96945.00","-91873.75"
"22","02","00041981","Invoice","04/04/2025","00041981","DN#12995","00010915","SLINDOKUHLE ENTERPRISES (PTY)","146134.76","54261.01"
"23","02","00042224","Invoice","12/04/2025","00042224","DN#13013","00011001","SLINDOKUHLE ENTERPRISES (PTY)","144215.60","198476.61"
"24","02","00012267","Crd Note","14/04/2025","00042224","DN#13013","","SLINDOKUHLE ENTERPRISES (PTY)","-107640.00","90836.61"
"25","02","00038591","Payment","22/04/2025","00041343","TRANSF | PC-76-19","","SLINDOKUHLE ENTERPRISES (PTY)","-5071.25","85765.36"
"26","02","00038591","Payment","22/04/2025","00041981","TRANSF | PC-76-19","","SLINDOKUHLE ENTERPRISES (PTY)","-2213.15","83552.21"
"27","02","00038591","Payment","22/04/2025","00042224","TRANSF | PC-76-19","","SLINDOKUHLE ENTERPRISES (PTY)","-36575.60","46976.61"
"28","02","00038592","Payment","22/04/2025","00041981","TRANSF | PC-76-19","","SLINDOKUHLE ENTERPRISES (PTY)","-46976.61","0.00"
