allocation_id,payment_doc,payment_date,batch_ref,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0001,35876,2025-01-01,STAT:111,19247.39,38480,2024-11-21,LPG,7402.84,7402.84,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0002,35876,2025-01-01,STAT:111,19247.39,38428,2024-11-20,LPG,8883.41,8883.41,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0003,35876,2025-01-01,STAT:111,19247.39,38238,2024-11-12,LPG,2961.14,2961.14,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0004,37143,2025-02-02,STAT:112,15295.33,38757,2024-12-01,LPG,4441.7,4441.7,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0005,37143,2025-02-02,STAT:112,15295.33,38918,2024-12-08,LPG,6176.51,6176.51,0,EXPLICIT_REF,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0006,37143,2025-02-02,STAT:112,15295.33,,,LPG,0,0,44.74,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Material blank-ref slice on ref batch"
AL-0007,37143,2025-02-02,STAT:112,15295.33,39277,2024-12-20,LPG,4632.38,4632.38,0,EXPLICIT_REF,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0008,37144,2025-02-02,STAT:112,4441.7,38939,2024-12-08,LPG,7720.64,0,3552.14,REVIEW_REF_VARIANCE,ERP_LEDGER,Exception,false,true,""
AL-0009,37144,2025-02-02,STAT:112,4441.7,,,LPG,0,0,889.56,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Material blank-ref slice on ref batch"
AL-0010,37262,2025-03-02,STAT:113,4653.98,39784,2025-01-10,LPG,4653.98,4653.98,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0011,37263,2025-03-02,STAT:113,17064.59,39842,2025-01-13,LPG,3102.65,3102.65,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0012,37263,2025-03-02,STAT:113,17064.59,40112,2025-01-22,LPG,4653.98,4653.98,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0013,37263,2025-03-02,STAT:113,17064.59,40016,2025-01-19,LPG,9307.96,9307.96,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0014,37817,2025-03-31,STAT:114,15633.2,40954,2025-02-23,LPG,3126.64,3126.64,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0015,37817,2025-03-31,STAT:114,15633.2,40803,2025-02-17,LPG,3126.64,3126.64,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
