doc_num,doc_type,po_number,doc_date,due_date,batch_entry,amount,balance
11438,CR,38918,10/12/2024,10/12/2024,13592-76,-4830.0,0.0
41409RO,CR,,07/05/2025,07/05/2025,15986-5,-563.5,0.0
41409RP,CR,,07/05/2025,07/05/2025,15986-6,-563.5,0.0
41409RQ,CR,,07/05/2025,07/05/2025,15986-7,-563.5,0.0
41422RO,CR,,07/05/2025,07/05/2025,15986-8,-470.41,0.0
41422RP,CR,,07/05/2025,07/05/2025,15986-9,-470.41,0.0
41422RQ,CR,,07/05/2025,07/05/2025,15986-12,-470.41,0.0
41422RR,CR,,07/05/2025,07/05/2025,15986-11,-470.41,0.0
28934,IN,,24/01/2024,29/02/2024,10892-92,3037.45,0.0
28690,IN,,28/01/2024,29/02/2024,10927-118,386.3,0.0
28903,IN,,28/01/2024,29/02/2024,10927-159,4556.17,0.0
28449,IN,,31/01/2024,29/02/2024,10945-49,4556.17,0.0
28936,IN,,31/01/2024,29/02/2024,10945-48,9112.35,0.0
29515,IN,,11/02/2024,31/03/2024,11038-3,4609.48,0.0
29893,IN,,29/02/2024,31/03/2024,11207-44,6143.99,0.0
29959,IN,,29/02/2024,31/03/2024,11207-43,4603.89,0.0
30754,IN,,27/03/2024,30/04/2024,11417-111,3103.83,0.0
30219,IN,,31/03/2024,30/04/2024,11455-162,3103.83,0.0
30626,IN,,31/03/2024,30/04/2024,11455-133,4655.74,0.0
30811,IN,,31/03/2024,30/04/2024,11455-163,3103.83,0.0
30920,IN,,05/04/2024,31/05/2024,11530-83,4655.74,0.0
30962,IN,,05/04/2024,31/05/2024,11530-82,9311.48,0.0
31554,IN,,22/04/2024,31/05/2024,11678-56,4632.56,0.0
31733,IN,,29/04/2024,31/05/2024,11699-18,4632.56,0.0
32046,IN,,11/05/2024,30/06/2024,11783-95,3050.93,0.0
31768,IN,,19/05/2024,30/06/2024,11839-64,9265.11,0.0
32206,IN,,22/05/2024,30/06/2024,11875-14,4576.39,0.0
32573,IN,,30/05/2024,30/06/2024,11931-25,4576.39,0.0
32723,IN,,04/06/2024,31/07/2024,12002-198,6101.85,0.0
33045,IN,,14/06/2024,31/07/2024,12095-17,4407.89,0.0
33294,IN,,21/06/2024,31/07/2024,12113-54,5877.19,0.0
33704,IN,,04/07/2024,31/08/2024,12218-167,4407.89,0.0
33991,IN,,09/07/2024,31/08/2024,12272-93,4407.89,0.0
34143,IN,,12/07/2024,31/08/2024,12270-149,4407.89,0.0
34572,IN,,28/07/2024,31/08/2024,12419-65,4407.89,0.0
34570,IN,,31/07/2024,31/08/2024,12383-62,8815.79,0.0
35072,IN,,12/08/2024,30/09/2024,12534-64,704.04,0.0
35191,IN,,21/08/2024,30/09/2024,12628-17,4407.89,0.0
35667,IN,,28/08/2024,30/09/2024,12677-81,4407.89,0.0
35707,IN,,28/08/2024,30/09/2024,12678-85,1469.3,0.0
35709,IN,,28/08/2024,30/09/2024,12675-123,2938.6,0.0
36331,IN,,17/09/2024,31/10/2024,12828-279,4369.01,0.0
35883,IN,,08/10/2024,30/11/2024,12977-20,7346.49,0.0
37005,IN,,08/10/2024,30/11/2024,13022-162,8760.18,0.0
37074,IN,,08/10/2024,30/11/2024,13022-163,7328.32,0.0
37084,IN,,08/10/2024,30/11/2024,13022-164,1465.66,0.0
37052,IN,,17/10/2024,30/11/2024,13078-42,2931.33,0.0
37445,IN,,29/10/2024,30/11/2024,13183-45,5862.65,0.0
38238,IN,,25/11/2024,31/12/2024,13486-277,2961.14,0.0
38428,IN,,25/11/2024,31/12/2024,13424-97,8883.41,0.0
38480,IN,,25/11/2024,31/12/2024,13424-98,7402.84,0.0
38918,IN,,10/12/2024,31/01/2025,13592-75,11006.51,0.0
39277,IN,,10/12/2024,31/01/2025,13592-406,8254.88,0.0
38757,IN,,17/12/2024,31/01/2025,13608-11,4441.7,0.0
11438,IN,,31/12/2024,31/01/2025,13932-35,863.94,0.0
39842,IN,,07/01/2025,28/02/2025,13971-9,3102.65,0.0
40016,IN,,07/01/2025,28/02/2025,13971-48,9307.96,0.0
40112,IN,,07/01/2025,28/02/2025,13971-49,4653.98,0.0
39784,IN,,21/01/2025,28/02/2025,14261-71,4653.98,0.0
40954,IN,,15/02/2025,31/03/2025,14811-189,3126.64,0.0
41010,IN,,15/02/2025,31/03/2025,14811-183,4689.96,0.0
40661,IN,,17/02/2025,31/03/2025,14710-109,4689.96,0.0
40803,IN,,25/02/2025,31/03/2025,14811-55,3126.64,0.0
41324,IN,,10/03/2025,30/04/2025,15045-3,4689.96,0.0
