line,period,doc_no,entry_type,date,ref_no,stat,amount,balance,is_cyl
2,08,44785,Bank UD,2023-10-02,TRANSF | STAT: 96,96,12838.37,65445.89,False
3,08,44785,Payment,2023-10-02,TRANSF | STAT: 96,96,-12838.37,52607.52,False
4,01,37143,Payment,2025-02-03,TRANSF | STAT:112,112,-15295.33,37312.19,False
5,01,37144,Payment,2025-02-03,TRANSF | STAT:112,112,-4441.7,32870.49,False
6,01,37262,Payment,2025-03-03,TRANSF | STAT:113,113,-4653.98,28216.51,False
7,01,37263,Payment,2025-03-03,TRANSF | STAT:113,113,-17064.59,11151.92,False
8,01,12030,Crd Note,2025-03-08,DN#11738-EMPTY VICT,,-3622.5,7529.42,True
9,01,41324,Invoice,2025-03-08,DN#11738 - 245472,,4689.96,12219.38,False
10,01,41325,Invoice,2025-03-08,DN#11738-EMPTY VICT,,3622.5,15841.88,True
11,02,42011,Invoice,2025-04-04,DN#12997,,4689.96,20531.84,False
12,02,42012,Invoice,2025-04-04,DN#12997-EMPTY,,3622.5,24154.34,True
13,02,42092,Invoice,2025-04-04,DN#12997-250758 VICT,,3808.83,27963.17,False
14,02,12200,Crd Note,2025-04-05,DN#12997-EMPTY,,-3622.5,24340.67,True
15,02,12211,Crd Note,2025-04-07,DN#10544-EMPTY,,-2415.0,21925.67,True
16,02,12220,Crd Note,2025-04-07,DN#12997,,-4689.96,17235.71,False
17,02,37817,Payment,2025-04-07,TRANSF | STAT:114,114,-15633.2,1602.51,False
18,02,42046,Invoice,2025-04-07,DN#10544,,2539.22,4141.73,False
19,02,42047,Invoice,2025-04-07,DN#10544-EMPTY,,2415.0,6556.73,True
20,02,12278,Crd Note,2025-04-15,DN#13067-EMPTY,,-3622.5,2934.23,True
21,02,42279,Invoice,2025-04-15,DN#13067- 245210,,3808.83,6743.06,False
22,02,42280,Invoice,2025-04-15,DN#13067-EMPTY,,3622.5,10365.56,True
23,02,12285,Crd Note,2025-04-16,DN#13017-EMPTY,,-9660.0,705.56,True
24,02,42318,Invoice,2025-04-16,DN#13017 ROSE-24984,,10156.89,10862.45,False
25,02,42319,Invoice,2025-04-16,DN#13017-EMPTY,,9660.0,20522.45,True
26,02,42676,Invoice,2025-04-30,256821- DN13179,,3808.83,24331.28,False
27,02,42677,Invoice,2025-04-30,DN#13179-EMPTY,,3622.5,27953.78,True
28,02,12386,Crd Note,2025-05-02,DN#13179-EMPTY,,-3622.5,24331.28,True
29,02,38372,Payment,2025-05-02,TRANSF | STAT:115,115,-4689.96,19641.32,False
30,03,12482,Crd Note,2025-05-14,DN#13141-EMPTY,,-3622.5,16018.82,True
31,03,43062,Invoice,2025-05-14,DN#13141,,3808.83,19827.65,False
32,03,43063,Invoice,2025-05-14,DN#13141-EMPTY,,3622.5,23450.15,True
33,03,12548,Crd Note,2025-05-23,DN#12111- ROSE 24986,,-2577.63,20872.52,False
34,03,12549,Crd Note,2025-05-23,DN#12111- ROSEDALE,,-2415.0,18457.52,False
35,03,43289,Invoice,2025-05-23,DN#12111- ROSEDALE,,2415.0,20872.52,False
36,03,43290,Invoice,2025-05-23,DN#12111- ROSE 24986,,2577.63,23450.15,False
37,03,43319,Invoice,2025-05-24,DN#12111-ROSE,,2577.63,26027.78,False
38,03,12574,Crd Note,2025-05-27,DN#12119-EMPTY,,-3622.5,22405.28,True
39,03,43377,Invoice,2025-05-27,DN#12119-VICTORIA,,3866.45,26271.73,False
40,03,43378,Invoice,2025-05-27,DN#12119-EMPTY,,3622.5,29894.23,True
41,03,43387,Invoice,2025-05-27,DN#12268- MKONDENI,,2577.63,32471.86,False
42,03,39145,Payment,2025-06-02,TRANSF | STAT:116,116,-24122.6,8349.26,False
43,03,43636,Invoice,2025-06-05,ROSEDALE- DN#12297,,2016.8,10366.06,False
44,03,12664,Crd Note,2025-06-09,DN#12361-EMPTY,,-3622.5,6743.56,True
45,03,43721,Invoice,2025-06-09,DN#12361,,3866.45,10610.01,False
46,03,43722,Invoice,2025-06-09,DN#12361-EMPTY,,3622.5,14232.51,True
47,04,12714,Crd Note,2025-06-12,DN#12385-EMPTY,,-7245.0,6987.51,True
48,04,43878,Invoice,2025-06-12,DN#12385,,7511.13,14498.64,False
49,04,43879,Invoice,2025-06-12,DN#12385-EMPTY,,7245.0,21743.64,True
