"ACCOUNT:","MD0003 - BMS FOODS (PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","18853.36"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","26743.71"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2018 MARCH"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","7176.39","7176.39"
"2","01","00000522","Invoice","08/03/2017","00000522","","","BMS FOODS (PTY) LTD","2376.80","9553.19"
"3","01","00000570","Invoice","16/03/2017","00000570","","","BMS FOODS (PTY) LTD","2376.80","11929.99"
"4","01","00000593","Invoice","24/03/2017","00000593","","","BMS FOODS (PTY) LTD","2376.80","14306.79"
"5","01","00000629","Invoice","31/03/2017","00000629","","","BMS FOODS (PTY) LTD","2376.80","16683.59"
"6","02","00000865","Payment","03/04/2017","00000412","TRANSF | BRR2804","","BMS FOODS (PTY) LTD","-2399.81","14283.78"
"7","02","00000865","Payment","03/04/2017","00000464","TRANSF | BRR2804","","BMS FOODS (PTY) LTD","-2399.78","11884.00"
"8","02","00000865","Payment","03/04/2017","00000478","TRANSF | BRR2804","","BMS FOODS (PTY) LTD","-2376.80","9507.20"
"9","02","00000662","Invoice","07/04/2017","00000662","","","BMS FOODS (PTY) LTD","2376.80","11884.00"
"10","02","00000724","Invoice","22/04/2017","00000724","","","BMS FOODS (PTY) LTD","2376.80","14260.80"
"11","02","00000760","Invoice","30/04/2017","00000760","","","BMS FOODS (PTY) LTD","2376.80","16637.60"
"12","03","00000763","Invoice","02/05/2017","00000763","SHORT","","BMS FOODS (PTY) LTD","1026.00","17663.60"
"13","03","00001068","Payment","02/05/2017","00000522","TRANSF | BR170617","","BMS FOODS (PTY) LTD","-2376.80","15286.80"
"14","03","00001068","Payment","02/05/2017","00000570","TRANSF | BR170617","","BMS FOODS (PTY) LTD","-2376.80","12910.00"
"15","03","00001068","Payment","02/05/2017","00000593","TRANSF | BR170617","","BMS FOODS (PTY) LTD","-2376.80","10533.20"
"16","03","00001068","Payment","02/05/2017","00000629","TRANSF | BR170617","","BMS FOODS (PTY) LTD","-2376.80","8156.40"
"17","03","00000096","Crd Note","10/05/2017","00000763","RETUNED","","BMS FOODS (PTY) LTD","-1026.00","7130.40"
"18","03","00000806","Invoice","10/05/2017","00000806","","","BMS FOODS (PTY) LTD","2376.80","9507.20"
"19","03","00000879","Invoice","21/05/2017","00000879","","","BMS FOODS (PTY) LTD","2376.80","11884.00"
"20","03","00000937","Invoice","31/05/2017","00000937","","","BMS FOODS (PTY) LTD","2376.80","14260.80"
