"ACCOUNT:","MD0003 - BMS FOODS (PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","18853.36"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","10859.66"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2019 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","26743.71","26743.71"
"2","01","00005854","Payment","01/03/2017","","TRANSF | STAT137","","BMS FOODS (PTY) LTD","-4753.60","21990.11"
"3","01","STAT137","Bank XFer","01/03/2017","","STAT137","","REVERSE","4753.60","26743.71"
"4","03","00000468","Crd Note","16/03/2017","00003139","ERROR","","BMS FOODS (PTY) LTD","-800.00","25943.71"
"5","03","00003139","Invoice","16/03/2017","00003139","MD004 TO MD0003","","BMS FOODS (PTY) LTD","800.00","26743.71"
"6","03","00003142","Invoice","22/06/2017","00003142","FROM MD004 TO MD003","","BMS FOODS (PTY) LTD","1600.00","28343.71"
"7","03","00003140","Invoice","20/10/2017","00003140","MD004 TO MD003","","BMS FOODS (PTY) LTD","830.00","29173.71"
"8","03","00003137","Invoice","07/12/2017","00003137","2094 -MD004 TO MD003","","BMS FOODS (PTY) LTD","1763.99","30937.70"
"9","01","00005894","Payment","03/01/2018","","TRANSF | STAT147","","BMS FOODS (PTY) LTD","-13264.78","17672.92"
"10","01","STAT147","Bank XFer","03/01/2018","","STAT147","","BMS FOODS (PTY) LTD","13264.78","30937.70"
"11","01","00002934","Payment","01/03/2018","00002343","TRANSF | BRR1403","","BMS FOODS (PTY) LTD","-3184.94","27752.76"
"12","01","00002934","Payment","01/03/2018","00002403","TRANSF | BRR1403","","BMS FOODS (PTY) LTD","-2519.96","25232.80"
"13","01","00002934","Payment","01/03/2018","00002410","TRANSF | BRR1403","","BMS FOODS (PTY) LTD","-2519.96","22712.84"
"14","01","00002934","Payment","01/03/2018","00002456","TRANSF | BRR1403","","BMS FOODS (PTY) LTD","-2519.96","20192.88"
"15","01","00002934","Payment","01/03/2018","00002467","TRANSF | BRR1403","","BMS FOODS (PTY) LTD","-2519.96","17672.92"
"16","01","00002761","Invoice","09/03/2018","00002761","","","BMS FOODS (PTY) LTD","2519.96","20192.88"
"17","01","00002824","Invoice","17/03/2018","00002824","","","BMS FOODS (PTY) LTD","1679.97","21872.85"
"18","01","00002877","Invoice","26/03/2018","00002877","","","BMS FOODS (PTY) LTD","3184.94","25057.79"
"19","02","00003199","Payment","03/04/2018","00002525","TRANSF | BRR3004","","BMS FOODS (PTY) LTD","-2852.45","22205.34"
"20","02","00003199","Payment","03/04/2018","00002592","TRANSF | BRR3004","","BMS FOODS (PTY) LTD","-2852.45","19352.89"
"21","02","00003199","Payment","03/04/2018","00002642","TRANSF | BRR3004","","BMS FOODS (PTY) LTD","-2519.96","16832.93"
"22","02","00002952","Invoice","07/04/2018","00002952","","","BMS FOODS (PTY) LTD","2542.06","19374.99"
"23","02","00002983","Invoice","13/04/2018","00002983","","","BMS FOODS (PTY) LTD","2542.06","21917.05"
"24","02","00002988","Invoice","13/04/2018","00002988","","","BMS FOODS (PTY) LTD","176.53","22093.58"
"25","05","00003572","Invoice","13/04/2018","00003572","MD004 - MD003 #2984","","BMS FOODS (PTY) LTD","835.99","22929.57"
"26","02","00003032","Invoice","20/04/2018","00003032","","","BMS FOODS (PTY) LTD","2542.06","25471.63"
