"ACCOUNT:","MD0003 - BLUFF MEAT SUPPLY  (PTY)"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","18853.36"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","14785.70"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2021 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","14719.69","14719.69"
"2","01","00006496","Bank UD","31/01/2020","00006127","TRANSF | STAT172","","BMS FOODS (PTY) LTD","65.45","14785.14"
"3","01","00006496","Bank UD","31/01/2020","00006163","TRANSF | STAT172","","BMS FOODS (PTY) LTD","3074.05","17859.19"
"4","01","00006496","Bank UD","31/01/2020","00006182","TRANSF | STAT172","","BMS FOODS (PTY) LTD","2715.74","20574.93"
"5","01","00006496","Bank UD","31/01/2020","00006202","TRANSF | STAT172","","BMS FOODS (PTY) LTD","3979.30","24554.23"
"6","01","00006496","Bank UD","31/01/2020","00006217","TRANSF | STAT172","","BMS FOODS (PTY) LTD","3074.05","27628.28"
"7","01","00006496","Payment","03/02/2020","00005962","TRANSF | STAT172","","BMS FOODS (PTY) LTD","-65.45","27562.83"
"8","01","00006496","Payment","03/02/2020","00006163","TRANSF | STAT172","","BMS FOODS (PTY) LTD","-3074.05","24488.78"
"9","01","00006496","Payment","03/02/2020","00006182","TRANSF | STAT172","","BMS FOODS (PTY) LTD","-2715.74","21773.04"
"10","01","00006496","Payment","03/02/2020","00006202","TRANSF | STAT172","","BMS FOODS (PTY) LTD","-3979.30","17793.74"
"11","01","00006496","Payment","03/02/2020","00006217","TRANSF | STAT172","","BMS FOODS (PTY) LTD","-3074.05","14719.69"
"12","01","00006684","Payment","02/03/2020","00006262","TRANSF | STAT173","","BLUFF MEAT SUPPLY  (PTY)","-3074.05","11645.64"
"13","01","00006684","Payment","02/03/2020","00006300","TRANSF | STAT173","","BLUFF MEAT SUPPLY  (PTY)","-3432.35","8213.29"
