"ACCOUNT:","MD0003 - BLUFF MEAT SUPPLY(PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","18853.36"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","48432.91"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2024 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","16801.92","16801.92"
"2","01","00008195","Payment","01/03/2021","","TRANSF | STAT185","","BMS FOODS (PTY) LTD","-31.46","16770.46"
"3","01","00008195","Payment","01/03/2021","","TRANSF | STAT185","","BMS FOODS (PTY) LTD","661.71","17432.17"
"4","01","00008195","Payment","01/03/2021","00008288","TRANSF | STAT185","","BMS FOODS (PTY) LTD","-1291.96","16140.21"
"5","01","00008195","Payment","01/03/2021","00011599","TRANSF | STAT185","","BMS FOODS (PTY) LTD","-3820.32","12319.89"
"6","01","00008195","Payment","01/03/2021","00011793","TRANSF | STAT185","","BMS FOODS (PTY) LTD","-3888.01","8431.88"
"7","01","00004607","Crd Note","15/03/2023","00018500","DELIVERY POSTPONED","","BLUFF MEAT SUPPLY(PTY) LTD","-3155.09","5276.79"
"8","01","00018500","Invoice","15/03/2023","00018500","D/N 3828 167199 R","00004343","BLUFF MEAT SUPPLY(PTY) LTD","3155.09","8431.88"
"9","01","00018502","Invoice","15/03/2023","00018502","D/N 3901 162740 V","00004344","BLUFF MEAT SUPPLY(PTY) LTD","4732.64","13164.52"
"10","01","00018504","Invoice","16/03/2023","00018504","D/N 3905 167199 R","00004346","BLUFF MEAT SUPPLY(PTY) LTD","3155.09","16319.61"
"11","01","00018568","Invoice","17/03/2023","00018568","D/N 3609 MKH","00004374","BLUFF MEAT SUPPLY(PTY) LTD","3155.09","19474.70"
"12","01","00018913","Invoice","31/03/2023","00018913","D/N 3952 177746 V","00004538","BLUFF MEAT SUPPLY(PTY) LTD","4731.84","24206.54"
"13","02","00019434","Payment","01/04/2023","00017558","TRANSF | STAT: 90","","BLUFF MEAT SUPPLY(PTY) LTD","-4078.21","20128.33"
"14","02","00019434","Payment","01/04/2023","00017708","TRANSF | STAT: 90","","BLUFF MEAT SUPPLY(PTY) LTD","-4078.21","16050.12"
"15","01","00018993","Invoice","03/04/2023","00018993","D/N 3961 167066 R","00004574","BLUFF MEAT SUPPLY(PTY) LTD","5357.09","21407.21"
"16","02","00004757","Crd Note","20/04/2023","00019497","D/N 4710 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","19613.21"
"17","02","00019492","Invoice","20/04/2023","00019492","D/N 4710 177600","00004824","BLUFF MEAT SUPPLY(PTY) LTD","4617.45","24230.66"
"18","02","00019497","Invoice","20/04/2023","00019497","D/N 4710 EMPTIES","00004827","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","26024.66"
"19","02","00004777","Crd Note","24/04/2023","00019590","D/N 4127 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","24230.66"
"20","02","00019589","Invoice","24/04/2023","00019589","D/N 4127 166912 R","00004890","BLUFF MEAT SUPPLY(PTY) LTD","4894.80","29125.46"
"21","02","00019590","Invoice","24/04/2023","00019590","D/N 4127 EMPTIES","00004892","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","30919.46"
"22","02","00019614","Invoice","24/04/2023","00019614","D/N 4127 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","598.00","31517.46"
"23","03","00020333","Payment","02/05/2023","00018033","TRANSF | STAT: 91","","BLUFF MEAT SUPPLY(PTY) LTD","-4078.21","27439.25"
"24","03","00020333","Payment","02/05/2023","00018502","TRANSF | STAT: 91","","BLUFF MEAT SUPPLY(PTY) LTD","-4732.64","22706.61"
"25","03","00020333","Payment","02/05/2023","00018504","TRANSF | STAT: 91","","BLUFF MEAT SUPPLY(PTY) LTD","-3155.09","19551.52"
"26","03","00020333","Payment","02/05/2023","00018568","TRANSF | STAT: 91","","BLUFF MEAT SUPPLY(PTY) LTD","-3155.09","16396.43"
"27","03","00020333","Payment","02/05/2023","00018913","TRANSF | STAT: 91","","BLUFF MEAT SUPPLY(PTY) LTD","-4731.84","11664.59"
"28","02","00019991","Invoice","06/05/2023","00019991","D/N 4176 177451","00005131","BLUFF MEAT SUPPLY(PTY) LTD","4063.06","15727.65"
"29","03","00004886","Crd Note","09/05/2023","00020093","QUANTITY","","BLUFF MEAT SUPPLY(PTY) LTD","-1608.29","14119.36"
"30","03","00020093","Invoice","09/05/2023","00020093","D/N 4192 177475 V","00005180","BLUFF MEAT SUPPLY(PTY) LTD","1608.29","15727.65"
"31","03","00020095","Invoice","09/05/2023","00020095","D/N 4192 177475 V","00005181","BLUFF MEAT SUPPLY(PTY) LTD","1072.19","16799.84"
"32","03","00004951","Crd Note","16/05/2023","00020286","D/N 4610 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","15005.84"
"33","03","00020270","Invoice","16/05/2023","00020270","D/N 4610 185784 V","00005239","BLUFF MEAT SUPPLY(PTY) LTD","4063.06","19068.90"
"34","03","00020286","Invoice","16/05/2023","00020286","D/N 4610 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","20862.90"
"35","03","00005035","Crd Note","24/05/2023","00020577","D/N 4644 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","19068.90"
"36","03","00020576","Invoice","24/05/2023","00020576","D/N 4644 166972 R","00005344","BLUFF MEAT SUPPLY(PTY) LTD","4063.06","23131.96"
"37","03","00020577","Invoice","24/05/2023","00020577","D/N 4644 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","24925.96"
"38","03","00005051","Crd Note","26/05/2023","00020642","D/N 4784 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1196.00","23729.96"
"39","03","00020635","Invoice","26/05/2023","00020635","D/N 4784 MKH","00005365","BLUFF MEAT SUPPLY(PTY) LTD","2708.71","26438.67"
"40","03","00020642","Invoice","26/05/2023","00020642","D/N 4784 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","1196.00","27634.67"
"41","03","00005073","Crd Note","30/05/2023","00020755","PRICE OFF","","BLUFF MEAT SUPPLY(PTY) LTD","-4111.30","23523.37"
"42","03","00005082","Crd Note","30/05/2023","00020764","D/N 3651 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","21729.37"
"43","03","00020755","Invoice","30/05/2023","00020755","D/N 3651","00005408","BLUFF MEAT SUPPLY(PTY) LTD","4111.30","25840.67"
"44","03","00020756","Invoice","30/05/2023","00020756","D/N 3651 185224 V","00005411","BLUFF MEAT SUPPLY(PTY) LTD","4063.06","29903.73"
"45","03","00020764","Invoice","30/05/2023","00020764","D/N 3651 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","31697.73"
"46","04","00021457","Payment","01/06/2023","00018993","TRANSF | STAT: 92","","BLUFF MEAT SUPPLY(PTY) LTD","-5357.09","26340.64"
"47","04","00021457","Payment","01/06/2023","00019492","TRANSF | STAT: 92","","BLUFF MEAT SUPPLY(PTY) LTD","-4617.45","21723.19"
"48","04","00021457","Payment","01/06/2023","00019589","TRANSF | STAT: 92","","BLUFF MEAT SUPPLY(PTY) LTD","-4894.80","16828.39"
"49","04","00005150","Crd Note","08/06/2023","00021110","D/N 5316 EMPTIES R","","BLUFF MEAT SUPPLY(PTY) LTD","-2392.00","14436.39"
"50","04","00021097","Invoice","08/06/2023","00021097","D/N 5316","00005539","BLUFF MEAT SUPPLY(PTY) LTD","5253.56","19689.95"
"51","04","00021110","Invoice","08/06/2023","00021110","D/N 5316 EMPTIES R","","BLUFF MEAT SUPPLY(PTY) LTD","2990.00","22679.95"
"52","04","00005241","Crd Note","15/06/2023","00021354","D/N 4699 EMPTIES V","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","20885.95"
"53","04","00021353","Invoice","15/06/2023","00021353","D/N 4699 190065 V","00005634","BLUFF MEAT SUPPLY(PTY) LTD","4111.30","24997.25"
"54","04","00021354","Invoice","15/06/2023","00021354","D/N 4699 EMPTIES V","","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","26791.25"
"55","04","00005368","Crd Note","29/06/2023","00021835","D/N 4836 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","24997.25"
"56","04","00021793","Invoice","29/06/2023","00021793","D/N 4836 185564 V","00005774","BLUFF MEAT SUPPLY(PTY) LTD","4156.66","29153.91"
"57","04","00021835","Invoice","29/06/2023","00021835","D/N 4836 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","30947.91"
"58","05","00022175","Payment","01/07/2023","00019991","TRANSF | STAT: 93","","BLUFF MEAT SUPPLY(PTY) LTD","-4063.06","26884.85"
"59","05","00022175","Payment","01/07/2023","00020095","TRANSF | STAT: 93","","BLUFF MEAT SUPPLY(PTY) LTD","-1072.19","25812.66"
"60","05","00022175","Payment","01/07/2023","00020270","TRANSF | STAT: 93","","BLUFF MEAT SUPPLY(PTY) LTD","-4063.06","21749.60"
"61","05","00022175","Payment","01/07/2023","00020576","TRANSF | STAT: 93","","BLUFF MEAT SUPPLY(PTY) LTD","-4063.06","17686.54"
"62","05","00022175","Payment","01/07/2023","00020635","TRANSF | STAT: 93","","BLUFF MEAT SUPPLY(PTY) LTD","-2708.71","14977.83"
"63","05","00022175","Payment","01/07/2023","00020756","TRANSF | STAT: 93","","BLUFF MEAT SUPPLY(PTY) LTD","-4063.06","10914.77"
"64","04","00005429","Crd Note","05/07/2023","00022004","D/N 4861 EMPTIES R","","BLUFF MEAT SUPPLY(PTY) LTD","-2392.00","8522.77"
"65","04","00022003","Invoice","05/07/2023","00022003","D/N 4861 191149 R","00005835","BLUFF MEAT SUPPLY(PTY) LTD","6927.77","15450.54"
"66","04","00022004","Invoice","05/07/2023","00022004","D/N 4861 EMPTIES R","","BLUFF MEAT SUPPLY(PTY) LTD","2990.00","18440.54"
"67","05","00005564","Crd Note","18/07/2023","00022478","D/N 5508 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","-1794.00","16646.54"
"68","05","00022473","Invoice","18/07/2023","00022473","D/N 5508","00005975","BLUFF MEAT SUPPLY(PTY) LTD","3788.64","20435.18"
"69","05","00022478","Invoice","18/07/2023","00022478","D/N 5508 EMPTIES","","BLUFF MEAT SUPPLY(PTY) LTD","1794.00","22229.18"
"70","05","00005675","Crd Note","26/07/2023","00022779","D/N 5839 EMPTIES R","","BLUFF MEAT SUPPLY(PTY) LTD","-2392.00","19837.18"
