"ACCOUNT:","MD0003 - BLUFF MEAT SUPPLY(PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","18853.36"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","52607.52"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2025 MARCH"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","48432.91","48432.91"
"2","08","00025004","Payment","02/10/2023","00023449","TRANSF | STAT: 96","","BLUFF MEAT SUPPLY(PTY) LTD","-3587.05","44845.86"
"3","08","00025004","Payment","02/10/2023","00023931","TRANSF | STAT: 96","","BLUFF MEAT SUPPLY(PTY) LTD","-3752.65","41093.21"
"4","08","00025004","Payment","02/10/2023","00023960","TRANSF | STAT: 96","","BLUFF MEAT SUPPLY(PTY) LTD","-5498.67","35594.54"
"5","01","00029259","Payment","01/03/2024","00028449","TRANSF | STAT:101","","BLUFF MEAT SUPPLY(PTY) LTD","-4556.17","31038.37"
"6","01","00029259","Payment","01/03/2024","00028690","TRANSF | STAT:101","","BLUFF MEAT SUPPLY(PTY) LTD","-386.30","30652.07"
"7","01","00029259","Payment","01/03/2024","00028903","TRANSF | STAT:101","","BLUFF MEAT SUPPLY(PTY) LTD","-4556.17","26095.90"
"8","01","00029259","Payment","01/03/2024","00028934","TRANSF | STAT:101","","BLUFF MEAT SUPPLY(PTY) LTD","-3037.45","23058.45"
"9","01","00029259","Payment","01/03/2024","00028936","TRANSF | STAT:101","","BLUFF MEAT SUPPLY(PTY) LTD","-9112.35","13946.10"
"10","01","00030219","Invoice","08/03/2024","00030219","DN8015","00007840","BLUFF MEAT SUPPLY(PTY) LTD","3103.83","17049.93"
"11","01","00030626","Invoice","22/03/2024","00030626","219759 - DN#3800","00007998","BLUFF MEAT SUPPLY(PTY) LTD","4655.74","21705.67"
"12","01","00030811","Invoice","27/03/2024","00030811","DN#8853 SO#8035","","BLUFF MEAT SUPPLY(PTY) LTD","3103.83","24809.50"
"13","02","00030014","Payment","02/04/2024","00029515","TRANSF | STAT:102","","BLUFF MEAT SUPPLY(PTY) LTD","-4609.48","20200.02"
"14","02","00030014","Payment","02/04/2024","00029893","TRANSF | STAT:102","","BLUFF MEAT SUPPLY(PTY) LTD","-6143.99","14056.03"
"15","02","00030014","Payment","02/04/2024","00029959","TRANSF | STAT:102","","BLUFF MEAT SUPPLY(PTY) LTD","-4603.89","9452.14"
"16","01","00030920","Invoice","03/04/2024","00030920","224430 - DN#8095","00008092","BLUFF MEAT SUPPLY(PTY) LTD","4655.74","14107.88"
"17","01","00030962","Invoice","04/04/2024","00030962","215516 - DN# 8098","00008102","BLUFF MEAT SUPPLY(PTY) LTD","9311.48","23419.36"
"18","01","00031554","Invoice","24/04/2024","00031554","224590-    DN#8817","00008272","BLUFF MEAT SUPPLY(PTY) LTD","4632.56","28051.92"
"19","01","00031733","Invoice","30/04/2024","00031733","224639 DN#8836","00008315","BLUFF MEAT SUPPLY(PTY) LTD","4632.56","32684.48"
"20","03","00030410","Payment","02/05/2024","00012187","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-345.00","32339.48"
"21","03","00030410","Payment","02/05/2024","00017143","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-1196.00","31143.48"
"22","03","00030410","Payment","02/05/2024","00021110","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-598.00","30545.48"
"23","03","00030410","Payment","02/05/2024","00024010","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-335.09","30210.39"
"24","03","00030410","Payment","02/05/2024","00030219","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-3103.83","27106.56"
"25","03","00030410","Payment","02/05/2024","00030626","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-4655.74","22450.82"
"26","03","00030410","Payment","02/05/2024","00030811","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-3103.83","19346.99"
"27","03","00030410","Payment","02/05/2024","00048372","TRANSF | STAT:103","","BLUFF MEAT SUPPLY(PTY) LTD","-629.74","18717.25"
"28","02","00031768","Invoice","02/05/2024","00031768","215528 DN#8838","","BLUFF MEAT SUPPLY(PTY) LTD","9265.11","27982.36"
"29","02","00032046","Invoice","10/05/2024","00032046","225222- DN#8909 -M","","BLUFF MEAT SUPPLY(PTY) LTD","3050.93","31033.29"
"30","02","00032206","Invoice","16/05/2024","00032206","DN#8914  - 224845","","BLUFF MEAT SUPPLY(PTY) LTD","4576.39","35609.68"
"31","02","00032573","Invoice","30/05/2024","00032573","D/N8501","00008465","BLUFF MEAT SUPPLY(PTY) LTD","4576.39","40186.07"
"32","04","00031375","Payment","01/06/2024","00030920","TRANSF | STAT:104","","BLUFF MEAT SUPPLY(PTY) LTD","-4655.74","35530.33"
"33","04","00031375","Payment","01/06/2024","00030962","TRANSF | STAT:104","","BLUFF MEAT SUPPLY(PTY) LTD","-9311.48","26218.85"
"34","04","00031375","Payment","01/06/2024","00031554","TRANSF | STAT:104","","BLUFF MEAT SUPPLY(PTY) LTD","-4632.56","21586.29"
"35","04","00031375","Payment","01/06/2024","00031733","TRANSF | STAT:104","","BLUFF MEAT SUPPLY(PTY) LTD","-4632.56","16953.73"
"36","02","00032723","Invoice","04/06/2024","00032723","215438 - DN#8522","","BLUFF MEAT SUPPLY(PTY) LTD","6101.85","23055.58"
"37","02","00008808","Crd Note","13/06/2024","00033045","DN#9070 - 228736","","BLUFF MEAT SUPPLY(PTY) LTD","-4407.89","18647.69"
"38","02","00033045","Invoice","13/06/2024","00033045","DN#9070 - 228736","","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","23055.58"
"39","02","00033294","Invoice","20/06/2024","00033294","DN#9973 - 215443","","BLUFF MEAT SUPPLY(PTY) LTD","5877.19","28932.77"
"40","07","00031842","Payment","01/07/2024","00031768","TRANSF | STAT:105","","BLUFF MEAT SUPPLY(PTY) LTD","-9265.11","19667.66"
"41","07","00031842","Payment","01/07/2024","00032046","TRANSF | STAT:105","","BLUFF MEAT SUPPLY(PTY) LTD","-3050.93","16616.73"
"42","07","00031842","Payment","01/07/2024","00032206","TRANSF | STAT:105","","BLUFF MEAT SUPPLY(PTY) LTD","-4576.39","12040.34"
"43","07","00031842","Payment","01/07/2024","00032573","TRANSF | STAT:105","","BLUFF MEAT SUPPLY(PTY) LTD","-4576.39","7463.95"
"44","04","00033704","Invoice","01/07/2024","00033704","225357- DN#10020","","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","11871.84"
"45","04","00033991","Invoice","09/07/2024","00033991","225266 D/N 9673","00008716","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","16279.73"
"46","04","00034143","Invoice","12/07/2024","00034143","232111- DN#9803","","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","20687.62"
"47","04","00034570","Invoice","25/07/2024","00034570","215455- DN#9618","","BLUFF MEAT SUPPLY(PTY) LTD","8815.79","29503.41"
"48","04","00034572","Invoice","25/07/2024","00034572","232148- DN#9619","","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","33911.30"
"49","08","00032604","Payment","01/08/2024","00032723","TRANSF | STAT:106","","BLUFF MEAT SUPPLY(PTY) LTD","-6101.85","27809.45"
"50","08","00032604","Payment","01/08/2024","00033294","TRANSF | STAT:106","","BLUFF MEAT SUPPLY(PTY) LTD","-5877.19","21932.26"
"51","08","00032604","Payment","01/08/2024","00033704","TRANSF | STAT:106","","BLUFF MEAT SUPPLY(PTY) LTD","-4407.89","17524.37"
"52","06","00035072","Invoice","07/08/2024","00035072","DN#9389/ 215549 ROSE","","BLUFF MEAT SUPPLY(PTY) LTD","704.04","18228.41"
"53","06","00035191","Invoice","12/08/2024","00035191","VICTORIA- DN#11380","00008981","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","22636.30"
"54","06","00035667","Invoice","28/08/2024","00035667","DN#10907-VICTORIA","","BLUFF MEAT SUPPLY(PTY) LTD","4407.89","27044.19"
"55","06","00035707","Invoice","29/08/2024","00035707","DN#11426","","BLUFF MEAT SUPPLY(PTY) LTD","1469.30","28513.49"
"56","06","00035709","Invoice","29/08/2024","00035709","DN#11427- MKONDENI","","BLUFF MEAT SUPPLY(PTY) LTD","2938.60","31452.09"
"57","07","00033247","Payment","02/09/2024","","TRANSF | STAT:107","","BLUFF MEAT SUPPLY(PTY) LTD","-3546.98","27905.11"
"58","07","00033247","Payment","02/09/2024","00024010","TRANSF | STAT:107","","BLUFF MEAT SUPPLY(PTY) LTD","-860.91","27044.20"
