"ACCOUNT:","MD0003 - BLUFF MEAT SUPPLY(PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","18853.36"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","18853.36"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","52607.52","52607.52"
"2","08","00044785","Bank UD","02/10/2023","","TRANSF | STAT: 96","","FNB OB PMT BMS FOODS CRS (PTY)","12838.37","65445.89"
"3","08","00044785","Payment","02/10/2023","","TRANSF | STAT: 96","","BLUFF MEAT SUPPLY(PTY) LTD","-12838.37","52607.52"
"4","01","00037143","Payment","03/02/2025","","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-44.74","52562.78"
"5","01","00037143","Payment","03/02/2025","00038757","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-4441.70","48121.08"
"6","01","00037143","Payment","03/02/2025","00038918","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-1310.25","46810.83"
"7","01","00037143","Payment","03/02/2025","00038918","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-4866.26","41944.57"
"8","01","00037143","Payment","03/02/2025","00039277","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-4632.38","37312.19"
"9","01","00037144","Payment","03/02/2025","","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-889.56","36422.63"
"10","01","00037144","Payment","03/02/2025","00038939","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-879.70","35542.93"
"11","01","00037144","Payment","03/02/2025","00038939","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-2672.44","32870.49"
"12","01","00037262","Payment","03/03/2025","00039784","TRANSF | STAT:113","","BLUFF MEAT SUPPLY(PTY) LTD","-4653.98","28216.51"
"13","01","00037263","Payment","03/03/2025","00039842","TRANSF | STAT:113","","BLUFF MEAT SUPPLY(PTY) LTD","-3102.65","25113.86"
"14","01","00037263","Payment","03/03/2025","00040016","TRANSF | STAT:113","","BLUFF MEAT SUPPLY(PTY) LTD","-9307.96","15805.90"
"15","01","00037263","Payment","03/03/2025","00040112","TRANSF | STAT:113","","BLUFF MEAT SUPPLY(PTY) LTD","-4653.98","11151.92"
"16","01","00012030","Crd Note","08/03/2025","00041325","DN#11738-EMPTY VICT","","BLUFF MEAT SUPPLY(PTY) LTD","-3622.50","7529.42"
"17","01","00041324","Invoice","08/03/2025","00041324","DN#11738 - 245472","00010693","BLUFF MEAT SUPPLY(PTY) LTD","4689.96","12219.38"
"18","01","00041325","Invoice","08/03/2025","00041325","DN#11738-EMPTY VICT","","BLUFF MEAT SUPPLY(PTY) LTD","3622.50","15841.88"
"19","02","00042011","Invoice","04/04/2025","00042011","DN#12997","00010931","BLUFF MEAT SUPPLY(PTY) LTD","4689.96","20531.84"
"20","02","00042012","Invoice","04/04/2025","00042012","DN#12997-EMPTY","","BLUFF MEAT SUPPLY(PTY) LTD","3622.50","24154.34"
