"ACCOUNT:","MD0003 - BLUFF MEAT SUPPLY(PTY) LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","16371.56"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","52607.52","52607.52"
"2","08","00044785","Bank UD","02/10/2023","","TRANSF | STAT: 96","","FNB OB PMT BMS FOODS CRS (PTY)","12838.37","65445.89"
"3","08","00044785","Payment","02/10/2023","","TRANSF | STAT: 96","","BLUFF MEAT SUPPLY(PTY) LTD","-12838.37","52607.52"
"4","01","00037143","Payment","03/02/2025","","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-15295.33","37312.19"
"5","01","00037144","Payment","03/02/2025","","TRANSF | STAT:112","","BLUFF MEAT SUPPLY(PTY) LTD","-4441.70","32870.49"
"6","01","00037262","Payment","03/03/2025","","TRANSF | STAT:113","","BLUFF MEAT SUPPLY(PTY) LTD","-4653.98","28216.51"
"7","01","00037263","Payment","03/03/2025","","TRANSF | STAT:113","","BLUFF MEAT SUPPLY(PTY) LTD","-17064.59","11151.92"
"8","01","00012030","Crd Note","08/03/2025","","DN#11738-EMPTY VICT","","BLUFF MEAT SUPPLY(PTY) LTD","-3622.50","7529.42"
"9","01","00041324","Invoice","08/03/2025","","DN#11738 - 245472","00010693","BLUFF MEAT SUPPLY(PTY) LTD","4689.96","12219.38"
"10","01","00041325","Invoice","08/03/2025","","DN#11738-EMPTY VICT","","BLUFF MEAT SUPPLY(PTY) LTD","3622.50","15841.88"
"11","02","00042011","Invoice","04/04/2025","","DN#12997","00010931","BLUFF MEAT SUPPLY(PTY) LTD","4689.96","20531.84"
"12","02","00042012","Invoice","04/04/2025","","DN#12997-EMPTY","","BLUFF MEAT SUPPLY(PTY) LTD","3622.50","24154.34"
"13","02","00042092","Invoice","04/04/2025","","DN#12997-250758 VICT","","BLUFF MEAT SUPPLY(PTY) LTD","3808.83","27963.17"
"14","02","00012200","Crd Note","05/04/2025","","DN#12997-EMPTY","","BLUFF MEAT SUPPLY(PTY) LTD","-3622.50","24340.67"
"15","02","00012211","Crd Note","07/04/2025","","DN#10544-EMPTY","","BLUFF MEAT SUPPLY(PTY) LTD","-2415.00","21925.67"
"16","02","00012220","Crd Note","07/04/2025","","DN#12997","","BLUFF MEAT SUPPLY(PTY) LTD","-4689.96","17235.71"
"17","02","00037817","Payment","07/04/2025","","TRANSF | STAT:114","","BLUFF MEAT SUPPLY(PTY) LTD","-15633.20","1602.51"
"18","02","00042046","Invoice","07/04/2025","","DN#10544","00010943","BLUFF MEAT SUPPLY(PTY) LTD","2539.22","4141.73"
"19","02","00042047","Invoice","07/04/2025","","DN#10544-EMPTY","","BLUFF MEAT SUPPLY(PTY) LTD","2415.00","6556.73"
"20","02","00012278","Crd Note","15/04/2025","","DN#13067-EMPTY","","BLUFF MEAT SUPPLY(PTY) LTD","-3622.50","2934.23"
