"ENTRY","PERIOD_FILE","ACCNO","DOCNO","ORDERNO","DATE","QTY","RETAIL","NET","LINETAX","GROSS","REF","DESCRIPTION"
"Invoice","2017.TXT","MD0004","00000094","","23/11/2016",2,701.75,1403.5,196.49,1599.99,"","48KG LPG REFILL - DOUBLE VALVE"
"Invoice","2018.TXT","MD0004","00000571","","16/03/2017",1,701.75,701.75,98.25,800,"","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2019.TXT","MD0004","00000466","00000571","16/03/2017",-1,695.65,-695.65,104.35,-591.3,"FROM MD004 TO MD003","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00003141","","16/03/2017",1,695.65,695.65,104.35,800,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2018.TXT","MD0004","00001071","","22/06/2017",3,701.75,2105.25,294.74,2399.99,"","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2018.TXT","MD0004","00000144","00001071","22/06/2017",-1,701.75,-701.75,98.25,-603.5,"ONLY TOOK 2 X 48KG","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2018.TXT","MD0004","00000145","00001071","22/06/2017",-2,701.75,-1403.5,196.49,-1207.01,"ONLY TOOK 2","48KG LPG REFILL SINGLE VALVE"
"Invoice","2018.TXT","MD0004","00001074","","22/06/2017",2,701.46,1402.92,196.41,1599.33,"INV :1071 AMENDED","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2019.TXT","MD0004","00000469","00001074","22/06/2017",-2,695.65,-1391.3,208.7,-1182.6,"XFER TO MD0003","48KG LPG REFILL SINGLE VALVE"
"Invoice","2018.TXT","MD0004","00001815","","20/10/2017",1,728.07,728.07,101.93,830,"","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2019.TXT","MD0004","00000467","00001815","20/10/2017",-1,721.74,-721.74,108.26,-613.48,"MD004 TO MD003","48KG LPG REFILL SINGLE VALVE"
"Invoice","2018.TXT","MD0004","00002094","","07/12/2017",2,773.68,1547.36,216.63,1763.99,"","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2019.TXT","MD0004","00000465","00002094","07/12/2017",-2,773.68,-1547.36,232.1,-1315.26,"2094 - TO - MD0003","48KG LPG REFILL SINGLE VALVE"
"Invoice","2018.TXT","MD0004","00002526","","02/02/2018",1,728.07,728.07,101.93,830,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00002738","","06/03/2018",1,728.07,728.07,101.93,830,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00002984","","13/04/2018",1,730.43,730.43,109.56,839.99,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00003422","","21/06/2018",2,313.04,626.08,93.91,719.99,"","19KG LPG REFILL"
"Invoice","2019.TXT","MD0004","00003422","","21/06/2018",1,773.91,773.91,116.09,890,"","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2019.TXT","MD0004","00000501","00002984","21/06/2018",-1,730.43,-730.43,109.56,-620.87,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00004040","","14/09/2018",1,800,800,120,920,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00004256","","24/10/2018",1,826.09,826.09,123.91,950,"","48KG LPG REFILL - DOUBLE VALVE"
"Invoice","2019.TXT","MD0004","00004521","","21/12/2018",1,782.61,782.61,117.39,900,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2019.TXT","MD0004","00004833","","27/02/2019",2,739.13,1478.26,221.74,1700,"","48KG LPG REFILL SINGLE VALVE"
"Invoice","2020.TXT","MD0004","00005145","","03/05/2019",1,826.09,826.09,123.91,950,"","48KG LPG REFILL - DOUBLE VALVE"
"Invoice","2020.TXT","MD0004","00005379","","18/06/2019",2,826.085,1652.17,247.83,1900,"","48KG LPG REFILL - DOUBLE VALVE"
"Invoice","2022.TXT","MD0004","00008162","","08/04/2021",2,0,0,0,0,"55772","19KG CYLINDER DEPOSIT"
"Crd Note","2022.TXT","MD0004","00001066","00008162","08/04/2021",-2,0,0,0,0,"55772","19KG CYLINDER DEPOSIT"
"Invoice","2022.TXT","MD0004","00008164","","08/04/2021",2,0,0,0,0,"","19KG CYLINDER DEPOSIT"
"Crd Note","2022.TXT","MD0004","00001073","00008164","08/04/2021",-2,0,0,0,0,"","19KG CYLINDER DEPOSIT"
