allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,stat,target_doc,target_date,target_dn,lpg_open_before,allocated_amount,variance,allocation_type,confidence,review_required
AL-0001,AG-000001,29698,2024-03-20,3076.48,"STAT 100",30494,2024-03-18,"DN#8047 SO#7961",3076.48,3076.48,0,LIFO_FULL,PATTERN_LIFO,false
AL-0002,AG-000002,30020,2024-03-28,2812.79,"STAT 100",30731,2024-03-26,"DN#8073 SO#8022",2812.79,2812.79,0,LIFO_FULL,PATTERN_LIFO,false
AL-0003,AG-000003,30628,2024-05-10,2759.89,"STAT 102",32015,2024-05-09,"DN#8726 SO#8365",2759.89,2759.89,0,LIFO_FULL,PATTERN_LIFO,false
AL-0004,AG-000004,32849,2024-08-15,2875.23,"STAT 105",35241,2024-08-14,"DN#9408",2875.23,2875.23,0,LIFO_FULL,PATTERN_LIFO,false
AL-0005,AG-000005,33672,2024-09-25,7923.9,"STAT 106",34081,2024-07-11,"DN#9556",2628.79,2628.79,0,LIFO_FULL,PATTERN_LIFO,false
AL-0006,AG-000005,33672,2024-09-25,7923.9,"STAT 106",32911,2024-06-08,"DN#9057",3751.44,3751.44,0,LIFO_FULL,PATTERN_LIFO,false
AL-0007,AG-000005,33672,2024-09-25,7923.9,"STAT 106",,,"",0,0,1543.67,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0008,AG-000006,39293,2024-10-01,2602.86,"STAT 109",36720,2024-09-27,"DN#10064",2602.86,2602.86,0,LIFO_FULL,OPERATOR_REVIEW,true
AL-0009,AG-000007,35241,2024-11-18,2651.33,"STAT 109",38283,2024-11-15,"07/11/2024 38044",2651.33,2651.33,0,LIFO_FULL,PATTERN_LIFO,false
AL-0010,AG-000008,35818,2024-12-18,1059.2,"STAT 109",39150,2024-12-18,"D/N 11966",3038.9,1059.2,1979.7,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0011,AG-000010,36258,2025-01-16,3090,"STAT 110",39150,2024-12-18,"D/N 11966",1979.7,1979.7,0,LIFO_FULL,PATTERN_LIFO,false
AL-0012,AG-000010,36258,2025-01-16,3090,"STAT 110",,,"",0,0,1110.3,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0013,AG-000011,36737,2025-02-10,2792.84,"STAT 111",39953,2025-01-17,"D/N 9329",2792.84,2792.84,0,LIFO_FULL,PATTERN_LIFO,false
