"ACCOUNT:","MON001 - SHORTEN INTERNATIONAL 66 ON MONZALI"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2717.79"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2025 MARCH"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.01","0.01"
"2","01","00030494","Invoice","18/03/2024","","DN#8047 SO#7961","00007961","BENCHMARK GUESTHOUSES T/A 66 O","3076.48","3076.49"
"3","01","00007736","Crd Note","19/03/2024","","DN#8047 - EMPTY","","BENCHMARK GUESTHOUSES T/A 66 O","-1794.00","1282.49"
"4","01","00030507","Invoice","19/03/2024","","DN#8047 - EMPTY","","BENCHMARK GUESTHOUSES T/A 66 O","1794.00","3076.49"
"5","01","00029698","Payment","20/03/2024","","TRANSF | STAT 100","","BENCHMARK GUESTHOUSES T/A 66 O","-3076.48","0.01"
"6","01","00007839","Crd Note","26/03/2024","","DN#8073 - EMPTY","","BENCHMARK GUESTHOUSES T/A 66 O","-1196.00","-1195.99"
"7","01","00030731","Invoice","26/03/2024","","DN#8073 SO#8022","00008022","BENCHMARK GUESTHOUSES T/A 66 O","2812.79","1616.80"
"8","01","00030747","Invoice","26/03/2024","","DN#8073 - EMPTY","","BENCHMARK GUESTHOUSES T/A 66 O","1196.00","2812.80"
"9","01","00030020","Payment","28/03/2024","","TRANSF | STAT 100","","BENCHMARK GUESTHOUSES T/A 66 O","-2812.79","0.01"
"10","02","00032015","Invoice","09/05/2024","","DN#8726 SO#8365","00008365","BENCHMARK GUESTHOUSES T/A 66 O","2759.89","2759.90"
"11","02","00032016","Invoice","09/05/2024","","DN#8726","","BENCHMARK GUESTHOUSES T/A 66 O","1196.00","3955.90"
"12","02","00008370","Crd Note","10/05/2024","","DN#8726","","BENCHMARK GUESTHOUSES T/A 66 O","-1196.00","2759.90"
"13","03","00030628","Payment","10/05/2024","","TRANSF | STAT 102","","BENCHMARK GUESTHOUSES T/A 66 O","-2759.89","0.01"
"14","02","00032911","Invoice","08/06/2024","","DN#9057","","BENCHMARK GUESTHOUSES T/A 66 O","5295.11","5295.12"
