"ACCOUNT:","MON001 - SHORTEN INTERNATIONAL 66 ON MONZALI"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2717.79"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","162.86","162.86"
"2","02","00012210","Crd Note","07/04/2025","","DN#4470-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-2252.14"
"3","02","00012272","Crd Note","14/04/2025","","DN#13062-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-4667.14"
"4","03","00012663","Crd Note","09/06/2025","","DN#12360-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-4830.00","-9497.14"
"5","05","00012941","Crd Note","09/07/2025","","DN#12178-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-11912.14"
"6","06","00013305","Crd Note","26/08/2025","","DN#20545-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-14327.14"
"7","06","00013317","Crd Note","26/08/2025","","D/N20553","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-16742.14"
"8","08","00013650","Crd Note","09/10/2025","","DN#20703-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-19157.14"
"9","09","00013835","Crd Note","10/11/2025","","DN#20814-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-21572.14"
"10","10","00014184","Crd Note","30/12/2025","","DN#20961-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-23987.14"
"11","12","00014512","Crd Note","28/02/2026","","DN#21803-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-26402.14"
"12","14","00014710","Crd Note","02/04/2026","","DN-21861-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-28817.14"
"13","14","00014792","Crd Note","16/04/2026","","FAULTY RETURN","","SHORTEN INTERNATIONAL 66 ON MO","-1706.03","-30523.17"
"14","14","00014803","Crd Note","24/04/2026","","DN-22341-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-32938.17"
"15","16","00015052","Crd Note","12/06/2026","","DN#22477-EMPTIES","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-35353.17"
"16","17","00015263","Crd Note","15/07/2026","","DN#22820=EMPTIES","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-37768.17"
"17","17","00015303","Crd Note","22/07/2026","","DN#22696-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","-2415.00","-40183.17"
"18","01","00037379","Payment","06/03/2025","","TRANSF | STAT 112","","SHORTEN INTERNATIONAL 66 ON MO","-2816.83","-43000.00"
"19","02","00038126","Payment","14/04/2025","","TRANSF | STAT 113","","SHORTEN INTERNATIONAL 66 ON MO","-2751.58","-45751.58"
"20","03","00038667","Payment","13/05/2025","","TRANSF | STAT 114","","SHORTEN INTERNATIONAL 66 ON MO","-2751.58","-48503.16"
"21","05","00040111","Payment","07/07/2025","","TRANSF | STAT 116","","SHORTEN INTERNATIONAL 66 ON MO","-5579.98","-54083.14"
"22","06","00040894","Payment","29/08/2025","","TRANSF | STAT 117","","SHORTEN INTERNATIONAL 66 ON MO","-5222.16","-59305.30"
"23","07","00041246","Payment","17/09/2025","","TRANSF | STAT 118","","SHORTEN INTERNATIONAL 66 ON MO","-2668.48","-61973.78"
"24","02","00042053","Invoice","07/04/2025","","DN#4470","00010946","SHORTEN INTERNATIONAL 66 ON MO","2751.58","-59222.20"
"25","02","00042054","Invoice","07/04/2025","","DN#4470-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","2415.00","-56807.20"
"26","02","00042251","Invoice","14/04/2025","","DN#13062","00011009","SHORTEN INTERNATIONAL 66 ON MO","2751.58","-54055.62"
"27","02","00042252","Invoice","14/04/2025","","DN#13062-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","2415.00","-51640.62"
"28","09","00042302","Payment","19/11/2025","","TRANSF | STAT 120","","SHORTEN INTERNATIONAL 66 ON MO","-2452.38","-54093.00"
"29","12","00043248","Payment","03/02/2026","","TRANSF | STAT 123","","SHORTEN INTERNATIONAL 66 ON MO","-2464.52","-56557.52"
"30","13","00043557","Payment","05/03/2026","","TRANSF | STAT 124","","SHORTEN INTERNATIONAL 66 ON MO","-2508.01","-59065.53"
"31","03","00043719","Invoice","09/06/2025","","DN#12360","00011384","SHORTEN INTERNATIONAL 66 ON MO","5579.98","-53485.55"
"32","03","00043720","Invoice","09/06/2025","","DN#12360-EMPTY","","SHORTEN INTERNATIONAL 66 ON MO","4830.00","-48655.55"
"33","14","00043928","Payment","08/04/2026","","TRANSF | STAT 125","","SHORTEN INTERNATIONAL 66 ON MO","-2527.19","-51182.74"
"34","05","00044648","Invoice","08/07/2025","","DN#12178","00011708","SHORTEN INTERNATIONAL 66 ON MO","2668.48","-48514.26"
"35","05","00044649","Invoice","08/07/2025","","DN#12178-EMPTY","00011709","SHORTEN INTERNATIONAL 66 ON MO","2415.00","-46099.26"
