"ACCOUNT:","MON001 - SHORTEN INTERNATIONAL 66 ON MONZALI"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2717.79"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","3049.63","3049.63"
"2","02","00007422","Crd Note","01/02/2024","","00029176","","SHORTEN INTERNATIONAL 66 ON MO","-780.00","2269.63"
"3","02","00029174","Invoice","01/02/2024","","00029174","","SHORTEN INTERNATIONAL 66 ON MO","2746.20","5015.83"
"4","02","00029176","Invoice","01/02/2024","","00029176","","SHORTEN INTERNATIONAL 66 ON MO","690.00","5705.83"
"5","02","00028816","Payment","13/02/2024","","00028103","","SHORTEN INTERNATIONAL 66 ON MO","-5488.86","216.97"
"6","02","00028817","Payment","13/02/2024","","00029174","","SHORTEN INTERNATIONAL 66 ON MO","-2746.20","-2529.23"
"7","02","00029568","Invoice","14/02/2024","","00029568","","SHORTEN INTERNATIONAL 66 ON MO","2781.71","252.48"
"8","02","00029773","Invoice","22/02/2024","","00029773","","SHORTEN INTERNATIONAL 66 ON MO","1390.86","1643.34"
"9","02","00029270","Payment","27/02/2024","","00029568","","SHORTEN INTERNATIONAL 66 ON MO","-2781.71","-1138.37"
"10","02","00029271","Payment","27/02/2024","","00029773","","SHORTEN INTERNATIONAL 66 ON MO","-1390.86","-2529.23"
"11","02","00030494","Invoice","18/03/2024","","00030494","","SHORTEN INTERNATIONAL 66 ON MO","3076.48","547.25"
"12","02","00007736","Crd Note","19/03/2024","","00030507","","SHORTEN INTERNATIONAL 66 ON MO","-2028.00","-1480.75"
"13","02","00030507","Invoice","19/03/2024","","00030507","","SHORTEN INTERNATIONAL 66 ON MO","1794.00","313.25"
"14","02","00029698","Payment","20/03/2024","","00030494","","SHORTEN INTERNATIONAL 66 ON MO","-3076.48","-2763.23"
"15","02","00007839","Crd Note","26/03/2024","","00030747","","SHORTEN INTERNATIONAL 66 ON MO","-1352.00","-4115.23"
"16","02","00030731","Invoice","26/03/2024","","00030731","","SHORTEN INTERNATIONAL 66 ON MO","2812.79","-1302.44"
"17","02","00030747","Invoice","26/03/2024","","00030747","","SHORTEN INTERNATIONAL 66 ON MO","1196.00","-106.44"
"18","02","00030020","Payment","28/03/2024","","00030731","","SHORTEN INTERNATIONAL 66 ON MO","-2812.79","-2919.23"
"19","02","00032015","Invoice","09/05/2024","","00032015","","SHORTEN INTERNATIONAL 66 ON MO","2759.89","-159.34"
"20","02","00032016","Invoice","09/05/2024","","00032016","","SHORTEN INTERNATIONAL 66 ON MO","1196.00","1036.66"
"21","02","00008370","Crd Note","10/05/2024","","00032016","","SHORTEN INTERNATIONAL 66 ON MO","-1352.00","-315.34"
"22","02","00030628","Payment","10/05/2024","","00032015","","SHORTEN INTERNATIONAL 66 ON MO","-2759.89","-3075.23"
"23","02","00032911","Invoice","08/06/2024","","DN#9057","","SHORTEN INTERNATIONAL 66 ON MO","5295.11","2219.88"
