allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,slice_amount,target_doc,target_date,lpg_target_amount,allocated_amount,variance,allocation_type,confidence,review_required
AL-0001,AG-000001,37590,2025-03-19,2980,2980,41534,2025-03-16,2980,2980,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0002,AG-000002,38035,2025-04-02,2953.12,2953.12,41712,2025-03-24,2953.12,2953.12,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0003,AG-000003,38227,2025-04-23,6927.88,4227.89,42306,2025-04-15,4227.89,4227.89,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0004,AG-000003,38227,2025-04-23,6927.88,2699.99,41894,2025-03-31,2699.99,2699.99,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0005,AG-000004,38366,2025-05-01,2901.5,2901.5,42434,2025-04-21,2901.5,2901.5,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0006,AG-000005,38812,2025-05-14,2652.8,2652.8,43005,2025-05-12,2652.8,2652.8,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0007,AG-000006,38838,2025-05-21,2901.5,2901.5,42843,2025-05-05,2901.5,2901.5,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0008,AG-000007,39077,2025-05-28,2943.51,2943.51,43245,2025-05-20,2943.51,2943.51,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0009,AG-000008,39589,2025-06-25,11363.37,2617.29,43905,2025-06-11,2617.29,2617.29,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0010,AG-000008,39589,2025-06-25,11363.37,2862.66,44062,2025-06-18,2862.66,2862.66,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0011,AG-000008,39589,2025-06-25,11363.37,2943.51,43648,2025-06-04,2943.51,2943.51,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0012,AG-000008,39589,2025-06-25,11363.37,248.7,43081,2025-05-14,248.7,248.7,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0013,AG-000008,39589,2025-06-25,11363.37,2691.21,43461,2025-05-28,2691.21,2691.21,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0014,AG-000009,39764,2025-07-02,2617.29,2617.29,44200,2025-06-23,2617.29,2617.29,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0015,AG-000010,40139,2025-07-09,3925.93,3925.93,44403,2025-06-30,3925.93,3925.93,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0016,AG-000011,40271,2025-07-23,2810.61,2810.61,44742,2025-07-09,2810.61,2810.61,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0017,AG-000012,40729,2025-08-13,9716.68,2569.7,45488,2025-08-06,2569.7,2569.7,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0018,AG-000012,40729,2025-08-13,9716.68,2810.61,45199,2025-07-27,2810.61,2810.61,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0019,AG-000012,40729,2025-08-13,9716.68,2810.61,45577,2025-08-10,2810.61,2810.61,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0020,AG-000012,40729,2025-08-13,9716.68,1525.76,45303,2025-07-31,1525.76,1525.76,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0021,AG-000013,40891,2025-08-27,1491.68,1491.68,45720,2025-08-17,1491.68,1491.68,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0022,AG-000014,41106,2025-09-03,2747.82,2747.82,45872,2025-08-24,2747.82,2747.82,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0023,AG-000015,41441,2025-09-24,2652.8,2652.8,42612,2025-04-28,2652.8,2652.8,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0024,AG-000016,41654,2025-10-08,16860.86,2626.74,46669,2025-09-25,2626.74,2626.74,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0025,AG-000016,41654,2025-10-08,16860.86,3768.44,46050,2025-08-31,3768.44,3768.44,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0026,AG-000016,41654,2025-10-08,16860.86,2401.59,46825,2025-09-30,2401.59,2401.59,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0027,AG-000016,41654,2025-10-08,16860.86,2810.61,44949,2025-07-17,2810.61,2810.61,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0028,AG-000016,41654,2025-10-08,16860.86,2626.74,46562,2025-09-21,2626.74,2626.74,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0029,AG-000016,41654,2025-10-08,16860.86,2626.74,46267,2025-09-09,2626.74,2626.74,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0030,AG-000017,41857,2025-10-15,2626.74,2626.74,46980,2025-10-08,2626.74,2626.74,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0031,AG-000018,41946,2025-10-22,3827.53,3827.53,47170,2025-10-17,3827.53,3827.53,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0032,AG-000019,42137,2025-11-05,4052.68,4052.68,47401,2025-10-29,4052.68,4052.68,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0033,AG-000003,42306,2025-11-19,3751.04,3751.04,47589,2025-11-09,3751.04,3751.04,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0034,AG-000020,42422,2025-11-26,2353.59,2353.59,47857,2025-11-21,2353.59,2353.59,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0035,AG-000021,42529,2025-12-03,3751.04,3751.04,47979,2025-11-27,3751.04,3751.04,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0036,AG-000022,42601,2025-12-10,3530.39,3530.39,48095,2025-12-03,3530.39,3530.39,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0037,AG-000023,42769,2025-12-23,3770.39,3770.39,48347,2025-12-17,3770.39,3770.39,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0038,AG-000024,42992,2026-01-14,3770.39,3770.39,48613,2026-01-04,3770.39,3770.39,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0039,AG-000025,43074,2026-01-21,3797.37,3797.37,48797,2026-01-14,3797.37,3797.37,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0040,AG-000026,43234,2026-02-04,3797.37,3797.36,48940,2026-01-25,3797.37,3797.36,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0041,AG-000026,43234,2026-02-04,3797.37,0.01,,,0,0.01,0.01,ROUNDING_RESIDUAL,Confirmed,false
