"ACCOUNT:","MOZ002 - MOZAMBIK"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","13014.50"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","01","00012074","Crd Note","15/03/2025","","DN#4438","","MOZAMBIK","-3234.35","-3234.35"
"3","01","00012075","Crd Note","15/03/2025","","DN#4438-EMPTY","","MOZAMBIK","-3105.00","-6339.35"
"4","01","00012079","Crd Note","17/03/2025","","DN#4438","","MOZAMBIK","-2953.12","-9292.47"
"5","01","00012080","Crd Note","17/03/2025","","DN#4438-EMPTY","","MOZAMBIK","-2932.50","-12224.97"
"6","01","00012081","Crd Note","17/03/2025","","DN#4438-EMPTY","","MOZAMBIK","-2415.00","-14639.97"
"7","01","00012082","Crd Note","17/03/2025","","DN#4438-EMPTY","","MOZAMBIK","-517.50","-15157.47"
"8","01","00012123","Crd Note","25/03/2025","","DN#12977-EMPTY","","MOZAMBIK","-2932.50","-18089.97"
"9","02","00012174","Crd Note","02/04/2025","","DN#12836-EMPTY","","MOZAMBIK","-2415.00","-20504.97"
"10","02","00012296","Crd Note","17/04/2025","","DN#13072-EMPTY","","MOZAMBIK","-4140.00","-24644.97"
"11","02","00012369","Crd Note","29/04/2025","","DN#13110-EMPTY","","MOZAMBIK","-2415.00","-27059.97"
"12","02","00012423","Crd Note","06/05/2025","","DN#12058-EMPTY","","MOZAMBIK","-2932.50","-29992.47"
"13","03","00012468","Crd Note","13/05/2025","","DN#12076-EMPTY","","MOZAMBIK","-2415.00","-32407.47"
"14","03","00012535","Crd Note","22/05/2025","","DN#12106-EMPTY","","MOZAMBIK","-2415.00","-34822.47"
"15","03","00012599","Crd Note","30/05/2025","","DN#12137-EMPTY","","MOZAMBIK","-3450.00","-38272.47"
"16","03","00012639","Crd Note","06/06/2025","","DN#12149-EMPTY","","MOZAMBIK","-2415.00","-40687.47"
"17","03","00012640","Crd Note","06/06/2025","","DN#12149-EMPTY","","MOZAMBIK","-2932.50","-43619.97"
"18","04","00012710","Crd Note","12/06/2025","","DN#12560-E,MPTY","","MOZAMBIK","-2415.00","-46034.97"
"19","04","00012717","Crd Note","12/06/2025","","DN#12560","","MOZAMBIK","-1308.64","-47343.61"
"20","04","00012763","Crd Note","19/06/2025","","DN#12412-EMPTY","","MOZAMBIK","-2932.50","-50276.11"
"21","04","00012812","Crd Note","25/06/2025","","DN#12325-EMPTY","","MOZAMBIK","-2415.00","-52691.11"
"22","05","00012872","Crd Note","01/07/2025","","DN#12349-EMPTY","","MOZAMBIK","-2415.00","-55106.11"
"23","05","00012962","Crd Note","12/07/2025","","DN#12686-EMPTY","","MOZAMBIK","-2932.50","-58038.61"
"24","05","00013020","Crd Note","19/07/2025","","DN#12649-EMPTY","","MOZAMBIK","-2932.50","-60971.11"
"25","05","00013069","Crd Note","29/07/2025","","DN20020.","","MOZAMBIK","-2932.50","-63903.61"
"26","05","00013102","Crd Note","01/08/2025","","DN #20126- EMPTIES","","MOZAMBIK","-1725.00","-65628.61"
"27","06","00013165","Crd Note","08/08/2025","","DN#20072-- EMPTY","","MOZAMBIK","-2415.00","-68043.61"
"28","06","00013194","Crd Note","11/08/2025","","DN#20306-EMPTY","","MOZAMBIK","-2932.50","-70976.11"
"29","06","00013251","Crd Note","18/08/2025","","DN#20515-EMPTY","","MOZAMBIK","-2932.50","-73908.61"
"30","06","00013301","Crd Note","25/08/2025","","DN#20439-EMPTY","","MOZAMBIK","-2932.50","-76841.11"
"31","07","00013349","Crd Note","01/09/2025","","DN#20566-EMPTY","","MOZAMBIK","-3622.50","-80463.61"
"32","07","00013434","Crd Note","10/09/2025","","DN#20477-EMPTY","","MOZAMBIK","-2932.50","-83396.11"
"33","07","00013523","Crd Note","22/09/2025","","DN#21051-EMPTY","","MOZAMBIK","-2932.50","-86328.61"
