"ACCOUNT:","MOZ002 - MOZAMBIK"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","8010.08"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","11487.26","11487.26"
"2","17","00051526","Invoice","01/07/2026","","DN#22538","","MOZAMBIK","4536.47","16023.73"
"3","17","00044963","Payment","02/07/2026","","TRANSF | STAT 128","","MOZAMBIK","-3292.77","12730.96"
"4","17","00051527","Invoice","02/07/2026","","DN#22538=EMPTY","","MOZAMBIK","3622.50","16353.46"
"5","17","00015166","Crd Note","03/07/2026","","DN#22538=EMPTY","","MOZAMBIK","-2415.00","13938.46"
"6","17","00045104","Payment","09/07/2026","","TRANSF | STAT 128","","MOZAMBIK","-4536.47","9401.99"
"7","17","00015254","Crd Note","13/07/2026","","DN#22810=EMPTY","","MOZAMBIK","-5347.50","4054.49"
"8","17","00051789","Invoice","13/07/2026","","DN#22810","00014043","MOZAMBIK","4820.01","8874.50"
"9","17","00051790","Invoice","13/07/2026","","DN#22810=EMPTY","00014044","MOZAMBIK","4140.00","13014.50"
"10","17","00045202","Payment","16/07/2026","","TRANSF | STAT 128","","MOZAMBIK","-5004.42","8010.08"
"TOTAL TRANSACTIONS: 8010.08","","","","","","","","","",""
