allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,slice_amount,target_doc,target_date,lpg_target_amount,allocated_amount,variance,allocation_type,confidence,review_required
AL-0001,AG-000001,43921,2026-04-06,8639.97,8639.97,50064,2026-04-01,8639.97,8639.97,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0002,AG-000002,44143,2026-04-28,11519.96,5759.98,50406,2026-04-28,5759.98,5759.98,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0003,AG-000002,44143,2026-04-28,11519.96,5759.98,50344,2026-04-21,5759.98,5759.98,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0004,,44288,2026-05-11,5759.98,5759.98,,,0,0,5759.98,UNALLOCATED,Exception,true
AL-0005,AG-000003,44376,2026-05-20,7679.99,7679.99,50780,2026-05-19,7679.99,7679.99,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0006,AG-000004,44552,2026-06-02,6143.99,6143.99,50915,2026-05-27,6143.99,6143.99,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0007,AG-000005,44653,2026-06-08,5885.01,5885.01,51048,2026-06-04,5885.01,5885.01,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0008,AG-000006,44744,2026-06-16,5885.01,5885.01,51221,2026-06-14,5885.01,5885.01,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0009,AG-000007,44870,2026-06-21,5885.01,5885.01,51286,2026-06-17,5885.01,5885.01,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0010,AG-000008,44959,2026-06-28,7356.26,7356.26,51426,2026-06-24,7356.26,7356.26,0,OPEN_BALANCE_MATCH,Confirmed,false
AL-0011,AG-000009,45094,2026-07-05,5912.56,5912.56,51557,2026-07-02,5912.56,5912.56,0,OPEN_BALANCE_MATCH,Confirmed,false
