allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,stat,target_doc,target_date,target_dn,lpg_open_before,allocated_amount,variance,allocation_type,confidence,review_required
AL-0001,AG-000001,38566,2025-05-08,5399.99,"STAT 114",,,"",0,0,5399.99,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0002,AG-000002,39087,2025-06-03,8639.97,"STAT 115",42948,2025-05-09,"DN#13208",5399.99,5399.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0003,AG-000002,39087,2025-06-03,8639.97,"STAT 115",,,"",0,0,3239.98,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0004,AG-000003,40136,2025-07-09,5759.98,"STAT 116",44674,2025-07-09,"DN#12678",5759.98,5759.98,0,LIFO_FULL,PATTERN_LIFO,false
AL-0005,AG-000004,40727,2025-08-13,8639.97,"STAT 117",43614,2025-06-04,"DN#12492",8639.97,8639.97,0,LIFO_FULL,PATTERN_LIFO,false
AL-0006,AG-000005,42420,2025-11-25,4780,"STAT 120",,,"",0,0,4780,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0007,AG-000006,42732,2025-12-23,8639.97,"STAT 121",48430,2025-12-22,"D/N 21435",8639.97,8639.97,0,LIFO_FULL,PATTERN_LIFO,false
AL-0008,AG-000007,42868,2026-01-05,5759.98,"STAT 122",48542,2025-12-30,"DN#20962",5759.98,5759.98,0,LIFO_FULL,PATTERN_LIFO,false
AL-0009,AG-000008,42984,2026-01-12,5759.98,"STAT 122",48022,2025-12-01,"DN#20694",4780,4780,0,LIFO_FULL,PATTERN_LIFO,false
AL-0010,AG-000008,42984,2026-01-12,5759.98,"STAT 122",,,"",0,0,979.98,UNALLOCATED_REMAINDER,PATTERN_LIFO,true
AL-0011,AG-000009,43155,2026-01-30,8639.97,"STAT 122",48982,2026-01-28,"DN*21218",8639.97,8639.97,0,LIFO_FULL,PATTERN_LIFO,false
AL-0012,AG-000010,43317,2026-02-10,5759.98,"STAT 123",49164,2026-02-10,"DN#21243",5759.98,5759.98,0,LIFO_FULL,PATTERN_LIFO,false
AL-0013,AG-000011,43641,2026-03-12,1440,"STAT 124",49714,2026-03-12,"DN#21961",5759.98,1440,4319.98,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0014,AG-000012,43698,2026-03-17,4274.96,"STAT 124",49714,2026-03-12,"DN#21961",4319.98,4274.96,45.02,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0015,AG-000013,43754,2026-03-24,8639.97,"STAT 124",49875,2026-03-24,"DN-21844",8639.97,8639.97,0,LIFO_FULL,PATTERN_LIFO,false
AL-0016,AG-000014,43921,2026-04-07,8639.97,"STAT 125",50064,2026-04-02,"DN-21857",8639.97,8639.97,0,LIFO_FULL,PATTERN_LIFO,false
AL-0017,AG-000015,44143,2026-04-29,11519.96,"STAT 125",50406,2026-04-28,"DN-22349",5759.98,5759.98,0,LIFO_FULL,PATTERN_LIFO,false
AL-0018,AG-000015,44143,2026-04-29,11519.96,"STAT 125",50344,2026-04-22,"DN-21345",5759.98,5759.98,0,LIFO_FULL,PATTERN_LIFO,false
AL-0019,AG-000016,44288,2026-05-12,5759.98,"STAT 126",50580,2026-05-07,"DN#22374",5759.98,5759.98,0,LIFO_FULL,OPERATOR_REVIEW,true
AL-0020,AG-000017,44376,2026-05-21,7679.99,"STAT 126",50780,2026-05-20,"DN#22741",7679.99,7679.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0021,AG-000018,44552,2026-06-03,6143.99,"STAT 127",50915,2026-05-28,"DN#22601",6143.99,6143.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0022,AG-000019,44653,2026-06-09,5885.01,"STAT 127",51048,2026-06-05,"DN#22778",5885.01,5885.01,0,LIFO_FULL,PATTERN_LIFO,false
AL-0023,AG-000020,44744,2026-06-17,5885.01,"STAT 127",51221,2026-06-15,"DN#22902",5885.01,5885.01,0,LIFO_FULL,PATTERN_LIFO,false
AL-0024,AG-000021,44870,2026-06-22,5885.01,"STAT 127",51286,2026-06-18,"DN#22650",5885.01,5885.01,0,LIFO_FULL,PATTERN_LIFO,false
AL-0025,AG-000022,44959,2026-06-29,7356.26,"STAT 127",51426,2026-06-25,"DN#22917",7356.26,7356.26,0,LIFO_FULL,PATTERN_LIFO,false
AL-0026,AG-000023,45094,2026-07-06,5912.56,"STAT 128",51557,2026-07-03,"DN#22541",5912.56,5912.56,0,LIFO_FULL,PATTERN_LIFO,false
AL-0027,AG-000024,45328,2026-07-21,7390.7,"STAT 128",51890,2026-07-16,"DN#22961",7390.7,7390.7,0,LIFO_FULL,PATTERN_LIFO,false
