"ACCOUNT:","RED001 - REDLANDS HOTEL"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","5559.76"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","03","00038566","Payment","08/05/2025","","TRANSF | STAT 114","","REDLANDS HOTEL","-5399.99","-5399.99"
"3","03","00012452","Crd Note","09/05/2025","","DN#13208-EMPTY","","REDLANDS HOTEL","-4830.00","-10229.99"
"4","03","00042948","Invoice","09/05/2025","","DN#13208","00011153","REDLANDS HOTEL","5399.99","-4830.00"
"5","03","00042954","Invoice","09/05/2025","","DN#13208-EMPTY","","REDLANDS HOTEL","4830.00","0.00"
"6","03","00039087","Payment","03/06/2025","","TRANSF | STAT 115","","REDLANDS HOTEL","-8639.97","-8639.97"
"7","03","00043614","Invoice","04/06/2025","","DN#12492","00011352","REDLANDS HOTEL","8639.97","0.00"
"8","03","00043615","Invoice","04/06/2025","","DN#12492-EMPTY","","REDLANDS HOTEL","7245.00","7245.00"
"9","03","00012638","Crd Note","06/06/2025","","DN#12492-EMPTY","","REDLANDS HOTEL","-7245.00","0.00"
"10","05","00012945","Crd Note","09/07/2025","","DN#12678-EMPTY","","REDLANDS HOTEL","-3622.50","-3622.50"
"11","05","00040136","Payment","09/07/2025","","TRANSF | STAT 116","","REDLANDS HOTEL","-5759.98","-9382.48"
"12","05","00044674","Invoice","09/07/2025","","DN#12678","00011713","REDLANDS HOTEL","5759.98","-3622.50"
"13","05","00044675","Invoice","09/07/2025","","DN#12678-EMPTY","00011714","REDLANDS HOTEL","4830.00","1207.50"
"14","06","00045540","Invoice","09/08/2025","","DN#20157","00011350","REDLANDS HOTEL","8639.97","9847.47"
"15","06","00045541","Invoice","09/08/2025","","DN#20157","00012073","REDLANDS HOTEL","7245.00","17092.47"
"16","06","00013187","Crd Note","11/08/2025","","DN#20157","","REDLANDS HOTEL","-7245.00","9847.47"
"17","06","00040727","Payment","13/08/2025","","TRANSF | STAT 117","","REDLANDS HOTEL","-8639.97","1207.50"
"18","08","00013687","Crd Note","15/10/2025","","DN#20157","","REDLANDS HOTEL","-8452.50","-7245.00"
"19","09","00042420","Payment","25/11/2025","","TRANSF | STAT 120","","REDLANDS HOTEL","-4780.00","-12025.00"
"20","09","00013954","Crd Note","27/11/2025","","DN#21176","","REDLANDS HOTEL","-4780.00","-16805.00"
"21","09","00013955","Crd Note","27/11/2025","","DN#21176-EMPTY","","REDLANDS HOTEL","-4830.00","-21635.00"
"22","09","00047943","Invoice","27/11/2025","","DN#21176","00012661","REDLANDS HOTEL","4780.00","-16855.00"
"23","09","00047944","Invoice","27/11/2025","","DN#21176-EMPTY","","REDLANDS HOTEL","4830.00","-12025.00"
"24","09","00048022","Invoice","01/12/2025","","DN#20694","","REDLANDS HOTEL","4780.00","-7245.00"
"25","09","00048023","Invoice","01/12/2025","","DN#20694-EMPTY","","REDLANDS HOTEL","4830.00","-2415.00"
"26","10","00013987","Crd Note","02/12/2025","","DN#20694-EMPTY","","REDLANDS HOTEL","-4830.00","-7245.00"
"27","10","00014140","Crd Note","22/12/2025","","D/N 21435 - EMPTIES","","REDLANDS HOTEL","-7245.00","-14490.00"
"28","10","00048430","Invoice","22/12/2025","","D/N 21435","","REDLANDS HOTEL","8639.97","-5850.03"
"29","10","00048431","Invoice","22/12/2025","","D/N 21435 - EMPTIES","","REDLANDS HOTEL","7245.00","1394.97"
"30","10","00042732","Payment","23/12/2025","","TRANSF | STAT 121","","REDLANDS HOTEL","-8639.97","-7245.00"
"31","10","00014185","Crd Note","30/12/2025","","DN#20962-EMPTY","","REDLANDS HOTEL","-4830.00","-12075.00"
"32","10","00048542","Invoice","30/12/2025","","DN#20962","00012748","REDLANDS HOTEL","5759.98","-6315.02"
"33","10","00048543","Invoice","30/12/2025","","DN#20962-EMPTY","","REDLANDS HOTEL","4830.00","-1485.02"
"34","11","00042868","Payment","05/01/2026","","TRANSF | STAT 122","","REDLANDS HOTEL","-5759.98","-7245.00"
"35","11","00042984","Payment","12/01/2026","","TRANSF | STAT 122","","REDLANDS HOTEL","-5759.98","-13004.98"
