"ACCOUNT:","SA0001 - SAKI - VICTORIA RD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","10804.97"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","4945.93","4945.93"
"2","12","00044740","Payment","07/02/2023","","TRANSF | STAT208","","SAKI - VICTORIA RD","-621.68","4324.25"
"3","01","00041349","Invoice","10/03/2025","","","00010705","SAKI - VICTORIA RD","6371.99","10696.24"
"4","01","00012087","Crd Note","18/03/2025","","DN#12929-EMPTY","","SAKI - VICTORIA RD","-517.50","10178.74"
"5","01","00041553","Invoice","18/03/2025","","DN#12929","00010782","SAKI - VICTORIA RD","285.31","10464.05"
"6","01","00041554","Invoice","18/03/2025","","DN#12929-EMPTY","","SAKI - VICTORIA RD","517.50","10981.55"
"7","01","00037783","Payment","25/03/2025","","TRANSF | STAT 112","","SAKI - VICTORIA RD","-6657.30","4324.25"
"8","01","00012127","Crd Note","26/03/2025","","DN#12937-EMPTY","","SAKI - VICTORIA RD","-5347.50","-1023.25"
"9","01","00041732","Invoice","26/03/2025","","DN#12937","00010853","SAKI - VICTORIA RD","6371.99","5348.74"
"10","01","00041733","Invoice","26/03/2025","","DN#12937-EMPTY","","SAKI - VICTORIA RD","5347.50","10696.24"
"11","01","00012142","Crd Note","28/03/2025","","DN#12985-EMPTY","","SAKI - VICTORIA RD","-517.50","10178.74"
"12","01","00041797","Invoice","28/03/2025","","DN#12985","00010871","SAKI - VICTORIA RD","285.31","10464.05"
"13","01","00041798","Invoice","28/03/2025","","DN#12985-EMPTY","","SAKI - VICTORIA RD","517.50","10981.55"
"14","02","00038063","Payment","04/04/2025","","TRANSF | STAT 113","","SAKI - VICTORIA RD","-6657.30","4324.25"
"15","02","00012239","Crd Note","08/04/2025","","DN#11748","","SAKI - VICTORIA RD","-5347.50","-1023.25"
"16","02","00042123","Invoice","08/04/2025","","DN#11748","00010965","SAKI - VICTORIA RD","6235.37","5212.12"
"17","02","00042124","Invoice","08/04/2025","","DN#11748","","SAKI - VICTORIA RD","5347.50","10559.62"
"18","02","00012320","Crd Note","22/04/2025","","DN#13151-EMPTY","","SAKI - VICTORIA RD","-517.50","10042.12"
"19","02","00042429","Invoice","22/04/2025","","DN#13151","00011050","SAKI - VICTORIA RD","279.20","10321.32"
"20","02","00042430","Invoice","22/04/2025","","DN#13151-EMPTY","","SAKI - VICTORIA RD","517.50","10838.82"
"21","02","00042583","Invoice","26/04/2025","","DN#13102","","SAKI - VICTORIA RD","5956.17","16794.99"
"22","02","00042584","Invoice","26/04/2025","","DN#13102-EMPTY","","SAKI - VICTORIA RD","4830.00","21624.99"
"23","02","00012361","Crd Note","29/04/2025","","DN#13102-EMPTY","","SAKI - VICTORIA RD","-4830.00","16794.99"
"24","02","00012372","Crd Note","29/04/2025","","DN#13173-EMPTY","","SAKI - VICTORIA RD","-517.50","16277.49"
"25","02","00042633","Invoice","29/04/2025","","DN#13173","00011089","SAKI - VICTORIA RD","279.20","16556.69"
"26","02","00042634","Invoice","29/04/2025","","DN#13173-EMPTY","","SAKI - VICTORIA RD","517.50","17074.19"
"27","02","00042780","Bank UD","29/04/2025","","TRANSF | STAT 113","","FNB OB PMT SAKI SPO RTS BAR","64736.00","81810.19"
"28","02","00042780","Payment","29/04/2025","","TRANSF | STAT 113","","SAKI - VICTORIA RD","-64736.00","17074.19"
"29","03","00045114","Bank UD","29/04/2025","","TRANSF | LIZ","","SAKI - VICTORIA RD","64736.00","81810.19"
