doc_no,entry_type,tx_date,debt_group,line_total,ref
00006264,Crd Note,2023-09-19,CYL,-1794,"D/N 6469 EMPTIES"
00024639,Invoice,2023-09-19,LPG,3380.83,"D/N 6469"
00024640,Invoice,2023-09-19,CYL,1794,"D/N 6469 EMPTIES"
00006394,Crd Note,2023-10-02,CYL,-1196,"D/N 6578 EMPTIES"
00025022,Invoice,2023-10-02,LPG,2253.89,"D/N 6578"
00025023,Invoice,2023-10-02,CYL,1196,"D/N 6578 EMPTIES"
00006495,Crd Note,2023-10-11,CYL,-1196,"D/N 6804 EMPTIES"
00025379,Invoice,2023-10-11,LPG,2462.2,"D/N 6804"
00025380,Invoice,2023-10-11,CYL,1196,"D/N 6804 EMPTIES"
00006538,Crd Note,2023-10-16,CYL,-1196,"D/N 6715 EMPTIES"
00025523,Invoice,2023-10-16,LPG,2462.2,"D/N 6715"
00025526,Invoice,2023-10-16,CYL,1196,"D/N 6715 EMPTIES"
00006593,Crd Note,2023-10-21,CYL,-598,"D/N 6829 EMPTIES"
00025734,Invoice,2023-10-21,LPG,230.83,"D/N 682*9"
00025735,Invoice,2023-10-21,CYL,598,"D/N 6829 EMPTIES"
00006663,Crd Note,2023-10-30,CYL,-598,"D/N 6756 EMPTIES"
00025990,Invoice,2023-10-30,LPG,487.3,"D/N 6756"
00025991,Invoice,2023-10-30,CYL,598,"D/N 6756 EMPTIES"
00006707,Crd Note,2023-11-03,LPG,-3565.32,"PRICE ADJ"
00006708,Crd Note,2023-11-03,CYL,-1196,"D/N 6768 EMPTIES"
00006711,Crd Note,2023-11-03,CYL,-1196,"D/N 6768 EMPTY"
00006714,Crd Note,2023-11-03,CYL,-1196,"D/N 6771 EMPTIES"
00026200,Invoice,2023-11-03,LPG,3565.32,"D/N 6768"
00026203,Invoice,2023-11-03,CYL,1196,"D/N 6768 EMPTIES"
00026204,Invoice,2023-11-03,LPG,2490.01,"D/N 6768"
00026205,Invoice,2023-11-03,LPG,2490.01,"D/N 6771"
00026209,Invoice,2023-11-03,CYL,1196,"D/N 6768 EMPTY"
00026210,Invoice,2023-11-03,CYL,1196,"D/N 6771 EMPTIES"
00006834,Crd Note,2023-11-15,CYL,-1196,"D/N 6864 EMPTIES"
00026598,Invoice,2023-11-15,LPG,2490.01,"D/N 6864"
00026599,Invoice,2023-11-15,CYL,1196,"D/N 6864 EMPTIES"
00006836,Crd Note,2023-11-16,CYL,-1794,"D/N 7021 EMPTIES"
00026658,Invoice,2023-11-16,LPG,2982.82,"D/N 7021"
00026659,Invoice,2023-11-16,CYL,1794,"D/N 7021 EMPTIES"
00006922,Crd Note,2023-11-27,CYL,-1196,"D/N 6891 EMPTIES"
00026976,Invoice,2023-11-27,LPG,1478.44,"D/N 6891"
00026977,Invoice,2023-11-27,CYL,1196,"D/N 6891 EMPTIES"
00007018,Crd Note,2023-12-07,CYL,-1196,"D/N 7120 EMPTIES"
