payment_doc,payment_date,amount,batch_ref,stat_no,notes
00024377,2023-09-19,-3380.83,"TRANSF | STAT 94",94,"TANDOOR THE CLAY OVEN"
00024785,2023-10-02,-2253.89,"TRANSF | STAT 95",95,"TANDOOR THE CLAY OVEN"
00025263,2023-10-12,-2462.2,"TRANSF | STAT 95",95,"TANDOOR THE CLAY OVEN"
00025368,2023-10-20,-2462.2,"TRANSF | STAT 95",95,"TANDOOR THE CLAY OVEN"
00025367,2023-10-21,-230.83,"TRANSF | STAT 95",95,"TANDOOR THE CLAY OVEN"
00026331,2023-11-07,-487.3,"TRANSF | STAT 96",96,"TANDOOR THE CLAY OVEN"
00026331,2023-11-07,-2490.01,"TRANSF | STAT 96",96,"TANDOOR THE CLAY OVEN"
00026331,2023-11-07,-2490.01,"TRANSF | STAT 96",96,"TANDOOR THE CLAY OVEN"
00026365,2023-11-22,-2490.01,"TRANSF | STAT 96",96,"TANDOOR THE CLAY OVEN"
00026365,2023-11-22,-2982.82,"TRANSF | STAT 96",96,"TANDOOR THE CLAY OVEN"
00026583,2023-11-30,-1478.44,"TRANSF | STAT 96",96,"TANDOOR THE CLAY OVEN"
00027344,2023-12-12,-2489.28,"TRANSF | STAT 97",97,"TANDOOR THE CLAY OVEN"
00027344,2023-12-12,-1244.65,"TRANSF | STAT 97",97,"TANDOOR THE CLAY OVEN"
00027696,2024-01-08,-2597.78,"TRANSF | STAT 98",98,"TANDOOR THE CLAY OVEN"
00027696,2024-01-08,-2597.78,"TRANSF | STAT 98",98,"TANDOOR THE CLAY OVEN"
00027696,2024-01-08,-2608,"TRANSF | STAT 98",98,"TANDOOR THE CLAY OVEN"
00027696,2024-01-08,-2608,"TRANSF | STAT 98",98,"TANDOOR THE CLAY OVEN"
00028165,2024-01-24,-246.3,"TRANSF | STAT 98",98,"TANDOOR THE CLAY OVEN"
00028450,2024-02-05,-2607.99,"TRANSF | STAT 99",99,"TANDOOR THE CLAY OVEN"
00028450,2024-02-05,-1303.47,"TRANSF | STAT 99",99,"TANDOOR THE CLAY OVEN"
00028450,2024-02-05,-2607.99,"TRANSF | STAT 99",99,"TANDOOR THE CLAY OVEN"
00028796,2024-02-15,-2606.94,"TRANSF | STAT 99",99,"TANDOOR THE CLAY OVEN"
00028796,2024-02-15,-2642.47,"TRANSF | STAT 99",99,"TANDOOR THE CLAY OVEN"
00029273,2024-02-27,-2642.47,"TRANSF | STAT 99",99,"TANDOOR THE CLAY OVEN"
00029279,2024-03-06,-2641.92,"TRANSF | STAT 100",100,"TANDOOR THE CLAY OVEN"
00029279,2024-03-06,-2638.95,"TRANSF | STAT 100",100,"TANDOOR THE CLAY OVEN"
00029562,2024-03-22,-2924.16,"TRANSF | STAT 100",100,"TANDOOR THE CLAY OVEN"
00029562,2024-03-22,-2673.52,"TRANSF | STAT 100",100,"TANDOOR THE CLAY OVEN"
00030141,2024-04-12,-2673.52,"TRANSF | STAT 101",101,"TANDOOR THE CLAY OVEN"
00030141,2024-04-12,-4010.28,"TRANSF | STAT 101",101,"TANDOOR THE CLAY OVEN"
00031369,2024-05-28,-2658.06,"TRANSF | STAT 102",102,"TANDOOR THE CLAY OVEN"
00031369,2024-05-28,-526.08,"TRANSF | STAT 102",102,"TANDOOR THE CLAY OVEN"
00031369,2024-05-28,-1329.03,"TRANSF | STAT 102",102,"TANDOOR THE CLAY OVEN"
00031369,2024-05-28,-3930.93,"TRANSF | STAT 102",102,"TANDOOR THE CLAY OVEN"
00031369,2024-05-28,-2620.62,"TRANSF | STAT 102",102,"TANDOOR THE CLAY OVEN"
00031369,2024-05-28,-3139.28,"TRANSF | STAT 102",102,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-2620.62,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-1310.31,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-3004.72,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-2508.29,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-598,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-3004.72,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-2508.29,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,598,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-2982.24,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,598,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-60.81,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-598,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,-517.5,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032202,2024-07-24,517.5,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00032203,2024-07-24,-2489.52,"TRANSF | STAT 104",104,"TANDOOR THE CLAY OVEN"
00033228,2024-08-27,-2489.52,"TRANSF | STAT 105",105,"TANDOOR THE CLAY OVEN"
00033228,2024-08-27,-3215.63,"TRANSF | STAT 105",105,"TANDOOR THE CLAY OVEN"
00033228,2024-08-27,-2489.52,"TRANSF | STAT 105",105,"TANDOOR THE CLAY OVEN"
00033228,2024-08-27,-2489.52,"TRANSF | STAT 105",105,"TANDOOR THE CLAY OVEN"
00033228,2024-08-27,-537.19,"TRANSF | STAT 105",105,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-2489.52,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-1719.39,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-1231.8,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-1719.39,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-1231.8,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-2158.48,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-1506.44,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
00034354,2024-10-21,-643.13,"TRANSF | STAT 107",107,"TANDOOR THE CLAY OVEN"
